protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,66.97.37.159,1080,socks4://66.97.37.159:1080,elite,false,854,896,55.2,59.1,127,66.97.37.159,2,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,27823,Dattatec.com,16,2026-09-19T02:36:26.899Z,2026-09-21T04:23:43.589Z
socks4,200.80.227.234,4145,socks4://200.80.227.234:4145,elite,false,2114,1960.5,65.8,58.3,720,200.80.227.234,1,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,11664,Techtel LMDS Comunicaciones Interactivas S.A.,11,2025-09-04T23:02:18.350Z,2026-09-21T04:25:19.743Z
socks5,66.97.37.159,1080,socks5://66.97.37.159:1080,elite,true,1024,1039.5,55.2,58.1,124,66.97.37.159,2,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,27823,Dattatec.com,13,2026-09-19T03:37:02.259Z,2026-09-21T04:32:15.084Z
socks4,201.234.24.89,4153,socks4://201.234.24.89:4153,elite,false,8191,3928.5,57.6,58,707,201.234.24.9,1,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,265758,COOPERATIVA DE OBRAS Y SERVICIOS PUBLICOS DE DESPENADEROS LIMITADA,12,2025-09-04T23:49:05.780Z,2026-09-21T04:24:24.846Z
socks4,200.16.211.68,4153,socks4://200.16.211.68:4153,elite,false,868,1081.5,63,54.7,709,200.16.211.78,1,ar,Buenos Aires,José C. Paz,America/Argentina/Buenos_Aires,10834,Telefonica de Argentina,14,2026-07-10T13:54:54.546Z,2026-09-21T04:24:32.552Z
socks5,45.74.31.30,6259,socks5://45.74.31.30:6259,elite,true,1356,2578,60.6,54.7,117,181.80.150.119,2,ar,Buenos Aires,La Plata,America/Argentina/Buenos_Aires,7303,Telecom Argentina S.A.,2,2026-09-18T09:46:42.694Z,2026-09-21T04:30:02.339Z
socks4,190.182.137.250,1085,socks4://190.182.137.250:1085,elite,false,1974,2002.5,50.9,36.7,597,190.182.137.250,1,ar,La Pampa,Ataliva Roca,America/Argentina/Salta,27983,Red Intercable Digital S.A.,18,2026-07-04T18:38:40.741Z,2026-09-21T04:23:01.731Z
http,45.232.0.2,8080,http://45.232.0.2:8080,transparent,false,1940,1964.5,50.8,36.1,590,45.232.0.2,1,ar,Tucuman,San Miguel de Tucumán,America/Argentina/Tucuman,266754,SISTEMAS INFORMATICOS S.A.S. (INTERFLASH),22,2026-08-08T15:04:13.730Z,2026-09-21T04:24:24.310Z
socks4,190.108.57.211,1085,socks4://190.108.57.211:1085,elite,false,4020,1986,31.6,23,440,190.108.57.191,1,ar,La Pampa,Santa Rosa,America/Argentina/Salta,52308,AGUAS DEL COLORADO SAPEM,14,2026-08-09T15:16:32.977Z,2026-09-21T04:32:01.964Z
http,181.111.164.211,999,http://181.111.164.211:999,transparent,true,8700,5157,31.9,21.3,169,181.111.164.211,1,ar,Corrientes,Paso de los Libres,America/Argentina/Cordoba,7303,Telecom Argentina S.A.,13,2025-09-05T20:06:37.446Z,2026-09-21T04:26:13.783Z
http,138.121.113.179,999,http://138.121.113.179:999,transparent,true,8174,4823,39.6,19.6,163,138.121.113.179,1,ar,Formosa,Formosa,America/Argentina/Cordoba,263791,REFSA TELECOMUNICACIONES,16,2025-09-05T20:06:36.242Z,2026-09-21T04:23:58.717Z
http,190.104.35.30,8081,http://190.104.35.30:8081,transparent,false,767,6764.5,42.2,18.3,169,190.104.35.30,1,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,52363,Jumpnet Soluciones de Internet S.R.L.,22,2026-09-09T21:51:43.468Z,2026-09-21T04:29:40.271Z
http,138.117.13.129,999,http://138.117.13.129:999,transparent,false,3295,3621.5,21.1,17.5,252,179.40.47.197,1,ar,Santa Cruz,28 de Noviembre,America/Argentina/Rio_Gallegos,22927,Telefonica de Argentina,12,2025-09-05T20:06:37.890Z,2026-09-21T04:30:54.353Z
http,186.123.26.22,8080,http://186.123.26.22:8080,transparent,false,6914,5824,100,12.7,158,186.123.26.22,1,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,11664,Techtel LMDS Comunicaciones Interactivas S.A.,13,2026-05-20T14:59:42.637Z,2026-09-21T04:28:34.801Z
http,186.38.100.130,999,http://186.38.100.130:999,transparent,true,3102,3944.5,18.2,12,108,161.0.181.254,1,ar,Buenos Aires,Balcarce,America/Argentina/Buenos_Aires,263221,ALVIS S.A.,19,2026-06-01T00:34:07.441Z,2026-09-21T04:27:24.686Z
