protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,45.232.0.2,8080,http://45.232.0.2:8080,transparent,false,1940,1964.5,50.8,36.1,590,45.232.0.2,1,ar,Tucuman,San Miguel de Tucumán,America/Argentina/Tucuman,266754,SISTEMAS INFORMATICOS S.A.S. (INTERFLASH),22,2026-08-08T15:04:13.730Z,2026-09-21T04:24:24.310Z
http,181.111.164.211,999,http://181.111.164.211:999,transparent,true,8700,5157,31.9,21.3,169,181.111.164.211,1,ar,Corrientes,Paso de los Libres,America/Argentina/Cordoba,7303,Telecom Argentina S.A.,13,2025-09-05T20:06:37.446Z,2026-09-21T04:26:13.783Z
http,138.121.113.179,999,http://138.121.113.179:999,transparent,true,8174,4823,39.6,19.6,163,138.121.113.179,1,ar,Formosa,Formosa,America/Argentina/Cordoba,263791,REFSA TELECOMUNICACIONES,16,2025-09-05T20:06:36.242Z,2026-09-21T04:23:58.717Z
http,190.104.35.30,8081,http://190.104.35.30:8081,transparent,false,767,6764.5,42.2,18.3,169,190.104.35.30,1,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,52363,Jumpnet Soluciones de Internet S.R.L.,22,2026-09-09T21:51:43.468Z,2026-09-21T04:29:40.271Z
http,138.117.13.129,999,http://138.117.13.129:999,transparent,false,3295,3621.5,21.1,17.5,252,179.40.47.197,1,ar,Santa Cruz,28 de Noviembre,America/Argentina/Rio_Gallegos,22927,Telefonica de Argentina,12,2025-09-05T20:06:37.890Z,2026-09-21T04:30:54.353Z
http,186.123.26.22,8080,http://186.123.26.22:8080,transparent,false,6914,5824,100,12.7,158,186.123.26.22,1,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,11664,Techtel LMDS Comunicaciones Interactivas S.A.,13,2026-05-20T14:59:42.637Z,2026-09-21T04:28:34.801Z
http,186.38.100.130,999,http://186.38.100.130:999,transparent,true,3102,3944.5,18.2,12,108,161.0.181.254,1,ar,Buenos Aires,Balcarce,America/Argentina/Buenos_Aires,263221,ALVIS S.A.,19,2026-06-01T00:34:07.441Z,2026-09-21T04:27:24.686Z
http,45.172.142.186,999,http://45.172.142.186:999,transparent,false,2598,3059.5,20.5,11.5,166,45.172.142.186,1,ar,Mendoza,San Martín,America/Argentina/Mendoza,264800,TECHTRON ARGENTINA S.A.,14,2026-06-08T02:58:27.541Z,2026-09-21T04:31:56.732Z
http,190.122.91.10,999,http://190.122.91.10:999,transparent,true,3712,7037,14.7,9.4,106,190.122.91.13,1,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,273096,INSAURRALDE CLAUDIO OSCAR,14,2026-08-17T23:26:18.579Z,2026-09-21T04:24:46.180Z
http,181.209.122.117,999,http://181.209.122.117:999,transparent,false,7798,5951,19.1,7.7,104,181.209.122.114,1,ar,Buenos Aires,Santa Catalina - Dique Lujan,America/Argentina/Buenos_Aires,52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,14,2025-09-06T21:23:36.142Z,2026-09-21T04:23:10.596Z
