protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,190.220.25.42,4153,socks4://190.220.25.42:4153,elite,true,1030,1046.5,70.2,73.2,497,190.220.25.42,1,ar,Cordoba,Córdoba,America/Argentina/Cordoba,11664,Techtel LMDS Comunicaciones Interactivas S.A.,11,2025-09-04T23:48:58.428Z,2026-09-25T04:21:52.009Z
socks4,200.16.211.68,4153,socks4://200.16.211.68:4153,elite,false,1947,1949,58.7,62.3,676,200.16.211.78,1,ar,Buenos Aires,José C. Paz,America/Argentina/Buenos_Aires,10834,Telefonica de Argentina,15,2026-07-10T13:54:54.546Z,2026-09-25T04:26:43.668Z
socks4,190.18.170.230,5678,socks4://190.18.170.230:5678,elite,false,2058,2031,59.7,62.1,668,190.18.170.230,1,ar,Cordoba,Córdoba,America/Argentina/Cordoba,7303,Telecom Argentina S.A.,14,2026-07-05T03:43:34.841Z,2026-09-25T04:30:59.762Z
socks4,200.80.227.234,4145,socks4://200.80.227.234:4145,elite,false,921,1930.5,53.1,61.3,674,200.80.227.234,1,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,11664,Techtel LMDS Comunicaciones Interactivas S.A.,12,2025-09-04T23:02:18.350Z,2026-09-25T04:27:14.875Z
socks4,201.234.24.89,4153,socks4://201.234.24.89:4153,elite,true,3961,1430,52.7,54,639,201.234.24.9,1,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,265758,COOPERATIVA DE OBRAS Y SERVICIOS PUBLICOS DE DESPENADEROS LIMITADA,14,2025-09-04T23:49:05.780Z,2026-09-25T04:25:24.410Z
socks4,66.97.37.159,1080,socks4://66.97.37.159:1080,elite,true,884,904.5,42.9,48.2,311,66.97.37.159,2,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,27823,Dattatec.com,17,2026-09-19T02:36:26.899Z,2026-09-25T04:29:05.686Z
socks4,177.136.86.5,1080,socks4://177.136.86.5:1080,elite,false,2101,2020.5,56.4,46.8,605,177.136.86.5,1,ar,Misiones,Eldorado,America/Argentina/Cordoba,271784,ACCESS AIR SOCIEDAD SIMPLE,11,2025-09-23T23:53:39.274Z,2026-09-25T04:21:36.243Z
socks4,190.2.104.201,4153,socks4://190.2.104.201:4153,elite,true,3960,2047,44.7,41.9,546,190.2.104.201,1,ar,Santa Fe,Rosario,America/Argentina/Cordoba,27813,Teledifusora S.A.,14,2025-09-04T23:49:03.574Z,2026-09-25T04:25:20.778Z
socks4,190.182.137.250,1085,socks4://190.182.137.250:1085,elite,false,1024,1984.5,45,41.7,499,190.182.137.250,1,ar,La Pampa,Ataliva Roca,America/Argentina/Salta,27983,Red Intercable Digital S.A.,19,2026-07-04T18:38:40.741Z,2026-09-25T04:23:49.167Z
socks4,186.138.177.33,4145,socks4://186.138.177.33:4145,elite,false,2018,2045.5,44.4,41,488,186.138.177.33,1,ar,Cordoba,Córdoba,America/Argentina/Cordoba,7303,Telecom Argentina S.A.,21,2026-07-06T01:59:43.680Z,2026-09-25T04:31:14.988Z
socks4,190.108.57.211,1085,socks4://190.108.57.211:1085,elite,true,1947,5128.5,56.6,37.2,435,190.108.57.191,1,ar,La Pampa,Santa Rosa,America/Argentina/Salta,52308,AGUAS DEL COLORADO SAPEM,15,2026-08-09T15:16:32.977Z,2026-09-25T04:21:37.354Z
socks4,200.70.56.84,1080,socks4://200.70.56.84:1080,elite,false,1924,2919.5,32.7,37,503,200.70.56.84,1,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,10834,Telefonica de Argentina,21,2026-07-05T05:45:17.905Z,2026-09-25T04:28:22.957Z
socks4,190.111.243.150,1085,socks4://190.111.243.150:1085,elite,true,1862,1863,40,32.3,464,190.111.243.150,1,ar,Buenos Aires F.D.,Buenos Aires,America/Argentina/Buenos_Aires,11014,CPS,22,2026-07-05T22:51:37.253Z,2026-09-25T04:25:24.943Z
