protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,45.74.31.30,7890,socks5://45.74.31.30:7890,elite,false,4414,2770.5,65.3,65.3,98,170.64.135.172,48,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",7,2026-08-22T04:12:37.677Z,2026-09-25T04:25:32.761Z
socks5,45.74.31.30,8711,socks5://45.74.31.30:8711,elite,true,4259,4136,54.4,54.4,79,170.64.135.172,48,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",12,2026-09-24T11:25:15.935Z,2026-09-25T04:22:45.293Z
socks5,45.74.31.50,12875,socks5://45.74.31.50:12875,elite,true,5250,4840,45.2,48.9,225,170.64.135.172,48,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",12,2026-09-22T17:22:06.055Z,2026-09-25T04:22:22.782Z
socks5,45.74.31.23,7795,socks5://45.74.31.23:7795,elite,false,3327,4450,42.1,48.4,64,170.64.135.172,48,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",11,2026-09-24T03:21:06.379Z,2026-09-25T04:28:41.125Z
socks5,45.74.31.23,13283,socks5://45.74.31.23:13283,elite,true,3162,3897.5,42.3,42.3,52,170.64.135.172,48,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",10,2026-09-24T13:26:22.685Z,2026-09-25T04:28:55.784Z
socks5,45.74.31.41,16637,socks5://45.74.31.41:16637,elite,true,2868,3664.5,46,37.2,78,170.64.135.172,48,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",12,2026-09-23T10:12:03.712Z,2026-09-25T04:22:37.975Z
socks5,45.74.31.30,5805,socks5://45.74.31.30:5805,elite,true,5748,4312,44.2,34.2,234,170.64.135.172,48,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",8,2026-08-27T20:25:07.402Z,2026-09-25T04:21:08.132Z
socks5,45.74.31.23,13868,socks5://45.74.31.23:13868,elite,false,7245,6542.5,31.8,31.8,63,170.64.135.172,48,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",10,2026-09-24T13:26:22.685Z,2026-09-25T04:23:18.244Z
socks5,45.74.31.22,12076,socks5://45.74.31.22:12076,elite,false,6155,4624,31.6,30.5,358,170.64.135.172,48,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",15,2026-09-16T03:18:05.440Z,2026-09-25T04:26:16.600Z
socks5,45.74.31.30,6381,socks5://45.74.31.30:6381,elite,false,5318,4483,42.9,30.2,205,170.64.135.172,48,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",16,2026-09-12T10:12:45.605Z,2026-09-25T04:21:30.689Z
