protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,45.74.31.30,11095,socks5://45.74.31.30:11095,elite,true,3229,2808.5,68.8,66.4,223,170.64.135.172,27,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",4,2026-09-15T21:56:45.022Z,2026-09-18T04:25:29.881Z
socks5,45.74.31.42,14576,socks5://45.74.31.42:14576,elite,true,2440,3598,49.5,47.2,197,170.64.135.172,27,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",14,2026-09-16T03:18:05.440Z,2026-09-18T04:28:49.065Z
socks5,45.74.31.42,15820,socks5://45.74.31.42:15820,elite,true,3473,3974,65.3,46.7,120,170.64.135.172,27,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",3,2026-09-15T06:48:49.230Z,2026-09-18T04:27:16.446Z
socks5,45.74.31.41,16601,socks5://45.74.31.41:16601,elite,false,4277,4015,61.2,45.9,122,170.64.135.172,27,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",2,2026-09-15T06:48:49.230Z,2026-09-18T04:30:03.857Z
socks5,45.74.31.41,11603,socks5://45.74.31.41:11603,elite,true,3058,4109.5,43.8,45.8,107,170.64.135.172,27,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",8,2026-09-17T02:30:16.285Z,2026-09-18T04:28:36.621Z
socks5,45.74.31.41,15934,socks5://45.74.31.41:15934,elite,false,6114,3203,44.7,43.4,113,170.64.135.172,27,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",13,2026-09-16T23:28:42.381Z,2026-09-18T04:27:59.736Z
socks5,45.74.31.22,16777,socks5://45.74.31.22:16777,elite,true,3333,4943,33.3,42.7,89,170.64.135.172,27,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",14,2026-09-16T03:18:05.440Z,2026-09-18T04:31:29.970Z
socks5,45.74.31.22,15536,socks5://45.74.31.22:15536,elite,false,6168,3644.5,30.4,42.4,144,170.64.135.172,27,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",13,2026-09-16T03:18:05.440Z,2026-09-18T04:28:52.197Z
socks5,45.74.31.25,6303,socks5://45.74.31.25:6303,elite,true,3190,4102,41.7,41.4,58,170.64.135.172,27,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",9,2026-09-16T03:18:05.440Z,2026-09-18T04:23:53.767Z
socks5,45.74.31.25,12001,socks5://45.74.31.25:12001,elite,false,7335,3312,54.4,41.3,92,170.64.135.172,27,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",4,2026-09-15T14:53:03.618Z,2026-09-18T04:27:44.734Z
socks5,45.74.31.41,12708,socks5://45.74.31.41:12708,elite,false,2892,4206.5,30,39.3,173,170.64.135.172,27,au,New South Wales,Sydney,Australia/Sydney,14061,"DigitalOcean, LLC",13,2026-09-16T03:18:05.440Z,2026-09-18T04:30:34.303Z
