protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,103.149.75.82,1080,socks4://103.149.75.82:1080,elite,false,1314,1313.5,100,99.5,999,103.149.75.82,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,63969,Race Online Limited,11,2026-06-23T21:19:44.945Z,2026-09-17T22:34:24.790Z
http,103.177.118.145,8118,http://103.177.118.145:8118,transparent,true,4710,1104,85,91.3,961,203.76.117.226,2,bd,Dhaka Division,Dhaka,Asia/Dhaka,23688,Link3 Technologies Ltd.,16,2026-08-19T22:46:45.613Z,2026-09-17T22:29:49.140Z
http,203.76.117.226,8118,http://203.76.117.226:8118,transparent,true,1035,1085,70.7,77.2,197,203.76.117.226,2,bd,Dhaka Division,Dhaka,Asia/Dhaka,23688,Link3 Technologies Ltd.,22,2026-09-16T09:21:16.788Z,2026-09-17T22:31:16.670Z
socks4,182.160.101.193,1080,socks4://182.160.101.193:1080,elite,false,8687,2390,71.1,75.9,642,182.160.101.193,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,24323,"aamra networks limited,",13,2026-08-25T08:54:37.318Z,2026-09-17T22:30:01.365Z
socks4,182.160.124.153,1080,socks4://182.160.124.153:1080,elite,false,2292,1345,68.6,66.1,499,182.160.124.153,1,bd,Dhaka Division,Savar,Asia/Dhaka,24323,"aamra networks limited,",11,2026-08-15T00:25:44.212Z,2026-09-17T22:32:59.953Z
socks4,103.175.127.230,60606,socks4://103.175.127.230:60606,elite,false,8376,3676.5,71.1,63.2,787,103.175.127.230,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,38562,Innovative Online Limited,11,2025-09-05T20:06:26.034Z,2026-09-17T22:33:22.915Z
socks4,114.130.89.94,1080,socks4://114.130.89.94:1080,elite,false,1238,1323,70.8,62,856,114.130.89.94,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,17806,Tire-1 IP Transit Provider of Bangladesh,20,2026-07-05T07:46:18.402Z,2026-09-17T22:33:28.665Z
socks4,103.83.233.165,1080,socks4://103.83.233.165:1080,elite,false,1347,1345.5,81.9,62,874,103.83.233.78,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,153038,Business Zone Limited,12,2026-07-05T09:46:48.257Z,2026-09-17T22:33:20.834Z
socks5,203.76.123.6,1080,socks5://203.76.123.6:1080,elite,false,4618,1673,73.4,60.2,875,203.76.123.6,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23688,Link3 Technologies Ltd.,18,2026-09-05T23:05:35.412Z,2026-09-17T22:27:56.931Z
socks5,118.179.205.159,9090,socks5://118.179.205.159:9090,elite,true,9625,4808,61.5,59.4,207,118.179.205.159,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23956,AmberIT Limited,16,2026-09-16T03:18:05.440Z,2026-09-17T22:31:13.515Z
