protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,113.212.111.4,8090,http://113.212.111.4:8090,transparent,false,525,527.5,100,100,363,113.212.111.1,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,136224,City Online Ltd.,8,2026-02-20T00:55:47.137Z,2026-09-21T04:22:57.015Z
http,124.109.105.44,3128,http://124.109.105.44:3128,anonymous,true,3024,2671.5,88.1,93.8,256,124.109.105.44,2,bd,Dhaka Division,Dhaka,Asia/Dhaka,55344,Head Office,21,2026-09-19T02:36:24.799Z,2026-09-21T04:27:05.438Z
http,43.133.13.187,8889,http://43.133.13.187:8889,elite,false,6749,4286,91.2,91.2,68,119.10.170.66,1,bd,Chittagong,Chattogram,Asia/Dhaka,38592,Chittagong Online Limited AS38592 AP,10,2026-07-23T14:38:53.675Z,2026-09-21T04:22:58.571Z
http,124.109.105.44,80,http://124.109.105.44:80,anonymous,false,5967,4996,87.7,89.5,190,124.109.105.44,2,bd,Dhaka Division,Dhaka,Asia/Dhaka,55344,Head Office,20,2026-09-19T11:41:18.842Z,2026-09-21T04:21:51.300Z
http,27.147.138.166,8158,http://27.147.138.166:8158,transparent,true,1502,2926.5,50.8,48.7,460,27.147.138.166,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23688,Link3 Technologies Ltd.,24,2026-09-15T08:49:52.699Z,2026-09-21T04:31:18.975Z
http,123.200.8.170,10000,http://123.200.8.170:10000,transparent,true,1174,1199.5,60.6,42.4,472,123.200.8.170,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23688,Link3 Technologies Ltd.,14,2026-06-08T11:03:12.816Z,2026-09-21T04:23:26.839Z
http,103.52.63.41,8080,http://103.52.63.41:8080,transparent,true,7652,5496.5,36.5,41.2,119,103.52.63.61,1,bd,Sylhet Division,Srimangal,Asia/Dhaka,150312,S. Ahmed Internet Service,2,2026-09-19T04:37:24.276Z,2026-09-21T04:27:16.220Z
http,27.147.168.150,8158,http://27.147.168.150:8158,transparent,true,12410,3603.5,37.3,35,383,27.147.168.150,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23688,Link3 Technologies Ltd.,23,2026-09-15T20:56:24.742Z,2026-09-21T04:32:07.232Z
http,61.247.186.234,1111,http://61.247.186.234:1111,transparent,true,4233,4180,43.1,24.2,293,61.247.183.201,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,38031,OptiMax Communication Ltd.,17,2026-08-07T01:43:51.998Z,2026-09-21T04:26:34.694Z
http,59.153.30.1,8888,http://59.153.30.1:8888,transparent,true,1099,3979.5,28.6,23.8,344,59.153.30.237,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,154462,Yournet Communications,17,2026-09-01T07:23:42.190Z,2026-09-21T04:32:01.950Z
http,103.60.173.173,8080,http://103.60.173.173:8080,transparent,false,8879,3893,21.4,23.5,162,103.60.173.173,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,63996,Mazeda Networks Limited,20,2026-08-26T21:14:31.235Z,2026-09-21T04:26:28.926Z
http,103.141.174.12,8080,http://103.141.174.12:8080,transparent,false,8180,4325.5,21.6,22.8,189,103.15.141.31,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,58689,ICC Communication,24,2026-09-08T00:32:59.535Z,2026-09-21T04:27:56.353Z
http,103.7.120.141,8080,http://103.7.120.141:8080,transparent,false,4758,3112,22.7,18.2,181,103.175.133.125,1,bd,Sylhet Division,Sylhet,Asia/Dhaka,139604,Arrow Net,16,2026-07-06T11:02:44.398Z,2026-09-21T04:24:53.470Z
http,123.0.18.42,10000,http://123.0.18.42:10000,transparent,false,4243,2167,33.3,17.2,227,123.0.17.123,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,56054,Icon Infotech Limited,22,2026-07-17T08:17:40.131Z,2026-09-21T04:30:08.293Z
http,27.131.14.9,8812,http://27.131.14.9:8812,elite,true,2819,3978.5,21.6,17.1,217,27.131.14.9,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,55492,Dhaka Fiber Net Limited,24,2026-05-18T16:45:29.711Z,2026-09-21T04:29:41.328Z
http,103.109.212.85,8428,http://103.109.212.85:8428,elite,true,1411,2900.5,22.2,16,156,103.109.213.49,1,bd,Khulna Division,Narail,Asia/Dhaka,135346,Bismillah Telecom Service,7,2025-10-02T03:44:10.614Z,2026-09-21T04:21:58.086Z
http,103.204.211.48,32255,http://103.204.211.48:32255,elite,true,3097,2305,18.2,16,225,103.204.211.50,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,58682,Level3 Carrier Ltd.,19,2025-10-02T03:44:14.033Z,2026-09-21T04:31:55.684Z
http,123.0.18.20,1452,http://123.0.18.20:1452,transparent,true,4383,4436.5,27.1,15.9,183,123.0.18.20,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,56054,Icon Infotech Limited,14,2026-02-03T12:24:52.540Z,2026-09-21T04:28:36.410Z
http,103.81.175.146,22311,http://103.81.175.146:22311,transparent,false,3981,4603,30.4,15.8,114,103.81.175.146,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,38203,ADN Telecom Ltd.,24,2026-05-20T23:03:59.457Z,2026-09-21T04:30:21.253Z
http,103.219.160.145,6565,http://103.219.160.145:6565,transparent,true,5808,4912,27,15.1,139,103.219.160.145,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,38203,ADN Telecom Ltd.,20,2025-10-20T09:39:05.096Z,2026-09-21T04:22:52.881Z
http,118.179.136.153,81,http://118.179.136.153:81,transparent,false,7044,2297.5,23.8,13.8,181,118.179.136.152,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23956,AmberIT Limited,21,2026-08-14T02:13:52.486Z,2026-09-21T04:29:35.456Z
http,115.127.181.114,6969,http://115.127.181.114:6969,elite,false,1219,2112.5,28.1,13.7,190,115.127.181.114,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,24342,BRACNet Limited,20,2026-04-07T12:50:12.840Z,2026-09-21T04:25:47.013Z
http,118.179.213.183,81,http://118.179.213.183:81,transparent,true,1128,2113.5,20.7,12.1,199,118.179.213.183,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23956,AmberIT Limited,16,2026-08-14T19:23:20.486Z,2026-09-21T04:31:47.236Z
http,103.204.210.208,8080,http://103.204.210.208:8080,transparent,false,2270,2238.5,22.2,11.8,119,103.204.210.215,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,58682,Level3 Carrier Ltd.,20,2026-09-12T02:56:36.341Z,2026-09-21T04:27:25.739Z
http,115.127.190.42,6979,http://115.127.190.42:6979,transparent,true,4024,4115,11.5,11.2,134,115.127.190.42,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,24342,BRACNet Limited,13,2025-09-07T13:19:46.944Z,2026-09-21T04:29:20.774Z
http,116.204.229.227,8070,http://116.204.229.227:8070,transparent,true,3676,3791,12.5,7.6,119,116.204.229.229,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,58689,ICC Communication,22,2026-07-08T19:28:19.165Z,2026-09-21T04:24:00.823Z
http,202.5.47.60,1080,http://202.5.47.60:1080,elite,false,5918,3533,25,6.9,101,202.5.47.60,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,45326,Broad Band Telecom Services Ltd,21,2026-07-05T04:44:35.166Z,2026-09-21T04:25:21.844Z
http,103.74.11.69,8081,http://103.74.11.69:8081,transparent,true,1126,4347.5,25,,45,103.74.11.90,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,137453,Orange Communication,20,2026-08-31T13:12:22.033Z,2026-09-21T04:28:06.060Z
http,103.117.193.216,8080,http://103.117.193.216:8080,transparent,true,1438,1438,100,,7,103.117.193.216,1,bd,Chittagong,Comilla,Asia/Dhaka,137967,Digicon Telecommunication Ltd,16,2026-09-03T13:53:48.379Z,2026-09-21T04:28:15.043Z
http,103.59.178.104,8080,http://103.59.178.104:8080,transparent,true,1521,1521,100,,7,103.59.178.199,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,134226,NATION COMMUNICATION,10,2026-08-13T02:00:33.432Z,2026-09-21T04:28:14.514Z
http,180.148.208.30,8080,http://180.148.208.30:8080,transparent,true,3142,3944.5,17.7,,38,180.148.208.30,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,45905,Stargate Communications Ltd.,7,2026-07-23T08:36:14.138Z,2026-09-21T04:31:14.779Z
http,203.96.224.206,8080,http://203.96.224.206:8080,transparent,true,3944,3347,100,,28,203.96.224.207,1,bd,Rangpur Division,Gaibandha,Asia/Dhaka,147314,IP Communications Limited,2,2026-07-17T21:27:08.508Z,2026-09-21T04:28:13.965Z
