protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,59.152.97.233,1080,socks5://59.152.97.233:1080,elite,true,3554,2618.5,73.8,80.8,850,157.10.242.129,1,bd,Chittagong,Comilla,Asia/Dhaka,147006,Star IT,18,2026-07-04T16:35:28.122Z,2026-09-26T04:28:31.213Z
socks5,203.76.123.6,1080,socks5://203.76.123.6:1080,elite,false,3081,2983,58.4,73.9,802,203.76.123.6,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23688,Link3 Technologies Ltd.,20,2026-09-05T23:05:35.412Z,2026-09-26T04:24:34.711Z
socks5,118.179.93.24,9090,socks5://118.179.93.24:9090,elite,false,9108,2667,67.4,57.8,457,118.179.93.24,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23956,AmberIT Limited,18,2026-09-05T19:03:36.518Z,2026-09-26T04:24:37.386Z
socks5,118.179.195.140,9090,socks5://118.179.195.140:9090,elite,false,2683,4224,56.2,53.3,546,118.179.195.140,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23956,AmberIT Limited,20,2026-09-04T08:47:00.172Z,2026-09-26T04:29:51.346Z
socks5,118.179.199.74,9090,socks5://118.179.199.74:9090,elite,false,1959,4172,58.5,51,539,118.179.199.74,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23956,AmberIT Limited,20,2026-09-05T07:57:36.718Z,2026-09-26T04:32:30.284Z
socks5,118.179.144.113,9090,socks5://118.179.144.113:9090,elite,true,2269,2489.5,69.8,49.7,547,118.179.144.113,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23956,AmberIT Limited,19,2026-09-04T07:44:52.668Z,2026-09-26T04:25:25.593Z
socks5,118.179.144.142,9090,socks5://118.179.144.142:9090,elite,true,5345,4766,44.6,49.7,630,118.179.144.142,1,bd,Dhaka Division,Gazipur,Asia/Dhaka,23956,AmberIT Limited,20,2026-09-04T06:45:38.276Z,2026-09-26T04:32:39.279Z
socks5,119.148.7.10,22122,socks5://119.148.7.10:22122,elite,true,2387,3680.5,42.9,47.4,629,119.148.7.10,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,23923,Agni Systems Limited,20,2026-03-04T08:32:53.154Z,2026-09-26T04:30:08.833Z
socks5,202.91.41.102,1080,socks5://202.91.41.102:1080,elite,true,2296,2444,40.4,40.4,611,202.91.43.253,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,136224,City Online Ltd.,19,2026-08-02T04:41:40.397Z,2026-09-26T04:26:51.459Z
socks5,103.81.55.2,1080,socks5://103.81.55.2:1080,elite,false,2489,2791,43.7,37.8,151,103.81.55.2,1,bd,Rangpur Division,Hakimpur,Asia/Dhaka,142044,Contrivance Technology,15,2026-09-19T06:38:34.611Z,2026-09-26T04:27:35.532Z
socks5,123.0.24.154,9090,socks5://123.0.24.154:9090,elite,false,2621,2829,30,35.9,530,123.0.24.149,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,56054,Icon Infotech Limited,20,2026-07-04T13:36:21.251Z,2026-09-26T04:26:29.233Z
socks5,103.151.75.21,2025,socks5://103.151.75.21:2025,elite,false,2735,4002.5,29,23.4,376,45.117.62.31,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,135341,Orange Communication,18,2026-01-01T18:09:41.806Z,2026-09-26T04:28:17.499Z
socks5,103.151.74.29,2025,socks5://103.151.74.29:2025,elite,false,2564,2747,23.9,20.8,288,45.117.62.28,1,bd,Dhaka Division,Dhaka,Asia/Dhaka,135341,Orange Communication,17,2026-01-03T16:34:01.551Z,2026-09-26T04:30:41.906Z
socks5,103.118.85.75,1080,socks5://103.118.85.75:1080,elite,false,2875,2947,19.2,14.4,181,103.118.85.147,1,bd,Rangpur Division,Thākurgaon,Asia/Dhaka,137961,MD. Mokhlesur Rahman,17,2026-08-17T15:59:07.205Z,2026-09-26T04:32:45.076Z
