protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,213.149.156.87,5678,socks4://213.149.156.87:5678,elite,false,768,2276,80.6,71.5,653,213.149.156.87,1,bg,Blagoevgrad,Razlog,Europe/Sofia,199702,VIM TV LTD,9,2025-09-04T23:49:00.811Z,2026-09-15T19:34:33.936Z
socks4,77.238.79.111,5678,socks4://77.238.79.111:5678,elite,false,3814,1766,77.5,70.8,651,77.238.79.111,1,bg,Sofia-Capital,Sofia,Europe/Sofia,39135,Fiber 1 Ltd.,9,2025-09-04T23:48:55.201Z,2026-09-15T19:27:46.040Z
socks4,213.149.154.213,5678,socks4://213.149.154.213:5678,elite,false,762,3806,73.7,70.7,656,213.149.154.213,1,bg,Blagoevgrad,Razlog,Europe/Sofia,199702,VIM TV LTD,9,2025-09-04T23:49:00.147Z,2026-09-15T19:34:27.210Z
socks4,212.5.132.74,5678,socks4://212.5.132.74:5678,elite,false,707,735.5,72.1,69.1,666,212.5.132.74,1,bg,Sofia-Capital,Sofia,Europe/Sofia,8866,Vivacom Bulgaria EAD,9,2025-09-04T23:48:55.238Z,2026-09-15T19:32:21.020Z
socks4,31.13.239.4,5678,socks4://31.13.239.4:5678,elite,false,791,3767,64.4,68.4,655,31.13.239.4,1,bg,Sofia-Capital,Sofia,Europe/Sofia,34224,Neterra Ltd.,9,2025-09-04T23:49:13.606Z,2026-09-15T19:34:44.614Z
socks4,212.50.19.150,4153,socks4://212.50.19.150:4153,elite,false,692,1706,56.1,52.8,598,212.50.19.150,1,bg,Sofia-Capital,Sofia,Europe/Sofia,8717,A1 Bulgaria EAD,13,2025-09-04T23:48:54.819Z,2026-09-15T19:34:23.616Z
socks5,31.211.142.115,8192,socks5://31.211.142.115:8192,elite,false,835,1856,50.4,51.6,620,31.211.142.115,1,bg,Pleven,Pleven,Europe/Sofia,197897,5KOM OOD,14,2025-09-04T23:48:55.053Z,2026-09-15T19:35:02.547Z
socks4,77.85.168.253,4145,socks4://77.85.168.253:4145,elite,false,1911,3749,62.3,46.8,425,77.85.168.253,1,bg,Varna,Varna,Europe/Sofia,8866,Vivacom Bulgaria EAD,10,2025-09-05T20:06:35.020Z,2026-09-15T19:31:30.707Z
socks4,109.160.97.49,4145,socks4://109.160.97.49:4145,elite,false,1391,1857,31.4,43,533,109.160.97.49,1,bg,Ruse,Ruse,Europe/Sofia,205352,KABELNET LTD,13,2025-09-04T23:01:46.884Z,2026-09-15T19:34:30.802Z
socks4,85.187.5.66,48293,socks4://85.187.5.66:48293,elite,false,836,1917,35.9,38,479,85.187.5.66,1,bg,Silistra,Sitovo,Europe/Sofia,49147,ET ASNET - Altan Halim,8,2026-05-06T23:12:12.223Z,2026-09-15T19:31:53.236Z
