protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,31.211.142.115,8192,socks5://31.211.142.115:8192,elite,false,3840,2907,67.2,60.4,709,31.211.142.115,1,bg,Pleven,Pleven,Europe/Sofia,197897,5KOM OOD,22,2025-09-04T23:48:55.053Z,2026-09-26T17:11:03.846Z
socks5,45.74.31.47,6053,socks5://45.74.31.47:6053,elite,true,5906,5407.5,58.9,58.9,73,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,11,2026-09-25T20:42:50.301Z,2026-09-26T17:08:36.451Z
socks5,45.74.31.47,5160,socks5://45.74.31.47:5160,elite,true,1396,3304,51.2,56.5,361,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,15,2026-09-20T03:49:39.093Z,2026-09-26T17:08:35.909Z
socks5,45.74.31.50,4718,socks5://45.74.31.50:4718,elite,false,4503,3149,48.6,48.6,72,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,11,2026-09-25T19:42:13.483Z,2026-09-26T17:04:47.616Z
socks5,45.74.31.30,5741,socks5://45.74.31.30:5741,elite,true,9333,5504,41.2,40.7,162,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,13,2026-09-16T17:25:29.883Z,2026-09-26T17:05:03.115Z
socks5,45.74.31.42,9559,socks5://45.74.31.42:9559,elite,true,5326,3736,40,40,50,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,9,2026-08-22T00:11:45.807Z,2026-09-26T17:10:53.621Z
socks5,45.74.31.22,8215,socks5://45.74.31.22:8215,elite,false,8318,3887,45.7,40,383,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,15,2026-09-16T03:18:05.440Z,2026-09-26T17:04:14.633Z
socks5,45.74.31.25,6447,socks5://45.74.31.25:6447,elite,true,2093,4109.5,42.9,39.3,145,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,11,2026-09-15T03:47:12.852Z,2026-09-26T17:07:30.907Z
socks5,45.74.31.23,4090,socks5://45.74.31.23:4090,elite,true,4844,5497,38.2,38.2,55,217.174.152.149,7,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,12,2026-09-25T20:42:50.301Z,2026-09-26T17:09:29.942Z
socks5,45.74.31.42,6172,socks5://45.74.31.42:6172,elite,true,5507,5443.5,25.7,36.7,109,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,13,2026-09-24T20:30:02.073Z,2026-09-26T17:08:10.157Z
socks5,45.74.31.30,10299,socks5://45.74.31.30:10299,elite,true,4068,3702,28.6,29.9,194,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,12,2026-09-15T06:48:49.230Z,2026-09-26T17:02:35.380Z
socks5,45.74.31.42,9418,socks5://45.74.31.42:9418,elite,true,3318,4088.5,46,28.8,111,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,12,2026-09-24T13:26:20.532Z,2026-09-26T17:06:20.253Z
socks5,45.74.31.25,5756,socks5://45.74.31.25:5756,elite,false,9565,4013.5,34.6,22.5,200,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,14,2026-09-15T23:16:06.054Z,2026-09-26T17:08:22.549Z
socks5,45.74.31.30,10041,socks5://45.74.31.30:10041,elite,false,5565,5271,35.9,21.6,125,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,14,2026-09-13T09:24:58.697Z,2026-09-26T17:06:55.194Z
socks5,45.74.31.30,10316,socks5://45.74.31.30:10316,elite,false,3934,4841.5,32.9,18.7,155,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,13,2026-09-12T05:10:07.082Z,2026-09-26T17:09:53.567Z
socks5,45.74.31.42,4634,socks5://45.74.31.42:4634,elite,false,5358,6851,50,18.1,138,78.128.76.254,31,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,12,2026-09-20T01:48:36.120Z,2026-09-26T17:05:53.473Z
socks5,45.74.31.25,7106,socks5://45.74.31.25:7106,elite,false,3645,4535.5,22.2,18,139,217.174.152.149,7,bg,Sofia-Capital,Sofia,Europe/Sofia,57344,Telehouse EAD,17,2026-09-16T03:18:05.440Z,2026-09-26T17:06:33.101Z
