protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,197.157.195.154,1080,socks4://197.157.195.154:1080,elite,true,2758,2714.5,78.9,72.6,737,197.157.195.154,1,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37429,SPIDERNET SPRL BURUNDI,13,2026-08-08T13:03:28.732Z,2026-09-26T17:02:48.681Z
socks5,45.74.31.22,13246,socks5://45.74.31.22:13246,elite,true,1874,2118.5,73.3,72.4,76,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,2,2026-09-16T22:28:07.730Z,2026-09-26T17:11:25.197Z
socks4,197.157.194.10,1080,socks4://197.157.194.10:1080,elite,true,4341,2959.5,58.2,70.6,530,197.157.194.10,1,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37429,SPIDERNET SPRL BURUNDI,19,2026-09-20T02:49:09.966Z,2026-09-26T17:08:50.881Z
socks4,197.157.192.168,1080,socks4://197.157.192.168:1080,elite,true,2754,2677,33.8,67.3,719,197.157.192.168,1,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37429,SPIDERNET SPRL BURUNDI,13,2026-08-15T04:28:13.653Z,2026-09-26T17:10:24.264Z
socks5,45.74.31.47,16821,socks5://45.74.31.47:16821,elite,true,1120,2263,84.7,54.9,472,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,1,2026-09-15T21:56:45.022Z,2026-09-26T17:07:29.808Z
socks4,197.157.194.28,1080,socks4://197.157.194.28:1080,elite,false,9955,1899.5,66.4,54.5,684,197.157.194.28,1,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37429,SPIDERNET SPRL BURUNDI,13,2025-11-14T22:59:39.926Z,2026-09-26T17:06:24.563Z
socks5,45.74.31.22,13399,socks5://45.74.31.22:13399,elite,false,3069,3866,39.7,30.8,107,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,13,2026-09-16T13:23:22.081Z,2026-09-26T17:12:04.084Z
socks5,45.74.31.25,15963,socks5://45.74.31.25:15963,elite,false,2808,4203,37.4,28.7,216,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,12,2026-09-20T03:49:39.093Z,2026-09-26T17:10:33.895Z
socks5,45.74.31.41,11492,socks5://45.74.31.41:11492,elite,false,5001,4841,41.9,24.4,213,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,15,2026-09-19T15:43:16.405Z,2026-09-26T17:11:39.235Z
socks5,45.74.31.50,9058,socks5://45.74.31.50:9058,elite,true,1261,3762.5,41.2,21.3,169,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,15,2026-09-16T03:18:05.440Z,2026-09-26T17:08:43.448Z
