protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,45.74.31.47,16821,socks5://45.74.31.47:16821,elite,true,1208,3808.5,87.8,52.2,435,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,1,2026-09-15T21:56:45.022Z,2026-09-26T04:33:04.110Z
socks5,45.74.31.25,10602,socks5://45.74.31.25:10602,elite,false,1180,3626.5,53.3,28.5,277,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,15,2026-09-17T02:30:16.285Z,2026-09-26T04:26:44.588Z
socks5,45.74.31.50,8714,socks5://45.74.31.50:8714,elite,true,3092,4363,26.9,24.3,309,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,16,2026-09-16T03:18:05.440Z,2026-09-26T04:23:27.069Z
socks5,45.74.31.30,49100,socks5://45.74.31.30:49100,elite,true,1173,2543,37.5,22.8,158,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,6,2026-09-12T05:10:07.082Z,2026-09-26T04:28:35.460Z
socks5,45.74.31.41,11295,socks5://45.74.31.41:11295,elite,true,5528,4693,44.4,22.8,145,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,16,2026-09-15T19:55:41.483Z,2026-09-26T04:24:38.978Z
socks5,45.74.31.22,13399,socks5://45.74.31.22:13399,elite,false,1934,3446,26.9,21.3,61,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,13,2026-09-16T13:23:22.081Z,2026-09-26T04:32:39.820Z
socks5,45.74.31.47,16844,socks5://45.74.31.47:16844,elite,true,1946,4393,50,20.8,173,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,19,2026-09-17T08:33:26.753Z,2026-09-26T04:28:54.563Z
socks5,45.74.31.41,12339,socks5://45.74.31.41:12339,elite,true,1147,4464.5,80,19.8,126,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,17,2026-09-15T03:47:12.852Z,2026-09-26T04:31:52.094Z
socks5,45.74.31.30,49102,socks5://45.74.31.30:49102,elite,false,4722,3840.5,47.1,19.4,124,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,15,2026-09-12T07:11:10.491Z,2026-09-26T04:24:31.007Z
socks5,45.74.31.42,11191,socks5://45.74.31.42:11191,elite,false,2950,3794,23.3,17.8,180,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,16,2026-09-12T00:07:29.816Z,2026-09-26T04:24:33.654Z
socks5,45.74.31.40,18167,socks5://45.74.31.40:18167,elite,false,2925,2516,30.7,16.7,114,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,13,2026-09-13T21:31:20.320Z,2026-09-26T04:26:44.590Z
socks5,45.74.31.42,12753,socks5://45.74.31.42:12753,elite,false,8225,6017,25,16.3,147,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,14,2026-09-20T01:48:36.120Z,2026-09-26T04:31:18.607Z
socks5,45.74.31.22,13400,socks5://45.74.31.22:13400,elite,false,4160,4248,27.3,13.3,105,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,13,2026-09-16T15:24:25.934Z,2026-09-26T04:22:52.268Z
socks5,45.74.31.50,10815,socks5://45.74.31.50:10815,elite,false,2918,4094,11.1,11.9,118,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,18,2026-09-14T01:33:28.530Z,2026-09-26T04:30:48.782Z
socks5,45.74.31.22,13246,socks5://45.74.31.22:13246,elite,false,5954,4229.5,94.1,,18,102.134.101.35,15,bi,Bujumbura Mairie,Bujumbura,Africa/Bujumbura,37545,Burundi Backbone System SM,2,2026-09-16T22:28:07.730Z,2026-09-26T04:28:16.949Z
