protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,177.87.121.20,3128,http://177.87.121.20:3128,transparent,true,747,662.5,100,100,64,177.87.121.20,1,br,Ceará,Fortaleza,America/Fortaleza,263511,Saveincloud Hospedagem na Internet Ltda,17,2026-09-20T17:57:05.051Z,2026-09-21T04:30:05.105Z
http,200.229.76.160,3128,http://200.229.76.160:3128,transparent,true,672,639,99.3,99,290,200.229.76.160,1,br,São Paulo,Vinhedo,America/Sao_Paulo,263511,Saveincloud Hospedagem na Internet Ltda,19,2026-09-19T02:36:24.799Z,2026-09-21T04:30:55.434Z
socks4,177.85.65.177,4153,socks4://177.85.65.177:4153,elite,false,688,695.5,94.4,90.5,932,177.85.65.177,1,br,Bahia,Simões Filho,America/Bahia,262600,ASE TELECOMUNICAÇÕES LTDA ME,12,2025-09-04T23:48:59.643Z,2026-09-21T04:28:41.297Z
socks5,161.35.90.93,1082,socks5://161.35.90.93:1082,elite,true,1477,1415.5,92.5,84,880,24.152.37.60,1,br,Minas Gerais,Belo Horizonte,America/Sao_Paulo,270564,MASTER DA WEB DATACENTER LTDA,19,2026-08-09T19:18:19.670Z,2026-09-21T04:23:12.151Z
socks4,138.255.240.66,40736,socks4://138.255.240.66:40736,elite,false,650,690.5,85.3,79.6,837,138.255.240.66,1,br,Bahia,Santo Amaro,America/Bahia,263981,DAVID DE SALLES BRASIL JUNIOR - ME,9,2025-09-04T23:49:05.411Z,2026-09-21T04:29:35.459Z
socks4,177.152.106.74,1080,socks4://177.152.106.74:1080,elite,false,3862,3892.5,79.6,73.9,811,177.152.106.74,1,br,Minas Gerais,São Romão,America/Sao_Paulo,270587,figueiredo provedores eireli,10,2026-07-04T20:40:07.389Z,2026-09-21T04:21:40.297Z
socks4,189.50.138.10,5678,socks4://189.50.138.10:5678,elite,false,781,889,73.8,71.4,790,189.50.138.10,1,br,São Paulo,Presidente Prudente,America/Sao_Paulo,28330,IFTNET-TELECOM,13,2025-09-04T23:49:08.159Z,2026-09-21T04:30:26.225Z
socks4,200.188.246.122,60606,socks4://200.188.246.122:60606,elite,false,1771,1283,70.4,65.6,739,200.188.246.122,1,br,Santa Catarina,Florianópolis,America/Sao_Paulo,11844,Empresa Catarinense de Tecnologia em Telecom. Ltda,13,2025-09-05T20:06:36.608Z,2026-09-21T04:27:19.416Z
socks4,167.250.137.129,1080,socks4://167.250.137.129:1080,elite,false,3732,1815.5,74.1,63.6,725,167.250.137.129,1,br,Ceará,Crato,America/Fortaleza,28598,DB3 SERVICOS DE TELECOMUNICACOES S.A,13,2026-06-07T17:53:07.639Z,2026-09-21T04:26:22.625Z
socks4,177.131.121.208,5432,socks4://177.131.121.208:5432,elite,false,846,914,74.1,63.5,746,177.131.121.208,1,br,Santa Catarina,Joaçaba,America/Sao_Paulo,262391,ACESSOLINE TELECOMUNICACOES LTDA,12,2026-07-06T05:00:52.740Z,2026-09-21T04:25:30.277Z
