protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,177.87.121.20,3128,http://177.87.121.20:3128,transparent,true,747,662.5,100,100,64,177.87.121.20,1,br,Ceará,Fortaleza,America/Fortaleza,263511,Saveincloud Hospedagem na Internet Ltda,17,2026-09-20T17:57:05.051Z,2026-09-21T04:30:05.105Z
http,200.229.76.160,3128,http://200.229.76.160:3128,transparent,true,672,639,99.3,99,290,200.229.76.160,1,br,São Paulo,Vinhedo,America/Sao_Paulo,263511,Saveincloud Hospedagem na Internet Ltda,19,2026-09-19T02:36:24.799Z,2026-09-21T04:30:55.434Z
http,206.42.19.65,8080,http://206.42.19.65:8080,transparent,true,682,2583,33.3,42.4,59,206.42.19.65,1,br,Ceará,Pereiro,America/Fortaleza,28126,BRISANET SERVICOS DE TELECOMUNICACOES S.A,10,2025-09-04T23:49:25.444Z,2026-09-21T04:30:38.543Z
http,186.216.208.98,3128,http://186.216.208.98:3128,transparent,true,1753,3155.5,50,35.9,607,186.216.208.98,1,br,Federal District,Brasília,America/Sao_Paulo,262989,CLICKNET BRASIL INFORMATICA E TELECOMUNICACOES LT,15,2026-02-05T17:54:21.242Z,2026-09-21T04:26:57.015Z
http,45.180.19.192,8085,http://45.180.19.192:8085,transparent,true,1669,2194.5,43.6,28,471,138.0.204.30,1,br,São Paulo,Zacarias,America/Sao_Paulo,264556,GARCIA TELECOMUNICACOES LTDA,18,2026-09-10T22:54:13.747Z,2026-09-21T04:23:57.659Z
http,168.195.168.182,8080,http://168.195.168.182:8080,transparent,true,3174,3363.5,40.7,26.3,114,177.129.18.164,1,br,São Paulo,Guarulhos,America/Sao_Paulo,262807,Redfox Telecomunicações Ltda.,16,2026-07-09T17:40:10.650Z,2026-09-21T04:26:56.974Z
http,45.168.244.255,9090,http://45.168.244.255:9090,elite,true,2248,2870,35.9,24.3,341,45.168.246.128,1,br,Minas Gerais,São João Batista do Glória,America/Sao_Paulo,268084,MAXIMA INTERNET BANDA LARGA,12,2026-08-27T23:26:45.351Z,2026-09-21T04:23:10.604Z
http,45.183.236.181,8085,http://45.183.236.181:8085,transparent,false,9377,5368,25,23.9,356,45.183.236.26,1,br,Mato Grosso do Sul,Água Clara,America/Campo_Grande,269295,WLAN NETWORK LTDA,15,2026-08-27T20:25:09.783Z,2026-09-21T04:25:14.866Z
http,190.124.252.129,6666,http://190.124.252.129:6666,transparent,true,3597,3352,23.8,23.3,374,190.124.252.0,1,br,Bahia,Simões Filho,America/Bahia,270456,VARIAX SERVICOS DE INTERNET LTDA,14,2026-07-08T19:31:11.274Z,2026-09-21T04:25:01.272Z
http,45.180.84.105,443,http://45.180.84.105:443,transparent,true,612,3242.5,42,23.1,316,45.180.87.66,1,br,Bahia,Salvador,America/Bahia,269139,AN TELECOM,15,2026-07-11T14:03:58.942Z,2026-09-21T04:30:39.731Z
http,190.93.182.102,3128,http://190.93.182.102:3128,transparent,false,3895,3812.5,38.3,20.3,202,190.93.182.102,1,br,Pernambuco,Recife,America/Recife,269722,A2M Tecnologia em Internet,12,2026-08-26T20:14:45.247Z,2026-09-21T04:30:31.925Z
