protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,177.85.65.177,4153,socks4://177.85.65.177:4153,elite,true,666,695.5,83.1,86.7,880,177.85.65.177,1,br,Bahia,Simões Filho,America/Bahia,262600,ASE TELECOMUNICAÇÕES LTDA ME,13,2025-09-04T23:48:59.643Z,2026-09-25T04:22:50.548Z
socks4,179.189.254.217,5432,socks4://179.189.254.217:5432,elite,true,611,631.5,83.3,83.3,54,179.189.254.217,1,br,Pernambuco,Recife,America/Recife,28252,WorldNet Telecom Comercio e Serviços de Telecomuni,11,2026-08-27T06:19:05.751Z,2026-09-25T04:29:30.609Z
socks4,138.255.240.66,40736,socks4://138.255.240.66:40736,elite,true,923,2838,66.7,79.3,768,138.255.240.66,1,br,Bahia,Santo Amaro,America/Bahia,263981,DAVID DE SALLES BRASIL JUNIOR - ME,13,2025-09-04T23:49:05.411Z,2026-09-25T04:30:58.697Z
socks4,177.152.106.74,1080,socks4://177.152.106.74:1080,elite,true,914,950.5,78.7,75.3,769,177.152.106.74,1,br,Minas Gerais,São Romão,America/Sao_Paulo,270587,figueiredo provedores eireli,11,2026-07-04T20:40:07.389Z,2026-09-25T04:31:25.969Z
socks4,143.255.109.76,1080,socks4://143.255.109.76:1080,elite,true,825,822,57.4,69.3,716,143.255.109.79,1,br,Federal District,Brasília,America/Sao_Paulo,265144,MCD INFORMATICA E TELECOMUNICACOES LTDA - ME,20,2026-07-04T18:38:40.357Z,2026-09-25T04:25:55.737Z
socks4,189.50.138.10,5678,socks4://189.50.138.10:5678,elite,true,801,1819,73.2,68.6,723,189.50.138.10,1,br,São Paulo,Presidente Prudente,America/Sao_Paulo,28330,IFTNET-TELECOM,14,2025-09-04T23:49:08.159Z,2026-09-25T04:21:30.664Z
socks4,181.233.94.101,1080,socks4://181.233.94.101:1080,elite,true,1804,1783,64,66.9,722,200.225.220.39,1,br,Pernambuco,Recife,America/Recife,16735,ALGAR TELECOM S/A,15,2026-08-06T18:40:28.036Z,2026-09-25T04:27:20.040Z
socks4,200.71.123.77,60606,socks4://200.71.123.77:60606,elite,true,772,1785.5,64,66.3,673,200.71.123.77,1,br,Rio Grande do Sul,Constantina,America/Sao_Paulo,61765,Forza Telecomunicações LTDA,1,2026-03-17T17:23:29.263Z,2026-09-25T04:28:20.876Z
socks4,177.125.144.94,1080,socks4://177.125.144.94:1080,elite,false,1844,1832,56.7,64.5,716,177.125.144.94,1,br,Espírito Santo,Afonso Cláudio,America/Sao_Paulo,53132,Mega Grupo de Telecomunicações Ltda,9,2026-07-08T00:20:44.295Z,2026-09-25T04:27:50.271Z
socks4,187.87.35.148,4153,socks4://187.87.35.148:4153,elite,true,653,679.5,73.9,64.2,674,187.87.35.148,1,br,Bahia,Feira de Santana,America/Bahia,53073,GD SERVIÇOS INTERNET LTDA,12,2026-04-17T19:22:42.576Z,2026-09-25T04:30:06.102Z
socks4,201.131.214.1,5678,socks4://201.131.214.1:5678,elite,false,705,702,61.7,63.6,689,201.131.214.1,1,br,Bahia,Utinga,America/Bahia,61800,VIGORA TELECOM,13,2026-04-13T16:10:11.089Z,2026-09-25T04:26:32.733Z
socks4,167.250.137.129,1080,socks4://167.250.137.129:1080,elite,true,3763,1326,73.8,63.5,690,167.250.137.129,1,br,Ceará,Crato,America/Fortaleza,28598,DB3 SERVICOS DE TELECOMUNICACOES S.A,14,2026-06-07T17:53:07.639Z,2026-09-25T04:30:04.531Z
socks4,170.150.1.253,4145,socks4://170.150.1.253:4145,elite,false,7970,1758,58.9,63.3,700,170.150.1.253,1,br,Santa Catarina,Timbó,America/Sao_Paulo,28343,UNIFIQUE TELECOMUNICACOES S/A,12,2026-07-05T06:43:08.550Z,2026-09-25T04:29:09.305Z
socks4,177.68.149.141,1080,socks4://177.68.149.141:1080,elite,true,845,1372.5,73.1,62.9,677,177.68.149.141,1,br,São Paulo,São Paulo,America/Sao_Paulo,27699,TELEFÔNICA BRASIL S.A,12,2025-09-05T20:06:32.226Z,2026-09-25T04:31:03.948Z
socks4,200.188.246.122,60606,socks4://200.188.246.122:60606,elite,false,748,3780.5,67.6,62.1,615,200.188.246.122,1,br,Santa Catarina,Florianópolis,America/Sao_Paulo,11844,Empresa Catarinense de Tecnologia em Telecom. Ltda,14,2025-09-05T20:06:36.608Z,2026-09-25T04:30:25.448Z
socks4,187.102.16.66,51327,socks4://187.102.16.66:51327,elite,false,766,783.5,62.9,62.1,633,187.102.16.66,1,br,Minas Gerais,Guanhães,America/Sao_Paulo,53094,GHNET TELECOM LTDA,13,2025-09-04T23:49:08.228Z,2026-09-25T04:22:27.488Z
socks4,177.73.77.19,4153,socks4://177.73.77.19:4153,elite,false,721,735,54.3,62,657,177.73.77.19,1,br,Bahia,Conceição do Jacuípe,America/Bahia,262769,AVANZA TELECOM LTDA,13,2025-11-16T21:24:15.602Z,2026-09-25T04:26:53.596Z
socks4,179.189.249.249,5432,socks4://179.189.249.249:5432,elite,false,3660,635.5,54.6,61.7,635,179.189.249.249,1,br,Pernambuco,Recife,America/Recife,28252,WorldNet Telecom Comercio e Serviços de Telecomuni,13,2026-08-12T22:58:22.365Z,2026-09-25T04:26:28.058Z
socks4,179.108.153.128,4145,socks4://179.108.153.128:4145,elite,false,838,842,63,61.6,596,179.108.153.128,1,br,Bahia,Teixeira de Freitas,America/Bahia,262973,Max Telecomunicações Ltda,10,2026-04-17T22:11:23.026Z,2026-09-25T04:30:45.527Z
socks4,177.131.118.123,5432,socks4://177.131.118.123:5432,elite,false,736,748,59,61.5,634,177.131.118.123,1,br,Santa Catarina,Xanxerê,America/Sao_Paulo,262391,ACESSOLINE TELECOMUNICACOES LTDA,15,2026-07-05T17:50:46.960Z,2026-09-25T04:28:29.688Z
socks4,177.66.43.189,4145,socks4://177.66.43.189:4145,elite,true,810,818,58.1,60.1,619,177.66.47.179,1,br,Rio Grande do Sul,Porto Lucena,America/Sao_Paulo,52843,Magnos A. Both e Cia Ltda,11,2025-09-04T23:48:55.055Z,2026-09-25T04:27:30.411Z
socks4,177.136.124.45,56113,socks4://177.136.124.45:56113,elite,true,656,1690.5,47.2,60,615,177.136.124.45,1,br,Bahia,Salvador,America/Bahia,28186,ITS TELECOMUNICACOES LTDA,13,2025-09-04T23:48:58.237Z,2026-09-25T04:29:31.130Z
socks4,45.70.188.10,4153,socks4://45.70.188.10:4153,elite,true,1693,689,77.5,60,655,45.70.188.10,1,br,Bahia,Curaçá,America/Bahia,267594,Rapidus Internet Banda larga,13,2025-09-12T17:03:10.234Z,2026-09-25T04:29:53.563Z
socks4,131.0.245.82,60606,socks4://131.0.245.82:60606,elite,false,7917,1215,67.2,59.5,620,187.87.34.82,1,br,Bahia,Feira de Santana,America/Bahia,53073,GD SERVIÇOS INTERNET LTDA,13,2025-09-04T23:49:12.194Z,2026-09-25T04:28:42.162Z
socks4,186.216.195.1,4153,socks4://186.216.195.1:4153,elite,false,1724,735,64.7,59,666,186.216.195.1,1,br,Rio de Janeiro,Rio de Janeiro,America/Sao_Paulo,52973,YIPI Telecom LTDA.,14,2025-09-04T23:49:05.814Z,2026-09-25T04:29:43.115Z
socks4,177.93.72.82,4153,socks4://177.93.72.82:4153,elite,false,731,737.5,63,58.3,597,177.93.72.82,1,br,Pernambuco,Petrolina,America/Recife,263163,JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA,13,2025-11-10T18:01:29.143Z,2026-09-25T04:23:45.477Z
socks4,187.85.150.54,5432,socks4://187.85.150.54:5432,elite,false,803,1325,53.7,58.1,665,187.85.150.54,1,br,Santa Catarina,Campo Belo do Sul,America/Sao_Paulo,53062,GGNET TELECOMUNICACOES LTDA,11,2026-08-09T21:19:18.240Z,2026-09-25T04:21:30.674Z
socks4,177.54.239.13,4145,socks4://177.54.239.13:4145,elite,false,3735,1849,50,58.1,671,177.54.239.13,1,br,Tocantins,Araguaína,America/Araguaina,262462,Aranet Play,20,2026-07-06T14:12:42.448Z,2026-09-25T04:27:30.418Z
socks4,177.74.141.8,5432,socks4://177.74.141.8:5432,elite,true,1774,783,60.6,57.8,417,177.74.141.8,1,br,Rio Grande do Sul,São Leopoldo,America/Sao_Paulo,263648,PONTOCOMNET SERVIÇOS DE INTERNET LTDA,13,2026-07-04T12:35:33.821Z,2026-09-25T04:30:53.977Z
