protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,184.75.221.82,3118,http://184.75.221.82:3118,anonymous,true,386,113,96.4,92.3,983,184.75.221.82,1,ca,Ontario,Toronto,America/Toronto,32489,Amanah Tech Inc.,23,2026-08-28T17:37:16.156Z,2026-09-19T04:24:46.799Z
socks4,149.248.18.106,1080,socks4://149.248.18.106:1080,elite,false,7823,6412.5,70.1,74.8,888,104.193.135.197,2,ca,British Columbia,Vancouver,America/Vancouver,394256,Tech Futures Interactive Inc.,18,2026-09-12T00:07:29.017Z,2026-09-19T04:30:45.908Z
socks5,149.248.18.106,1080,socks5://149.248.18.106:1080,elite,true,9053,5416.5,72.2,74.2,793,104.193.135.197,2,ca,British Columbia,Vancouver,America/Vancouver,394256,Tech Futures Interactive Inc.,18,2026-09-11T21:05:56.215Z,2026-09-19T04:28:45.113Z
socks5,161.35.90.93,1081,socks5://161.35.90.93:1081,elite,true,735,971.5,69.2,73.7,892,146.70.137.34,1,ca,Quebec,Montréal,America/Toronto,9009,M247 Europe SRL,19,2026-08-07T23:55:23.891Z,2026-09-19T04:26:22.952Z
http,38.29.32.240,3128,http://38.29.32.240:3128,transparent,false,162,204,70.4,67.8,901,38.29.32.240,1,ca,Ontario,Burlington,America/Toronto,32100,Xplore Inc.,10,2026-07-14T02:36:12.791Z,2026-09-19T04:29:37.504Z
socks4,45.73.0.118,5678,socks4://45.73.0.118:5678,elite,false,1242,1240,55.7,58.1,842,45.73.0.118,1,ca,Quebec,Montréal,America/Toronto,5769,Videotron Ltee,19,2025-09-04T23:49:06.050Z,2026-09-19T04:25:27.552Z
socks5,38.49.210.79,40000,socks5://38.49.210.79:40000,elite,true,5226,301.5,64.4,55.6,826,104.28.246.50,1,ca,Quebec,Montréal,America/Toronto,13335,"Cloudflare, Inc.",21,2026-06-17T18:01:47.043Z,2026-09-19T04:27:04.968Z
socks4,24.37.245.42,51056,socks4://24.37.245.42:51056,elite,false,3320,341.5,36.8,46.7,754,24.37.245.42,1,ca,Quebec,Montréal,America/Toronto,5769,Videotron Ltee,19,2025-09-04T23:49:11.832Z,2026-09-19T04:21:29.918Z
http,148.113.202.99,3128,http://148.113.202.99:3128,transparent,false,247,3623.5,38.7,45.6,307,148.113.202.99,1,ca,Quebec,Montréal,America/Toronto,16276,OVH SAS,12,2026-07-06T09:10:05.787Z,2026-09-19T04:29:53.311Z
socks5,45.74.31.41,11524,socks5://45.74.31.41:11524,elite,false,4913,3460.5,48.8,38.1,239,51.79.43.5,3,ca,Quebec,Montréal,America/Toronto,16276,OVH SAS,15,2026-09-16T03:18:05.440Z,2026-09-19T04:30:12.057Z
socks5,45.74.31.25,8416,socks5://45.74.31.25:8416,elite,true,8515,4582.5,50,34.2,111,51.79.43.5,3,ca,Quebec,Montréal,America/Toronto,16276,OVH SAS,14,2026-09-15T12:52:07.163Z,2026-09-19T04:22:38.725Z
socks5,45.74.31.40,10594,socks5://45.74.31.40:10594,elite,true,3064,7357.5,26.9,29.9,144,51.79.43.5,3,ca,Quebec,Montréal,America/Toronto,16276,OVH SAS,15,2026-09-16T03:18:05.440Z,2026-09-19T04:30:37.467Z
http,184.70.113.34,3128,http://184.70.113.34:3128,transparent,true,460,3959.5,27.4,21.1,289,184.70.113.34,1,ca,Alberta,High River,America/Edmonton,6327,Shaw Communications,20,2026-08-05T05:21:13.994Z,2026-09-19T04:30:23.458Z
http,185.204.170.179,1115,http://185.204.170.179:1115,elite,true,2765,3410,21.7,9.7,93,134.195.196.211,1,ca,Ontario,Toronto,America/Toronto,62563,GLOBALTELEHOST Corp.,13,2026-09-07T14:27:20.316Z,2026-09-19T04:25:58.788Z
http,111.119.162.248,10955,http://111.119.162.248:10955,elite,true,1755,1555.5,57.1,,10,149.22.95.183,1,ca,British Columbia,Vancouver,America/Vancouver,212238,Datacamp Limited,11,2026-08-16T09:41:36.745Z,2026-09-19T04:22:10.184Z
