protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,185.195.71.218,18080,http://185.195.71.218:18080,elite,true,483,486.5,100,98.7,819,185.195.71.218,2,ch,Lucerne,Luzern,Europe/Zurich,56803,Datasource AG,13,2025-11-22T22:38:16.432Z,2026-09-21T04:31:08.997Z
socks5,185.195.71.218,18080,socks5://185.195.71.218:18080,elite,true,706,707,100,98.6,809,185.195.71.218,2,ch,Lucerne,Luzern,Europe/Zurich,56803,Datasource AG,20,2025-11-22T16:10:15.367Z,2026-09-21T04:25:08.592Z
http,185.191.239.248,3128,http://185.191.239.248:3128,transparent,true,513,513,76.9,92.5,615,185.191.239.248,1,ch,Ticino,Bellinzona,Europe/Zurich,264617,GRUPO PANAGLOBAL 15 S.A,15,2026-05-21T20:26:35.754Z,2026-09-21T04:31:11.633Z
http,217.162.8.134,80,http://217.162.8.134:80,elite,false,620,635,86.2,91.4,416,217.162.8.134,1,ch,Solothurn,Egerkingen,Europe/Zurich,6730,Sunrise GmbH,9,2025-12-07T12:46:43.973Z,2026-09-21T04:27:28.837Z
socks5,45.74.31.47,4578,socks5://45.74.31.47:4578,elite,true,745,731.5,65.5,65.6,61,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,1,2026-09-20T03:49:39.093Z,2026-09-21T04:24:30.385Z
http,88.80.186.173,19180,http://88.80.186.173:19180,transparent,true,1931,4426,61.1,62.2,315,195.176.3.24,1,ch,Zurich,Zürich,Europe/Zurich,559,SWITCH,24,2026-09-17T14:36:37.430Z,2026-09-21T04:30:02.334Z
socks5,45.74.31.25,4354,socks5://45.74.31.25:4354,elite,false,2826,3196,21.4,34.6,81,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,16,2026-09-19T04:37:35.750Z,2026-09-21T04:22:45.052Z
socks5,45.74.31.30,5160,socks5://45.74.31.30:5160,elite,true,6783,3658.5,35.4,30.5,266,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,16,2026-09-15T16:54:06.013Z,2026-09-21T04:25:12.266Z
socks5,45.74.31.42,9450,socks5://45.74.31.42:9450,elite,false,6443,5283.5,19.4,24.2,66,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,16,2026-09-19T14:42:47.516Z,2026-09-21T04:24:39.443Z
socks5,45.74.31.25,4417,socks5://45.74.31.25:4417,elite,false,9405,5942,26.7,13.2,121,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,19,2026-09-12T17:16:31.556Z,2026-09-21T04:22:30.981Z
socks5,45.74.31.42,7384,socks5://45.74.31.42:7384,elite,true,693,744,69.4,,49,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,1,2026-09-20T08:52:17.653Z,2026-09-21T04:30:38.653Z
socks5,45.74.31.25,7371,socks5://45.74.31.25:7371,elite,true,2204,1513,83.3,,6,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,4,2026-09-21T03:01:53.055Z,2026-09-21T04:25:28.723Z
socks5,45.74.31.42,6274,socks5://45.74.31.42:6274,elite,true,3441,2452,68.2,,22,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,11,2026-09-20T21:59:18.820Z,2026-09-21T04:29:45.034Z
socks5,45.74.31.42,4725,socks5://45.74.31.42:4725,elite,false,4171,4171,100,,1,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,7,2026-09-11T18:04:21.401Z,2026-09-21T04:29:11.404Z
socks5,45.74.31.25,7890,socks5://45.74.31.25:7890,elite,false,4630,3498,50,,22,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,12,2026-09-15T04:47:58.691Z,2026-09-21T04:26:26.842Z
