protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,185.195.71.218,18080,socks5://185.195.71.218:18080,elite,true,706,707,100,98.6,809,185.195.71.218,2,ch,Lucerne,Luzern,Europe/Zurich,56803,Datasource AG,20,2025-11-22T16:10:15.367Z,2026-09-21T04:25:08.592Z
socks5,45.74.31.47,4578,socks5://45.74.31.47:4578,elite,true,745,731.5,65.5,65.6,61,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,1,2026-09-20T03:49:39.093Z,2026-09-21T04:24:30.385Z
socks5,45.74.31.25,4354,socks5://45.74.31.25:4354,elite,false,2826,3196,21.4,34.6,81,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,16,2026-09-19T04:37:35.750Z,2026-09-21T04:22:45.052Z
socks5,45.74.31.30,5160,socks5://45.74.31.30:5160,elite,true,6783,3658.5,35.4,30.5,266,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,16,2026-09-15T16:54:06.013Z,2026-09-21T04:25:12.266Z
socks5,45.74.31.42,9450,socks5://45.74.31.42:9450,elite,false,6443,5283.5,19.4,24.2,66,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,16,2026-09-19T14:42:47.516Z,2026-09-21T04:24:39.443Z
socks5,45.74.31.25,4417,socks5://45.74.31.25:4417,elite,false,9405,5942,26.7,13.2,121,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,19,2026-09-12T17:16:31.556Z,2026-09-21T04:22:30.981Z
socks5,45.74.31.42,7384,socks5://45.74.31.42:7384,elite,true,693,744,69.4,,49,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,1,2026-09-20T08:52:17.653Z,2026-09-21T04:30:38.653Z
socks5,45.74.31.25,7371,socks5://45.74.31.25:7371,elite,true,2204,1513,83.3,,6,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,4,2026-09-21T03:01:53.055Z,2026-09-21T04:25:28.723Z
socks5,45.74.31.42,6274,socks5://45.74.31.42:6274,elite,true,3441,2452,68.2,,22,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,11,2026-09-20T21:59:18.820Z,2026-09-21T04:29:45.034Z
socks5,45.74.31.42,4725,socks5://45.74.31.42:4725,elite,false,4171,4171,100,,1,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,7,2026-09-11T18:04:21.401Z,2026-09-21T04:29:11.404Z
socks5,45.74.31.25,7890,socks5://45.74.31.25:7890,elite,false,4630,3498,50,,22,80.74.142.120,10,ch,Zurich,Zürich,Europe/Zurich,21069,METANET AG,12,2026-09-15T04:47:58.691Z,2026-09-21T04:26:26.842Z
