protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,38.7.195.51,999,http://38.7.195.51:999,transparent,true,1838,4411,58.3,51.3,655,151.241.85.26,4,cl,O'Higgins Region,San Vicente de Tagua Tagua,America/Santiago,274099,VALLENET SPA,26,2026-02-10T13:55:01.665Z,2026-09-26T04:24:01.879Z
http,38.7.195.50,999,http://38.7.195.50:999,transparent,true,4498,4068,61.3,51.3,645,151.241.85.26,4,cl,O'Higgins Region,San Vicente de Tagua Tagua,America/Santiago,274099,VALLENET SPA,25,2026-02-10T13:55:01.663Z,2026-09-26T04:31:52.617Z
http,38.7.195.52,999,http://38.7.195.52:999,transparent,false,3033,3315.5,56.5,50.1,645,151.241.85.26,4,cl,O'Higgins Region,San Vicente de Tagua Tagua,America/Santiago,274099,VALLENET SPA,24,2026-02-10T13:55:01.666Z,2026-09-26T04:32:09.469Z
http,38.7.195.55,999,http://38.7.195.55:999,transparent,true,3441,3056,58.2,49.7,618,151.241.85.26,4,cl,O'Higgins Region,San Vicente de Tagua Tagua,America/Santiago,274099,VALLENET SPA,26,2026-02-10T13:55:01.667Z,2026-09-26T04:26:52.522Z
http,152.230.215.123,80,http://152.230.215.123:80,elite,false,7211,2495.5,28.4,41.9,499,152.230.215.123,1,cl,Santiago Metropolitan,Santiago,America/Santiago,14259,Gtd Internet S.A.,19,2025-09-10T19:34:24.265Z,2026-09-26T04:31:22.862Z
http,201.186.41.108,999,http://201.186.41.108:999,transparent,false,5790,1643,34.7,33.8,423,38.225.196.82,1,cl,Maule Region,Curicó,America/Santiago,274111,INFRONET MAULE SPA,16,2026-06-27T19:11:26.949Z,2026-09-26T04:30:09.909Z
http,186.10.150.185,8080,http://186.10.150.185:8080,transparent,true,1822,2045,28,23.1,243,186.10.150.185,1,cl,Santiago Metropolitan,Santiago,America/Santiago,27651,ENTEL CHILE S.A.,25,2026-09-17T03:30:49.935Z,2026-09-26T04:30:48.249Z
http,151.241.86.129,999,http://151.241.86.129:999,transparent,true,1971,4077.5,16.9,21.7,350,151.241.86.134,1,cl,O'Higgins Region,San Vicente de Tagua Tagua,America/Santiago,274099,VALLENET SPA,25,2026-09-10T22:54:11.229Z,2026-09-26T04:23:38.180Z
http,190.121.52.124,999,http://190.121.52.124:999,transparent,false,3847,3004.5,22.2,21.4,178,190.121.52.124,1,cl,Araucania,Lonquimay,America/Santiago,14117,Telefonica del Sur S.A.,23,2026-09-16T08:20:45.172Z,2026-09-26T04:24:38.980Z
http,204.199.139.36,999,http://204.199.139.36:999,transparent,true,7831,2768.5,32.8,20.9,330,204.199.139.43,1,cl,Santiago Metropolitan,Santiago,America/Santiago,273237,INGBELL CHILE SPA,14,2025-09-28T11:24:06.476Z,2026-09-26T04:28:09.462Z
http,45.181.123.185,999,http://45.181.123.185:999,transparent,false,3529,4711.5,9.8,19.6,352,45.181.123.177,1,cl,Valparaiso,Quillota,America/Santiago,269733,REDCENTRAL TELECOMUNICACIONES LTDA,16,2026-06-20T00:28:25.453Z,2026-09-26T04:22:39.632Z
http,167.249.30.17,8080,http://167.249.30.17:8080,elite,false,5238,3540,15.7,16.6,302,167.249.30.17,1,cl,Santiago Metropolitan,Santiago,America/Santiago,64131,GLOBALCONNECT SPA,16,2026-08-28T03:30:16.715Z,2026-09-26T04:28:12.703Z
http,45.225.207.248,999,http://45.225.207.248:999,anonymous,true,3866,3637,18.9,15.9,195,45.225.206.56,1,cl,O'Higgins Region,Chimbarongo,America/Santiago,265858,NETDELSUR TELECOMUNICACIONES SPA,22,2026-05-13T08:38:06.652Z,2026-09-26T04:27:04.690Z
http,190.121.4.157,999,http://190.121.4.157:999,transparent,false,3031,5462.5,28.6,13.9,209,190.121.4.157,1,cl,Araucania,Saavedra,America/Santiago,14117,Telefonica del Sur S.A.,24,2025-09-10T21:05:09.855Z,2026-09-26T04:28:52.428Z
http,45.169.148.1,999,http://45.169.148.1:999,transparent,false,5759,4794.5,18.5,12.3,146,45.169.149.78,1,cl,Santiago Metropolitan,El Monte,America/Santiago,267746,TELECOMUNICACIONES PIXEL LTDA.,11,2026-08-18T02:28:26.832Z,2026-09-26T04:28:14.828Z
http,177.128.115.198,999,http://177.128.115.198:999,transparent,false,2605,4926,18.5,11.8,161,177.128.115.195,1,cl,Santiago Metropolitan,Melipilla,America/Santiago,269988,BINET NETWORKING DATA LIMITADA,23,2025-11-01T22:13:32.811Z,2026-09-26T04:25:03.829Z
