protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,101.66.194.68,8085,http://101.66.194.68:8085,elite,false,911,971.5,100,100,184,123.157.69.126,2,cn,Zhejiang,Jiaxing,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,16,2026-09-19T21:46:37.947Z,2026-09-21T04:23:29.459Z
http,113.204.79.230,9091,http://113.204.79.230:9091,elite,false,1053,1035,100,100,1004,113.204.79.230,1,cn,Chongqing,Chongqing,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,1,2026-03-17T17:23:33.778Z,2026-09-21T04:26:57.002Z
http,153.0.171.163,8085,http://153.0.171.163:8085,elite,false,1088,6185.5,100,100,995,116.167.108.148,1,cn,Hainan,Xiuying,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,17,2025-09-05T00:23:28.017Z,2026-09-21T04:30:05.635Z
http,61.158.175.38,9002,http://61.158.175.38:9002,elite,false,1235,1204,100,100,1004,61.158.175.38,1,cn,Henan,Zhengzhou,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,18,2025-09-04T23:49:07.657Z,2026-09-21T04:32:19.752Z
http,101.66.198.207,8085,http://101.66.198.207:8085,elite,false,911,949,100,99.9,785,123.157.69.126,2,cn,Zhejiang,Jiaxing,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,1,2026-05-31T06:22:57.290Z,2026-09-21T04:26:26.308Z
http,114.236.137.41,21000,http://114.236.137.41:21000,transparent,true,885,915.5,100,99.7,997,114.236.137.41,1,cn,Jiangsu,Nanjing,Asia/Shanghai,4134,CHINANET BACKBONE,20,2026-07-10T05:50:05.301Z,2026-09-21T04:25:04.938Z
http,103.213.97.78,80,http://103.213.97.78:80,transparent,false,968,1043.5,100,99.6,997,203.76.241.18,1,cn,Shanghai,Shanghai,Asia/Shanghai,23650,AS Number for CHINANET jiangsu province backbone,11,2025-12-07T08:09:34.140Z,2026-09-21T04:31:16.885Z
http,119.188.131.55,17981,http://119.188.131.55:17981,elite,true,1682,1599.5,99.3,99.1,984,119.188.131.55,1,cn,Shandong,Jinan,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,21,2026-07-08T05:23:06.942Z,2026-09-21T04:22:44.524Z
socks5,113.249.111.67,1080,socks5://113.249.111.67:1080,elite,true,1506,1476,99.3,98.8,986,113.249.111.67,1,cn,Chongqing,Chongqing,Asia/Shanghai,134420,Chongqing Telecom,19,2026-08-26T20:12:07.501Z,2026-09-21T04:29:07.733Z
http,122.246.112.107,7890,http://122.246.112.107:7890,elite,true,791,884,97.7,98.2,557,122.246.112.107,1,cn,Zhejiang,Ningbo,Asia/Shanghai,4134,CHINANET BACKBONE,20,2026-09-17T03:30:44.651Z,2026-09-21T04:23:16.874Z
http,101.251.204.174,8080,http://101.251.204.174:8080,transparent,true,867,873.5,100,97.6,867,101.251.204.174,1,cn,Beijing,Beijing,Asia/Shanghai,23724,"IDC, China Telecommunications Corporation",12,2025-09-06T09:36:28.353Z,2026-09-21T04:22:47.672Z
http,115.231.181.40,8128,http://115.231.181.40:8128,transparent,true,884,847.5,100,96.6,975,115.231.181.40,1,cn,Zhejiang,Ningbo,Asia/Shanghai,136188,"NINGBO, ZHEJIANG Province, P.R.China.",15,2025-09-04T23:50:05.761Z,2026-09-21T04:24:30.360Z
http,27.185.218.213,17981,http://27.185.218.213:17981,elite,true,1137,1230,95.3,94.7,928,27.185.218.213,1,cn,Hebei,Shijiazhuang,Asia/Shanghai,134760,"Shijiazhuang IDC network, CHINANET Hebei province",22,2026-07-08T21:31:48.662Z,2026-09-21T04:31:06.425Z
http,111.206.4.163,18888,http://111.206.4.163:18888,elite,false,1450,2228,90.3,89.7,880,111.206.4.163,1,cn,Beijing,Beijing,Asia/Shanghai,4808,China Unicom Beijing Province Network,22,2026-09-01T22:31:32.101Z,2026-09-21T04:31:54.117Z
http,116.196.150.180,17981,http://116.196.150.180:17981,elite,true,1667,1682,82,86.1,877,116.196.150.180,1,cn,Shandong,Jinan,Asia/Shanghai,131516,"Jinhua Weian InfoTech Co., Ltd",21,2026-07-08T06:23:43.441Z,2026-09-21T04:23:10.594Z
http,114.252.234.243,3128,http://114.252.234.243:3128,elite,true,1461,2189,95.3,79,448,114.252.234.243,1,cn,Beijing,Beijing,Asia/Shanghai,4808,China Unicom Beijing Province Network,21,2026-09-17T03:30:44.651Z,2026-09-21T04:29:38.126Z
http,61.186.243.6,9002,http://61.186.243.6:9002,elite,false,923,961.5,91.7,78.2,316,61.186.243.6,1,cn,Chongqing,Chongqing,Asia/Shanghai,4134,CHINANET BACKBONE,16,2025-09-04T23:49:47.336Z,2026-09-21T04:29:14.086Z
socks4,58.247.113.130,5678,socks4://58.247.113.130:5678,elite,false,2472,2130.5,72.3,67.7,768,58.247.113.130,1,cn,Shanghai,Shanghai,Asia/Shanghai,17621,China Unicom Shanghai network,11,2025-09-05T20:06:35.264Z,2026-09-21T04:24:15.940Z
socks4,218.26.101.226,53813,socks4://218.26.101.226:53813,elite,false,2253,1293.5,70.9,62.2,745,183.185.57.101,1,cn,Shanxi,Taiyuan,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,11,2025-09-04T23:49:06.339Z,2026-09-21T04:31:25.184Z
http,58.254.153.146,17981,http://58.254.153.146:17981,elite,true,1133,1017.5,53.9,61.6,734,58.63.243.11,1,cn,Guangdong,Shenzhen,Asia/Shanghai,4134,CHINANET BACKBONE,21,2026-07-08T06:23:45.497Z,2026-09-21T04:23:25.780Z
http,36.25.247.27,6256,http://36.25.247.27:6256,elite,true,2945,2924.5,74.1,55.6,603,36.25.247.27,1,cn,Zhejiang,Jiaxing,Asia/Shanghai,58461,CT HangZhou IDC,22,2026-09-01T23:30:39.605Z,2026-09-21T04:22:01.197Z
socks4,183.6.57.161,5678,socks4://183.6.57.161:5678,elite,false,1932,1146,83,55,447,183.6.57.161,1,cn,Guangdong,Shenzhen,Asia/Shanghai,4134,CHINANET BACKBONE,7,2025-09-04T23:49:05.298Z,2026-09-21T04:22:42.440Z
http,183.215.23.242,9091,http://183.215.23.242:9091,elite,false,2894,3345.5,53.9,54.1,693,183.215.23.242,1,cn,Hunan,Changsha,Asia/Shanghai,56047,China Mobile communications corporation,1,2026-03-17T17:23:32.637Z,2026-09-21T04:22:27.302Z
http,36.111.33.167,13128,http://36.111.33.167:13128,elite,true,886,900,77.5,53.5,594,36.111.33.167,1,cn,Guangdong,Guangzhou,Asia/Shanghai,58466,CHINANET Guangdong province network,15,2026-07-08T22:29:54.801Z,2026-09-21T04:31:32.013Z
http,123.60.155.1,3128,http://123.60.155.1:3128,anonymous,true,1528,1322,76.9,49.3,653,124.70.144.96,1,cn,Shanghai,Shanghai,Asia/Shanghai,55990,Huawei Cloud Service data center,20,2026-07-10T04:49:24.759Z,2026-09-21T04:30:21.230Z
http,124.128.149.84,8090,http://124.128.149.84:8090,transparent,true,1275,1623.5,62,48,635,124.128.149.84,1,cn,Shandong,Jinan,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,14,2026-07-04T23:41:41.719Z,2026-09-21T04:30:02.376Z
socks4,171.221.174.186,10800,socks4://171.221.174.186:10800,elite,false,8423,2208,72.3,40.5,422,171.221.174.186,1,cn,Sichuan,Chengdu,Asia/Shanghai,4134,CHINANET BACKBONE,8,2025-09-05T20:06:37.595Z,2026-09-21T04:22:07.988Z
socks5,180.141.88.241,9009,socks5://180.141.88.241:9009,elite,false,1395,1414.5,33.3,40,557,180.141.88.241,1,cn,Guangxi,Nanning,Asia/Shanghai,4134,CHINANET BACKBONE,19,2026-08-18T13:27:16.908Z,2026-09-21T04:21:55.460Z
socks4,222.212.85.149,5678,socks4://222.212.85.149:5678,elite,false,2424,1769,62.5,39.7,428,222.212.85.149,1,cn,Sichuan,Chengdu,Asia/Shanghai,4134,CHINANET BACKBONE,20,2025-09-04T23:48:55.830Z,2026-09-21T04:24:39.446Z
socks4,61.191.119.134,10800,socks4://61.191.119.134:10800,elite,false,4188,3114,59.4,35.5,392,61.191.119.134,1,cn,Anhui,Hefei,Asia/Shanghai,4134,CHINANET BACKBONE,18,2025-09-04T23:48:54.639Z,2026-09-21T04:31:02.793Z
