protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,101.66.198.207,8085,http://101.66.198.207:8085,elite,false,962,1010.5,100,100,1004,123.157.69.126,2,cn,Zhejiang,Jiaxing,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,6,2026-05-31T06:22:57.290Z,2026-09-24T04:25:11.638Z
http,101.66.194.68,8085,http://101.66.194.68:8085,elite,false,1018,1122.5,100,100,614,123.157.69.126,2,cn,Zhejiang,Jiaxing,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,17,2026-09-19T21:46:37.947Z,2026-09-24T04:33:14.522Z
http,113.204.79.230,9091,http://113.204.79.230:9091,elite,false,1069,1029.5,100,100,1004,113.204.79.230,1,cn,Chongqing,Chongqing,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,18,2025-09-04T23:49:24.152Z,2026-09-24T04:33:54.290Z
http,103.213.97.78,80,http://103.213.97.78:80,transparent,false,6251,954.5,100,100,999,203.76.241.18,1,cn,Shanghai,Shanghai,Asia/Shanghai,23650,AS Number for CHINANET jiangsu province backbone,1,2026-03-17T17:23:32.288Z,2026-09-24T04:27:36.245Z
http,153.0.171.163,8085,http://153.0.171.163:8085,elite,false,6331,1162,100,99.8,998,61.240.248.216,1,cn,Hainan,Xiuying,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,1,2026-03-17T17:23:34.188Z,2026-09-24T04:31:34.331Z
http,114.236.137.41,21000,http://114.236.137.41:21000,transparent,true,1148,991.5,97.9,99.5,991,114.236.137.41,1,cn,Jiangsu,Nanjing,Asia/Shanghai,4134,CHINANET BACKBONE,22,2026-07-10T05:50:05.301Z,2026-09-24T04:30:08.326Z
http,61.158.175.38,9002,http://61.158.175.38:9002,elite,false,1085,1186.5,97.8,98.9,988,61.158.175.38,1,cn,Henan,Zhengzhou,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,19,2025-09-04T23:49:07.657Z,2026-09-24T04:33:58.598Z
http,119.188.131.55,17981,http://119.188.131.55:17981,elite,true,1588,1522.5,99.3,98.9,980,119.188.131.55,1,cn,Shandong,Jinan,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,22,2026-07-08T05:23:06.942Z,2026-09-24T04:25:46.044Z
http,122.246.112.107,7890,http://122.246.112.107:7890,elite,true,2873,1643.5,94.9,96.1,948,122.246.112.107,1,cn,Zhejiang,Ningbo,Asia/Shanghai,4134,CHINANET BACKBONE,21,2026-09-17T03:30:44.651Z,2026-09-24T04:24:04.456Z
http,27.185.218.213,17981,http://27.185.218.213:17981,elite,true,1205,1179.5,93.9,91.1,867,27.185.218.213,1,cn,Hebei,Shijiazhuang,Asia/Shanghai,134760,"Shijiazhuang IDC network, CHINANET Hebei province",23,2026-07-08T21:31:48.662Z,2026-09-24T04:31:33.807Z
http,116.196.150.180,17981,http://116.196.150.180:17981,elite,true,1505,1590.5,94.1,87.8,857,116.196.150.180,1,cn,Shandong,Jinan,Asia/Shanghai,131516,"Jinhua Weian InfoTech Co., Ltd",23,2026-07-08T06:23:43.441Z,2026-09-24T04:26:03.727Z
http,122.246.3.12,17981,http://122.246.3.12:17981,elite,true,829,1192.5,97.9,87.1,804,122.246.3.12,1,cn,Zhejiang,Ningbo,Asia/Shanghai,136188,"NINGBO, ZHEJIANG Province, P.R.China.",22,2026-07-08T20:31:27.310Z,2026-09-24T04:31:48.710Z
http,111.206.4.163,18888,http://111.206.4.163:18888,elite,true,7027,5808.5,81.1,87.1,840,111.206.4.163,1,cn,Beijing,Beijing,Asia/Shanghai,4808,China Unicom Beijing Province Network,23,2026-09-01T22:31:32.101Z,2026-09-24T04:24:34.626Z
http,183.215.23.242,9091,http://183.215.23.242:9091,elite,false,4867,4136,30.9,49.9,593,183.215.23.242,1,cn,Hunan,Changsha,Asia/Shanghai,56047,China Mobile communications corporation,8,2025-09-10T19:34:27.187Z,2026-09-24T04:33:01.076Z
http,36.111.205.240,6666,http://36.111.205.240:6666,elite,false,1866,3996,57.9,48.3,532,36.111.205.240,1,cn,Hunan,Changsha,Asia/Shanghai,63835,CT HuNan Changsha IDC,8,2026-06-12T12:52:45.553Z,2026-09-24T04:27:03.092Z
http,203.3.112.2,6666,http://203.3.112.2:6666,elite,false,7759,4845,57.8,44.1,238,203.3.112.2,1,cn,Hunan,Changsha,Asia/Shanghai,63835,CT HuNan Changsha IDC,17,2025-09-15T20:10:39.476Z,2026-09-24T04:32:14.863Z
http,183.162.197.197,8060,http://183.162.197.197:8060,elite,false,8403,2281,44.8,41,532,183.162.197.197,1,cn,Anhui,Hefei,Asia/Shanghai,4134,CHINANET BACKBONE,8,2025-09-04T23:49:22.265Z,2026-09-24T04:30:30.214Z
http,125.114.134.220,7777,http://125.114.134.220:7777,elite,true,2068,1074.5,38.4,30.8,117,125.114.134.220,2,cn,Zhejiang,Ningbo,Asia/Shanghai,4134,CHINANET BACKBONE,15,2026-09-21T05:03:10.819Z,2026-09-24T04:24:34.639Z
http,36.147.78.166,80,http://36.147.78.166:80,elite,false,5668,3877.5,28.2,23.9,134,36.147.78.166,1,cn,Yunnan,Kunming,Asia/Shanghai,9808,"China Mobile Communications Group Co., Ltd.",7,2025-09-04T23:49:58.193Z,2026-09-24T04:32:03.701Z
