protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,58.247.113.130,5678,socks4://58.247.113.130:5678,elite,true,1259,1316,55.1,67,669,58.247.113.130,1,cn,Shanghai,Shanghai,Asia/Shanghai,17621,China Unicom Shanghai network,11,2025-09-05T20:06:35.264Z,2026-09-25T04:25:44.724Z
socks4,60.217.64.237,35292,socks4://60.217.64.237:35292,elite,true,8524,3371,73.6,63.4,692,60.217.64.237,1,cn,Shandong,Qingdao,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,12,2025-09-04T23:48:55.004Z,2026-09-25T04:28:26.038Z
socks4,183.6.57.161,5678,socks4://183.6.57.161:5678,elite,true,4101,1120,58.1,62.7,632,183.6.57.161,1,cn,Guangdong,Shenzhen,Asia/Shanghai,4134,CHINANET BACKBONE,8,2025-09-04T23:49:05.298Z,2026-09-25T04:26:39.490Z
socks4,180.165.19.173,4153,socks4://180.165.19.173:4153,elite,true,1011,1029.5,60.8,60.8,51,180.165.19.173,1,cn,Shanghai,Shanghai,Asia/Shanghai,4812,China Telecom (Group),12,2026-09-24T08:23:39.287Z,2026-09-25T04:24:56.225Z
socks4,116.232.80.133,1080,socks4://116.232.80.133:1080,elite,false,8095,1561.5,68.4,58.8,575,116.232.80.133,1,cn,Shanghai,Shanghai,Asia/Shanghai,4812,China Telecom (Group),19,2026-08-16T04:40:21.772Z,2026-09-25T04:25:49.982Z
socks4,210.22.100.242,1080,socks4://210.22.100.242:1080,elite,true,1218,1283.5,68.6,58.1,652,210.22.100.242,1,cn,Shanghai,Shanghai,Asia/Shanghai,17621,China Unicom Shanghai network,11,2025-09-05T20:06:36.277Z,2026-09-25T04:22:07.665Z
socks4,27.115.33.94,4153,socks4://27.115.33.94:4153,elite,true,2193,1270.5,43.8,52.4,553,27.115.33.94,1,cn,Shanghai,Shanghai,Asia/Shanghai,17621,China Unicom Shanghai network,11,2025-09-04T23:49:04.845Z,2026-09-25T04:23:55.446Z
socks4,58.18.39.58,10800,socks4://58.18.39.58:10800,elite,false,4262,4240,56.1,52,604,58.18.39.58,1,cn,Inner Mongolia,Hohhot,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,21,2025-09-04T23:48:58.967Z,2026-09-25T04:22:15.485Z
socks4,171.221.240.100,10800,socks4://171.221.240.100:10800,elite,true,1245,2318,55,51.7,451,171.221.240.100,1,cn,Sichuan,Chengdu,Asia/Shanghai,4134,CHINANET BACKBONE,20,2026-08-18T21:33:28.335Z,2026-09-25T04:31:22.275Z
socks4,58.218.169.186,10800,socks4://58.218.169.186:10800,elite,false,2111,3107.5,53.7,48.4,502,58.218.169.186,1,cn,Jiangsu,Nanjing,Asia/Shanghai,4134,CHINANET BACKBONE,10,2025-09-04T23:48:59.496Z,2026-09-25T04:21:49.421Z
socks4,222.212.85.149,5678,socks4://222.212.85.149:5678,elite,true,1213,1740.5,43,45.3,455,222.212.85.149,1,cn,Sichuan,Chengdu,Asia/Shanghai,4134,CHINANET BACKBONE,21,2025-09-04T23:48:55.830Z,2026-09-25T04:29:28.007Z
socks4,180.158.166.144,4145,socks4://180.158.166.144:4145,elite,false,2016,1555,47.1,42.3,555,180.158.166.144,1,cn,Shanghai,Shanghai,Asia/Shanghai,4812,China Telecom (Group),20,2026-03-17T11:20:26.995Z,2026-09-25T04:26:55.154Z
socks4,49.87.0.17,8989,socks4://49.87.0.17:8989,elite,true,1392,1270.5,100,,6,49.87.0.17,1,cn,Jiangsu,Nanjing,Asia/Shanghai,4134,CHINANET BACKBONE,1,2026-09-04T02:42:19.871Z,2026-09-25T04:23:44.426Z
