protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,181.57.178.146,1080,socks4://181.57.178.146:1080,elite,false,7669,1449,78.1,67.8,887,181.57.178.146,1,co,Meta Department,Villavicencio,America/Bogota,14080,Telmex Colombia S.A.,19,2026-08-10T04:23:14.959Z,2026-09-19T04:23:40.109Z
socks4,181.236.221.138,4145,socks4://181.236.221.138:4145,elite,false,472,1068.5,45.4,54.2,828,181.236.221.138,1,co,Tolima Department,Ibagué,America/Bogota,3816,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,11,2025-09-04T23:49:06.262Z,2026-09-19T04:24:23.668Z
socks4,181.48.243.194,4153,socks4://181.48.243.194:4153,elite,false,7589,1099,50,51.9,783,181.48.243.194,1,co,Bogota D.C.,Bogotá,America/Bogota,14080,Telmex Colombia S.A.,13,2025-09-04T23:49:01.291Z,2026-09-19T04:26:35.083Z
http,200.10.31.45,8081,http://200.10.31.45:8081,transparent,false,2579,3171.5,51.1,50.4,811,200.10.31.45,1,co,Risaralda Department,Pereira,America/Bogota,270075,SUPER REDES S.A.S,17,2026-05-05T05:43:03.107Z,2026-09-19T04:29:52.242Z
socks4,200.10.31.74,49992,socks4://200.10.31.74:49992,elite,false,3604,2611.5,46.8,50,786,200.10.31.74,1,co,Risaralda Department,Pereira,America/Bogota,270075,SUPER REDES S.A.S,11,2025-11-28T17:55:23.632Z,2026-09-19T04:27:50.204Z
socks4,170.238.239.71,60606,socks4://170.238.239.71:60606,elite,false,3746,1874,37.5,48.2,784,170.238.239.71,1,co,Valle del Cauca Department,Buenaventura,America/Bogota,18678,INTERNEXA S.A. E.S.P,11,2025-09-05T20:06:37.996Z,2026-09-19T04:29:35.395Z
socks4,177.253.136.162,5678,socks4://177.253.136.162:5678,elite,false,551,1476,29.7,43.6,755,177.253.136.162,1,co,Antioquia,Medellín,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,20,2026-07-04T18:38:40.783Z,2026-09-19T04:22:26.731Z
socks4,181.204.4.74,5678,socks4://181.204.4.74:5678,elite,false,425,1448.5,38.2,41,698,181.204.4.74,1,co,Bolívar,Cartagena,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,21,2025-09-04T23:49:01.667Z,2026-09-19T04:22:06.040Z
http,186.96.111.214,999,http://186.96.111.214:999,transparent,true,4703,4782.5,41.5,37.2,739,147.75.122.107,1,co,Meta Department,Guamal,America/Bogota,262186,TV AZTECA SUCURSAL COLOMBIA,23,2025-09-05T20:06:28.297Z,2026-09-19T04:25:38.700Z
http,179.1.241.200,999,http://179.1.241.200:999,transparent,true,1450,4137.5,46.6,33.1,610,179.1.241.20,1,co,Bogota D.C.,Bogotá,America/Bogota,18678,INTERNEXA S.A. E.S.P,17,2026-03-05T05:44:20.245Z,2026-09-19T04:31:11.331Z
