protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,200.10.31.45,8081,http://200.10.31.45:8081,transparent,false,4232,4374.5,69,63.2,726,200.10.31.45,1,co,Risaralda Department,Pereira,America/Bogota,270075,SUPER REDES S.A.S,17,2026-05-05T05:43:03.107Z,2026-09-26T17:07:15.683Z
http,190.7.138.78,8080,http://190.7.138.78:8080,transparent,false,3999,3582,47.5,50.3,674,190.7.138.78,1,co,Antioquia,Medellín,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,26,2025-09-10T21:05:12.085Z,2026-09-26T17:07:37.363Z
http,200.10.30.5,8083,http://200.10.30.5:8083,transparent,false,5234,2770.5,48.9,46.1,664,200.10.31.225,1,co,Risaralda Department,Pereira,America/Bogota,270075,SUPER REDES S.A.S,16,2026-04-03T10:58:03.523Z,2026-09-26T17:08:20.338Z
http,45.65.138.48,999,http://45.65.138.48:999,transparent,false,9796,5566.5,52.4,42.1,534,45.65.137.218,2,co,Norte de Santander Department,Tibú,America/Bogota,273001,TELECOMUNICACIONES DEL CATATUMBO S.A.S,18,2025-09-11T01:36:27.697Z,2026-09-26T17:03:03.366Z
http,45.65.137.218,999,http://45.65.137.218:999,transparent,false,5667,4687.5,58.7,40.4,569,45.65.137.218,2,co,Norte de Santander Department,Tibú,America/Bogota,273001,TELECOMUNICACIONES DEL CATATUMBO S.A.S,18,2025-09-10T19:34:24.798Z,2026-09-26T17:03:22.640Z
http,24.152.58.101,999,http://24.152.58.101:999,transparent,false,4972,5031,42.7,36.9,84,186.148.179.119,1,co,Santander Department,Bucaramanga,America/Bogota,262186,TV AZTECA SUCURSAL COLOMBIA,10,2026-05-13T09:38:03.384Z,2026-09-26T17:10:10.009Z
http,38.19.238.35,999,http://38.19.238.35:999,transparent,false,4088,4253,36.2,29.8,352,38.19.238.121,1,co,Caldas Department,Riosucio,America/Bogota,274128,RED PLANET TELECOMUNICACIONES S.A.S.,23,2026-09-05T15:02:42.521Z,2026-09-26T17:08:03.740Z
http,181.78.176.147,999,http://181.78.176.147:999,transparent,false,1516,2165.5,42.6,29.7,407,181.78.176.147,1,co,Bogota D.C.,Bogotá,America/Bogota,52468,UFINET PANAMA S.A.,26,2026-09-13T15:28:03.356Z,2026-09-26T17:12:08.413Z
http,38.211.76.203,999,http://38.211.76.203:999,transparent,false,3862,1108.5,29,27.7,401,38.211.76.203,1,co,Huila Department,Garzón,America/Bogota,270062,FIBERNET TV SAS,20,2026-05-06T02:54:20.333Z,2026-09-26T17:04:30.069Z
http,181.129.252.124,999,http://181.129.252.124:999,transparent,false,9674,3479.5,34.3,26,400,181.129.252.124,1,co,Valle del Cauca Department,Cali,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,21,2026-05-07T13:18:21.733Z,2026-09-26T17:11:46.282Z
http,186.97.192.59,999,http://186.97.192.59:999,transparent,false,1552,3538.5,30.7,24.7,368,186.97.192.59,1,co,Antioquia,Medellín,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,24,2026-06-13T05:04:25.579Z,2026-09-26T17:11:28.976Z
http,38.52.158.154,999,http://38.52.158.154:999,transparent,true,2677,2458,28.6,22.7,401,186.194.161.98,1,co,Bogota D.C.,Bogotá,America/Bogota,270031,TELENET DIGITAL S.A.S,9,2026-07-08T10:26:33.572Z,2026-09-26T17:11:14.516Z
http,38.191.200.174,999,http://38.191.200.174:999,transparent,true,2207,3177.5,33.7,22.2,198,38.191.200.170,1,co,Meta Department,Villavicencio,America/Bogota,273134,HOLA TELECOMUNICACINES COLOMBIA S.A.S,24,2026-01-13T12:39:50.457Z,2026-09-26T17:06:51.362Z
http,177.93.39.73,999,http://177.93.39.73:999,transparent,true,4199,3414.5,34.2,22.2,315,191.97.10.148,1,co,Huila Department,Neiva,America/Bogota,262186,TV AZTECA SUCURSAL COLOMBIA,11,2025-09-04T23:50:01.053Z,2026-09-26T17:05:18.009Z
http,181.119.64.21,999,http://181.119.64.21:999,transparent,false,870,5324,28.9,21.6,292,181.119.64.21,1,co,Valle del Cauca Department,Cali,America/Bogota,52468,UFINET PANAMA S.A.,22,2026-05-04T06:35:26.046Z,2026-09-26T17:08:57.375Z
http,190.60.42.141,555,http://190.60.42.141:555,transparent,true,1644,2871.5,28.3,21.6,416,190.60.42.141,1,co,Atlántico,Barranquilla,America/Bogota,52468,UFINET PANAMA S.A.,24,2026-08-28T18:38:24.478Z,2026-09-26T17:12:01.396Z
http,186.190.224.86,999,http://186.190.224.86:999,transparent,false,3573,3724.5,14.6,18.3,252,186.190.224.86,1,co,Meta Department,Puerto López,America/Bogota,262186,TV AZTECA SUCURSAL COLOMBIA,21,2025-12-13T22:08:51.629Z,2026-09-26T17:09:34.771Z
http,200.110.173.17,999,http://200.110.173.17:999,transparent,false,1856,3407,20,17.4,230,200.110.173.17,1,co,Valle del Cauca Department,Cali,America/Bogota,27951,Media Commerce Partners S.A,11,2025-09-04T23:49:20.872Z,2026-09-26T17:13:01.549Z
http,179.1.196.218,999,http://179.1.196.218:999,transparent,false,2929,5518.5,22.5,17.2,349,185.240.215.64,1,co,Nariño,Pasto,America/Bogota,272869,INTERCOMM DE NARIÑO SAS,21,2026-08-16T02:40:02.660Z,2026-09-26T17:08:14.436Z
http,45.179.246.65,999,http://45.179.246.65:999,transparent,true,8361,3084,19.4,15.4,215,45.179.246.70,1,co,Huila Department,Acevedo,America/Bogota,267929,GENIONET TELECOMUNICACIONES S.A.S,24,2025-09-05T20:06:28.097Z,2026-09-26T17:07:12.481Z
http,200.35.34.134,999,http://200.35.34.134:999,transparent,false,6764,4568,19.6,15,233,186.159.25.180,1,co,Antioquia,San Roque,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,22,2025-09-05T20:06:33.391Z,2026-09-26T17:09:03.743Z
http,181.225.73.104,999,http://181.225.73.104:999,transparent,false,7227,4331,10.5,10.1,138,181.225.73.98,1,co,Cesar Department,San Alberto,America/Bogota,27951,Media Commerce Partners S.A,19,2026-03-26T13:16:17.121Z,2026-09-26T17:06:30.977Z
http,38.191.204.113,999,http://38.191.204.113:999,transparent,false,5156,4547,14.3,9.8,194,38.191.204.28,1,co,Meta Department,Villavicencio,America/Bogota,273134,HOLA TELECOMUNICACINES COLOMBIA S.A.S,11,2026-01-17T18:19:04.065Z,2026-09-26T17:13:21.129Z
http,190.60.48.139,999,http://190.60.48.139:999,transparent,false,6614,5889.5,4.8,8.5,176,206.62.161.164,1,co,La Guajira Department,Maicao,America/Bogota,61461,Airtek Solutions C.A.,18,2026-09-03T10:51:16.217Z,2026-09-26T17:04:02.232Z
http,201.222.40.218,8080,http://201.222.40.218:8080,transparent,false,5549,5549,50,,6,201.222.40.218,1,co,Magdalena Department,Santa Marta,America/Bogota,273080,AULAS DIGITALES DE COLOMBIA SAS,8,2026-05-21T19:28:42.924Z,2026-09-26T17:05:25.004Z
http,200.69.83.205,999,http://200.69.83.205:999,anonymous,false,6811,6811,50,,3,129.222.203.10,1,co,Bogota D.C.,Bogotá,America/Bogota,14593,Space Exploration Technologies Corporation,3,2026-02-08T19:32:25.417Z,2026-09-26T17:05:20.173Z
