protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,201.184.239.75,5678,socks4://201.184.239.75:5678,elite,false,1459,3518,73.2,68.3,901,201.184.239.75,1,co,Antioquia,Medellín,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,12,2025-09-04T23:49:03.706Z,2026-09-17T22:32:06.089Z
socks4,181.57.178.146,1080,socks4://181.57.178.146:1080,elite,false,3498,2682.5,66.7,65.1,895,181.57.178.146,1,co,Meta Department,Villavicencio,America/Bogota,14080,Telmex Colombia S.A.,19,2026-08-10T04:23:14.959Z,2026-09-17T22:32:25.526Z
socks4,190.85.47.198,4145,socks4://190.85.47.198:4145,elite,false,448,1477.5,77,56.4,824,190.85.47.198,1,co,Bogota D.C.,Bogotá,America/Bogota,14080,Telmex Colombia S.A.,9,2025-09-05T23:19:51.921Z,2026-09-17T22:35:50.603Z
socks4,181.204.39.202,53740,socks4://181.204.39.202:53740,elite,false,1596,1502.5,36.2,52.6,824,181.204.39.202,1,co,Santander Department,Bucaramanga,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,18,2025-10-15T10:35:41.640Z,2026-09-17T22:32:25.015Z
socks4,181.129.182.138,5678,socks4://181.129.182.138:5678,elite,false,1697,2607.5,48.6,50.8,852,181.129.182.138,1,co,Santander Department,Bucaramanga,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,13,2025-09-04T23:49:14.654Z,2026-09-17T22:35:06.836Z
socks4,170.238.239.71,60606,socks4://170.238.239.71:60606,elite,false,7784,3664.5,41.4,50.3,829,170.238.239.71,1,co,Valle del Cauca Department,Buenaventura,America/Bogota,18678,INTERNEXA S.A. E.S.P,11,2025-09-05T20:06:37.996Z,2026-09-17T22:37:13.955Z
socks4,181.143.59.140,4153,socks4://181.143.59.140:4153,elite,false,3498,3495.5,54.4,47.2,572,181.143.59.140,1,co,Antioquia,Medellín,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,19,2025-09-06T05:32:26.875Z,2026-09-17T22:29:20.501Z
socks4,177.253.136.162,5678,socks4://177.253.136.162:5678,elite,false,1501,988.5,56.4,46.8,800,177.253.136.162,1,co,Antioquia,Medellín,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,20,2026-07-04T18:38:40.783Z,2026-09-17T22:30:02.534Z
socks4,38.51.243.174,5678,socks4://38.51.243.174:5678,elite,false,522,1529,48,45.4,588,38.51.243.174,1,co,Nariño,Túquerres,America/Bogota,272869,INTERCOMM DE NARIÑO SAS,11,2025-09-05T20:06:34.449Z,2026-09-17T22:31:19.283Z
socks4,181.143.37.11,32767,socks4://181.143.37.11:32767,elite,false,441,470,53.7,39.9,541,181.143.37.11,1,co,Antioquia,Medellín,America/Bogota,13489,UNE EPM TELECOMUNICACIONES S.A.,11,2026-03-18T05:29:52.776Z,2026-09-17T22:33:02.567Z
