protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,116.202.108.111,3128,http://116.202.108.111:3128,transparent,false,472,475,100,100,1006,116.202.108.111,1,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,9,2026-07-10T09:52:33.796Z,2026-09-19T04:30:28.689Z
http,202.133.91.79,80,http://202.133.91.79:80,elite,false,474,484.5,100,100,467,202.133.91.79,1,de,Hesse,Frankfurt am Main,Europe/Berlin,212552,BitCommand LLC,1,2026-09-15T22:15:47.054Z,2026-09-19T04:24:02.572Z
http,2.26.90.195,80,http://2.26.90.195:80,elite,false,496,495,100,100,78,2.26.90.195,1,de,Hesse,Frankfurt am Main,Europe/Berlin,207957,SERV.HOST GROUP LTD,1,2026-09-18T15:36:04.858Z,2026-09-19T04:25:53.989Z
http,47.91.65.23,3128,http://47.91.65.23:3128,transparent,false,341,472.5,99.3,98.1,997,47.91.65.23,1,de,Hesse,Frankfurt am Main,Europe/Berlin,45102,"Alibaba (US) Technology Co., Ltd.",19,2025-09-06T12:38:44.904Z,2026-09-19T04:23:53.664Z
http,103.237.102.191,11111,http://103.237.102.191:11111,elite,true,448,465.5,96.3,97.4,987,103.237.102.191,1,de,Hesse,Frankfurt am Main,Europe/Berlin,62610,Zenlayer Inc,23,2026-07-18T09:32:56.600Z,2026-09-19T04:27:38.309Z
http,157.90.10.50,8080,http://157.90.10.50:8080,elite,false,468,457,100,96.3,927,157.90.10.50,5,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,6,2026-09-01T05:22:46.214Z,2026-09-19T04:25:43.964Z
socks4,152.53.183.107,8081,socks4://152.53.183.107:8081,elite,false,1864,933,99.3,96.3,989,152.53.183.107,4,de,Bavaria,Nuremberg,Europe/Berlin,197540,netcup GmbH,20,2026-09-03T16:38:11.524Z,2026-09-19T04:25:29.690Z
http,157.90.10.50,5955,http://157.90.10.50:5955,elite,false,461,463.5,100,96.2,920,157.90.10.50,5,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,6,2026-09-05T12:01:19.722Z,2026-09-19T04:25:03.300Z
http,157.90.10.50,80,http://157.90.10.50:80,elite,false,468,460.5,100,96,922,157.90.10.50,5,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,10,2026-08-28T17:38:10.206Z,2026-09-19T04:22:49.657Z
http,157.90.10.50,8888,http://157.90.10.50:8888,elite,false,482,463.5,100,95.7,906,157.90.10.50,5,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,6,2026-08-28T06:32:22.648Z,2026-09-19T04:22:25.128Z
socks5,135.125.232.151,1080,socks5://135.125.232.151:1080,elite,true,1880,781.5,98.6,95.3,696,185.209.196.168,1,de,Hesse,Frankfurt am Main,Europe/Berlin,39351,31173 Services AB,18,2026-09-14T06:36:06.069Z,2026-09-19T04:27:09.166Z
http,157.90.10.50,999,http://157.90.10.50:999,elite,false,455,472,99.3,94.8,917,157.90.10.50,5,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,6,2026-09-05T07:59:08.132Z,2026-09-19T04:22:58.483Z
http,152.53.183.107,8081,http://152.53.183.107:8081,elite,true,3844,696.5,98.6,94.2,973,152.53.183.107,4,de,Bavaria,Nuremberg,Europe/Berlin,197540,netcup GmbH,23,2026-09-03T14:53:29.595Z,2026-09-19T04:27:15.428Z
http,178.17.48.189,8080,http://178.17.48.189:8080,elite,true,503,641,93,93,57,178.17.48.189,1,de,Hesse,Frankfurt am Main,Europe/Berlin,213887,WAIcore Ltd,20,2026-09-18T18:32:17.144Z,2026-09-19T04:29:44.889Z
socks5,152.53.183.107,8081,socks5://152.53.183.107:8081,elite,true,551,573,98.6,91.9,965,152.53.183.107,4,de,Bavaria,Nuremberg,Europe/Berlin,197540,netcup GmbH,19,2026-09-03T18:37:59.841Z,2026-09-19T04:28:43.567Z
socks4,85.93.9.12,1080,socks4://85.93.9.12:1080,elite,false,541,539.5,88.4,88.4,103,85.93.9.12,2,de,Hesse,Bad Soden am Taunus,Europe/Berlin,214902,Philip Fjaera trading as PFWeb Solutions,15,2026-09-18T09:46:41.828Z,2026-09-19T04:24:02.568Z
socks5,85.93.9.12,1080,socks5://85.93.9.12:1080,elite,true,646,645,87.6,87.6,105,85.93.9.12,2,de,Hesse,Bad Soden am Taunus,Europe/Berlin,214902,Philip Fjaera trading as PFWeb Solutions,14,2026-09-18T08:46:13.621Z,2026-09-19T04:23:17.696Z
socks5,91.107.179.68,10809,socks5://91.107.179.68:10809,elite,true,1383,1497,85.3,86.9,818,104.28.207.218,1,de,Saxony,Leipzig,Europe/Berlin,13335,"Cloudflare, Inc.",19,2026-09-13T03:21:50.152Z,2026-09-19T04:26:02.459Z
http,80.74.54.148,3128,http://80.74.54.148:3128,anonymous,false,522,462.5,89.1,84,941,156.67.171.21,1,de,North Rhine-Westphalia,Mönchengladbach,Europe/Berlin,60294,Deutsche Glasfaser Wholesale GmbH,16,2025-09-11T19:15:08.212Z,2026-09-19T04:31:29.034Z
http,167.233.76.72,3128,http://167.233.76.72:3128,elite,true,478,480,70.1,70.1,87,167.233.76.72,1,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,20,2026-09-18T09:46:44.121Z,2026-09-19T04:31:16.115Z
socks5,85.190.106.223,1080,socks5://85.190.106.223:1080,elite,true,3719,3804.5,64,69.7,122,85.190.106.223,1,de,Saxony,Leipzig,Europe/Berlin,8648,dogado GmbH,18,2026-09-18T00:41:59.584Z,2026-09-19T04:31:14.525Z
http,152.53.183.107,8082,http://152.53.183.107:8082,elite,true,588,504,79.3,66.1,880,152.53.183.107,4,de,Bavaria,Nuremberg,Europe/Berlin,197540,netcup GmbH,22,2026-09-05T06:58:31.658Z,2026-09-19T04:23:08.983Z
http,45.10.163.12,80,http://45.10.163.12:80,elite,false,7931,4640.5,48.9,62.7,742,45.10.163.12,1,de,Baden-Wurttemberg,Karlsruhe,Europe/Berlin,51167,Contabo GmbH,11,2025-09-04T23:49:34.550Z,2026-09-19T04:24:31.564Z
http,88.80.186.173,19180,http://88.80.186.173:19180,transparent,false,7188,1865,51.6,59.5,153,185.220.101.58,1,de,Brandenburg,Groß Kreutz,Europe/Berlin,60729,Stiftung Erneuerbare Freiheit,22,2026-09-17T14:36:37.430Z,2026-09-19T04:31:17.688Z
socks4,193.158.12.141,4153,socks4://193.158.12.141:4153,elite,false,572,606.5,60.8,57.6,474,193.158.12.141,1,de,State of Berlin,Berlin,Europe/Berlin,3320,Deutsche Telekom AG,20,2026-08-09T00:08:37.800Z,2026-09-19T04:23:29.192Z
socks4,109.120.138.241,1080,socks4://109.120.138.241:1080,elite,false,602,611.5,60,46.9,774,109.120.138.241,2,de,Hesse,Frankfurt am Main,Europe/Berlin,210644,AEZA GROUP LLC,12,2026-06-16T20:47:58.750Z,2026-09-19T04:25:22.800Z
socks5,31.76.111.88,1080,socks5://31.76.111.88:1080,elite,true,665,663,40.8,41.9,747,31.76.111.88,1,de,Hesse,Frankfurt am Main,Europe/Berlin,216039,EdgeSec Technologies Limited,20,2026-08-24T00:37:31.777Z,2026-09-19T04:22:32.985Z
