protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,116.202.108.111,3128,http://116.202.108.111:3128,transparent,false,472,475,100,100,1006,116.202.108.111,1,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,9,2026-07-10T09:52:33.796Z,2026-09-19T04:30:28.689Z
http,202.133.91.79,80,http://202.133.91.79:80,elite,false,474,484.5,100,100,467,202.133.91.79,1,de,Hesse,Frankfurt am Main,Europe/Berlin,212552,BitCommand LLC,1,2026-09-15T22:15:47.054Z,2026-09-19T04:24:02.572Z
http,2.26.90.195,80,http://2.26.90.195:80,elite,false,496,495,100,100,78,2.26.90.195,1,de,Hesse,Frankfurt am Main,Europe/Berlin,207957,SERV.HOST GROUP LTD,1,2026-09-18T15:36:04.858Z,2026-09-19T04:25:53.989Z
http,47.91.65.23,3128,http://47.91.65.23:3128,transparent,false,341,472.5,99.3,98.1,997,47.91.65.23,1,de,Hesse,Frankfurt am Main,Europe/Berlin,45102,"Alibaba (US) Technology Co., Ltd.",19,2025-09-06T12:38:44.904Z,2026-09-19T04:23:53.664Z
http,103.237.102.191,11111,http://103.237.102.191:11111,elite,true,448,465.5,96.3,97.4,987,103.237.102.191,1,de,Hesse,Frankfurt am Main,Europe/Berlin,62610,Zenlayer Inc,23,2026-07-18T09:32:56.600Z,2026-09-19T04:27:38.309Z
http,157.90.10.50,8080,http://157.90.10.50:8080,elite,false,468,457,100,96.3,927,157.90.10.50,5,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,6,2026-09-01T05:22:46.214Z,2026-09-19T04:25:43.964Z
http,157.90.10.50,5955,http://157.90.10.50:5955,elite,false,461,463.5,100,96.2,920,157.90.10.50,5,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,6,2026-09-05T12:01:19.722Z,2026-09-19T04:25:03.300Z
http,157.90.10.50,80,http://157.90.10.50:80,elite,false,468,460.5,100,96,922,157.90.10.50,5,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,10,2026-08-28T17:38:10.206Z,2026-09-19T04:22:49.657Z
http,157.90.10.50,8888,http://157.90.10.50:8888,elite,false,482,463.5,100,95.7,906,157.90.10.50,5,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,6,2026-08-28T06:32:22.648Z,2026-09-19T04:22:25.128Z
http,157.90.10.50,999,http://157.90.10.50:999,elite,false,455,472,99.3,94.8,917,157.90.10.50,5,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,6,2026-09-05T07:59:08.132Z,2026-09-19T04:22:58.483Z
http,152.53.183.107,8081,http://152.53.183.107:8081,elite,true,3844,696.5,98.6,94.2,973,152.53.183.107,4,de,Bavaria,Nuremberg,Europe/Berlin,197540,netcup GmbH,23,2026-09-03T14:53:29.595Z,2026-09-19T04:27:15.428Z
http,178.17.48.189,8080,http://178.17.48.189:8080,elite,true,503,641,93,93,57,178.17.48.189,1,de,Hesse,Frankfurt am Main,Europe/Berlin,213887,WAIcore Ltd,20,2026-09-18T18:32:17.144Z,2026-09-19T04:29:44.889Z
http,80.74.54.148,3128,http://80.74.54.148:3128,anonymous,false,522,462.5,89.1,84,941,156.67.171.21,1,de,North Rhine-Westphalia,Mönchengladbach,Europe/Berlin,60294,Deutsche Glasfaser Wholesale GmbH,16,2025-09-11T19:15:08.212Z,2026-09-19T04:31:29.034Z
http,167.233.76.72,3128,http://167.233.76.72:3128,elite,true,478,480,70.1,70.1,87,167.233.76.72,1,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,20,2026-09-18T09:46:44.121Z,2026-09-19T04:31:16.115Z
http,152.53.183.107,8082,http://152.53.183.107:8082,elite,true,588,504,79.3,66.1,880,152.53.183.107,4,de,Bavaria,Nuremberg,Europe/Berlin,197540,netcup GmbH,22,2026-09-05T06:58:31.658Z,2026-09-19T04:23:08.983Z
http,45.10.163.12,80,http://45.10.163.12:80,elite,false,7931,4640.5,48.9,62.7,742,45.10.163.12,1,de,Baden-Wurttemberg,Karlsruhe,Europe/Berlin,51167,Contabo GmbH,11,2025-09-04T23:49:34.550Z,2026-09-19T04:24:31.564Z
http,88.80.186.173,19180,http://88.80.186.173:19180,transparent,false,7188,1865,51.6,59.5,153,185.220.101.58,1,de,Brandenburg,Groß Kreutz,Europe/Berlin,60729,Stiftung Erneuerbare Freiheit,22,2026-09-17T14:36:37.430Z,2026-09-19T04:31:17.688Z
http,2.27.63.250,8888,http://2.27.63.250:8888,elite,false,491,490.5,48.9,35.1,656,2.27.63.250,1,de,Hesse,Frankfurt am Main,Europe/Berlin,210457,Kyonix Networks Limited,23,2026-09-02T20:44:14.316Z,2026-09-19T04:26:31.933Z
http,217.182.195.221,30002,http://217.182.195.221:30002,transparent,true,1418,1283.5,45.8,34.2,158,192.108.48.150,1,de,Hesse,Fulda,Europe/Berlin,680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,19,2026-08-03T04:53:58.882Z,2026-09-19T04:29:32.793Z
http,159.65.166.126,8118,http://159.65.166.126:8118,elite,false,2990,4506.5,16.7,21.3,436,185.220.100.246,1,de,Bavaria,Nuremberg,Europe/Berlin,205100,F3 Netze e.V.,9,2025-09-05T20:06:36.643Z,2026-09-19T04:27:19.633Z
http,116.204.166.49,8080,http://116.204.166.49:8080,transparent,false,3034,3094,9.1,14,229,116.204.166.49,1,de,Hesse,Frankfurt am Main,Europe/Berlin,216472,High Speed For Internet Services L.L.C,18,2026-09-05T11:00:45.449Z,2026-09-19T04:29:35.385Z
http,174.138.162.35,8080,http://174.138.162.35:8080,elite,false,4471,1960,14.3,12.6,103,77.25.37.206,1,de,Lower Saxony,Hannover,Europe/Berlin,3209,Vodafone GmbH,9,2026-05-13T18:41:15.005Z,2026-09-19T04:28:30.930Z
http,82.115.25.57,9898,http://82.115.25.57:9898,elite,true,490,502,62.5,,8,82.115.25.57,1,de,North Rhine-Westphalia,Essen,Europe/Berlin,212552,BitCommand LLC,4,2026-09-19T02:36:32.426Z,2026-09-19T04:25:57.719Z
http,85.121.52.184,1080,http://85.121.52.184:1080,elite,true,1636,1110,100,,30,85.121.52.184,2,de,Hesse,Frankfurt am Main,Europe/Berlin,9009,M247 Europe SRL,12,2026-09-18T23:34:43.269Z,2026-09-19T04:30:56.789Z
http,15.217.214.40,43316,http://15.217.214.40:43316,unknown,false,1925,3006.5,26.7,,15,15.217.214.40,1,de,Hesse,Frankfurt am Main,Europe/Berlin,16276,OVH SAS,2,2026-08-28T05:31:31.413Z,2026-09-19T04:28:36.223Z
http,16.176.232.186,3128,http://16.176.232.186:3128,unknown,true,2086,2068,50,,8,16.176.232.186,1,de,State of Berlin,Berlin,Europe/Berlin,60729,Stiftung Erneuerbare Freiheit,3,2026-09-19T02:36:24.799Z,2026-09-19T04:31:33.788Z
http,15.152.75.215,17353,http://15.152.75.215:17353,unknown,false,4418,1820,23.1,,41,15.152.75.215,2,de,State of Berlin,Berlin,Europe/Berlin,60729,Stiftung Erneuerbare Freiheit,1,2026-04-07T05:45:33.438Z,2026-09-19T04:22:05.513Z
