protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,95.181.160.37,1080,socks5://95.181.160.37:1080,elite,true,699,687,100,99.3,296,95.181.160.37,1,de,Hesse,Frankfurt am Main,Europe/Berlin,210644,AEZA GROUP LLC,18,2026-09-19T02:36:27.799Z,2026-09-21T04:27:23.600Z
socks5,135.125.232.151,1080,socks5://135.125.232.151:1080,elite,false,703,711.5,98.6,96.1,971,185.209.196.168,1,de,Hesse,Frankfurt am Main,Europe/Berlin,39351,31173 Services AB,18,2026-09-14T06:36:06.069Z,2026-09-21T04:26:27.881Z
socks5,152.53.183.107,8081,socks5://152.53.183.107:8081,elite,true,562,564.5,95.3,93.5,952,152.53.183.107,5,de,Bavaria,Nuremberg,Europe/Berlin,197540,netcup GmbH,19,2026-09-03T18:37:59.841Z,2026-09-21T04:26:57.576Z
socks5,31.220.40.59,5080,socks5://31.220.40.59:5080,elite,false,650,653,78.3,67.7,777,31.220.40.59,2,de,North Rhine-Westphalia,Kleve,Europe/Berlin,206264,Amarutu Technology Ltd,20,2026-08-04T19:14:32.256Z,2026-09-21T04:28:04.997Z
socks5,150.241.70.126,1080,socks5://150.241.70.126:1080,elite,false,1813,1591.5,70,65.1,86,150.241.70.126,2,de,Hesse,Frankfurt am Main,Europe/Berlin,215439,PLAY2GO INTERNATIONAL LIMITED,18,2026-08-19T17:44:51.200Z,2026-09-21T04:23:42.555Z
socks5,45.74.31.23,16116,socks5://45.74.31.23:16116,elite,false,2698,4779.5,44.6,43.9,98,195.201.235.123,4,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,15,2026-09-19T11:41:10.363Z,2026-09-21T04:22:43.492Z
socks5,31.76.111.88,1080,socks5://31.76.111.88:1080,elite,true,835,670,40,43,654,31.76.111.88,1,de,Hesse,Frankfurt am Main,Europe/Berlin,216039,EdgeSec Technologies Limited,20,2026-08-24T00:37:31.777Z,2026-09-21T04:31:59.882Z
socks5,45.74.31.42,5595,socks5://45.74.31.42:5595,elite,true,9103,3543.5,35.3,37.7,61,195.201.235.123,4,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,13,2026-09-20T00:48:06.542Z,2026-09-21T04:29:08.782Z
socks5,161.97.119.1,8888,socks5://161.97.119.1:8888,elite,false,2573,4678.5,36.5,30.9,508,152.53.183.107,5,de,Bavaria,Nuremberg,Europe/Berlin,197540,netcup GmbH,20,2026-07-21T11:12:47.252Z,2026-09-21T04:24:55.040Z
socks5,130.61.213.44,1080,socks5://130.61.213.44:1080,elite,false,4219,3939,15.8,28.8,118,130.61.213.44,1,de,Hesse,Frankfurt am Main,Europe/Berlin,31898,Oracle Corporation,16,2026-09-18T19:32:46.387Z,2026-09-21T04:30:23.059Z
socks5,185.133.239.244,32784,socks5://185.133.239.244:32784,elite,true,9559,6985,29.8,26.5,298,185.133.239.244,2,de,Thuringia,Erfurt,Europe/Berlin,202252,OCKNet GmbH,19,2025-09-06T05:35:58.664Z,2026-09-21T04:30:55.459Z
socks5,94.230.129.218,1090,socks5://94.230.129.218:1090,elite,true,2705,2772,15.2,19.4,108,85.209.132.81,2,de,Hesse,Frankfurt am Main,Europe/Berlin,41745,Baykov Ilya Sergeevich,17,2026-09-18T07:45:41.464Z,2026-09-21T04:28:02.312Z
socks5,45.74.31.30,4679,socks5://45.74.31.30:4679,elite,false,2052,5013.5,12.1,18.2,143,49.13.144.51,5,de,Bavaria,Nuremberg,Europe/Berlin,24940,Hetzner Online GmbH,15,2026-09-04T23:54:31.262Z,2026-09-21T04:25:02.857Z
socks5,45.74.31.30,5900,socks5://45.74.31.30:5900,elite,true,6956,5441.5,24.3,15.8,139,49.13.144.51,5,de,Bavaria,Nuremberg,Europe/Berlin,24940,Hetzner Online GmbH,15,2026-09-11T19:04:58.970Z,2026-09-21T04:26:09.045Z
socks5,45.74.31.30,7906,socks5://45.74.31.30:7906,elite,false,4225,5281.5,22.2,15.1,53,49.13.144.51,5,de,Bavaria,Nuremberg,Europe/Berlin,24940,Hetzner Online GmbH,14,2026-09-13T03:21:47.147Z,2026-09-21T04:32:05.677Z
socks5,45.74.31.30,5368,socks5://45.74.31.30:5368,elite,true,1833,6235.5,33.3,15,213,49.13.144.51,5,de,Bavaria,Nuremberg,Europe/Berlin,24940,Hetzner Online GmbH,15,2026-09-11T22:06:26.007Z,2026-09-21T04:27:16.266Z
socks5,45.74.31.30,39077,socks5://45.74.31.30:39077,elite,false,5560,4347.5,24.3,14.2,169,194.164.192.228,2,de,State of Berlin,Berlin,Europe/Berlin,8560,IONOS SE,16,2026-09-13T23:32:29.597Z,2026-09-21T04:29:36.520Z
socks5,45.74.31.42,4237,socks5://45.74.31.42:4237,elite,false,4618,4944,47.6,12.2,147,195.201.235.123,4,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,15,2026-09-09T21:22:33.316Z,2026-09-21T04:26:31.014Z
socks5,31.76.59.70,1080,socks5://31.76.59.70:1080,elite,true,692,4198.5,35.7,11.5,157,31.76.59.70,1,de,Hesse,Frankfurt am Main,Europe/Berlin,210546,CHSL ONE LTD,17,2026-09-04T15:50:34.538Z,2026-09-21T04:31:41.482Z
socks5,45.74.31.41,10624,socks5://45.74.31.41:10624,elite,true,1033,2489.5,37,,48,194.164.192.228,2,de,State of Berlin,Berlin,Europe/Berlin,8560,IONOS SE,15,2026-09-20T03:49:39.093Z,2026-09-21T04:30:47.044Z
socks5,45.74.31.42,6043,socks5://45.74.31.42:6043,elite,true,1255,4594,14.3,,33,49.13.144.51,5,de,Bavaria,Nuremberg,Europe/Berlin,24940,Hetzner Online GmbH,11,2026-09-19T18:44:52.311Z,2026-09-21T04:31:50.454Z
socks5,45.74.31.42,4551,socks5://45.74.31.42:4551,elite,false,3272,3224,72,,25,195.201.235.123,4,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,13,2026-09-20T20:58:41.992Z,2026-09-21T04:25:03.381Z
