protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,38.75.82.213,999,http://38.75.82.213:999,transparent,true,433,2082.5,35.9,32.9,471,38.75.82.210,2,do,Nacional,Santo Domingo,America/Santo_Domingo,273217,"ACOLME TECH, SRL",14,2026-05-16T04:10:06.176Z,2026-09-23T04:22:14.310Z
socks4,190.93.188.198,1080,socks4://190.93.188.198:1080,elite,false,340,353,38.5,31.1,212,190.93.188.194,1,do,Santiago Province,Santiago de los Caballeros,America/Santo_Domingo,269908,JOSE DIGITAL MEDIA DOMINICANA SRL,7,2026-07-19T10:44:15.723Z,2026-09-23T04:22:35.095Z
http,38.75.82.215,999,http://38.75.82.215:999,transparent,false,1324,1934,33.8,30.6,421,38.75.82.210,2,do,Nacional,Santo Domingo,America/Santo_Domingo,273217,"ACOLME TECH, SRL",22,2026-05-16T11:13:49.816Z,2026-09-23T04:27:02.548Z
socks4,154.88.189.19,5678,socks4://154.88.189.19:5678,elite,false,385,380,28.8,29.6,291,154.88.189.18,1,do,Santiago Province,Santiago de los Caballeros,America/Santo_Domingo,272011,TELEMARCH S.R.L,9,2026-08-28T05:31:34.724Z,2026-09-23T04:27:44.006Z
http,200.88.220.49,999,http://200.88.220.49:999,transparent,true,2243,2751,21.8,23.4,346,200.88.220.49,1,do,Santo Domingo Province,Santo Domingo Este,America/Santo_Domingo,6400,Compañía Dominicana de Teléfonos S. A.,25,2026-09-09T18:55:17.284Z,2026-09-23T04:25:50.752Z
http,204.157.251.178,999,http://204.157.251.178:999,transparent,false,6105,6765,27.9,21.2,236,204.157.251.178,1,do,María Trinidad Sánchez,El Factor,America/Santo_Domingo,272868,SEQURE NETWORKS SRL,12,2025-09-06T08:35:03.418Z,2026-09-23T04:23:17.983Z
http,38.10.82.128,999,http://38.10.82.128:999,transparent,true,6777,4887,23.3,19.1,231,38.10.82.198,1,do,Santiago Province,Santiago de los Caballeros,America/Santo_Domingo,272971,NET LINK DOMINICANA EMIMAR SRL,20,2026-07-21T04:12:38.775Z,2026-09-23T04:25:26.906Z
http,38.253.85.3,999,http://38.253.85.3:999,transparent,false,4902,3626,15.8,17.6,267,38.253.85.3,1,do,Monseñor Nouel,Bonao,America/Santo_Domingo,273048,"WIMAS, S.R.L.",16,2026-03-04T17:37:47.816Z,2026-09-23T04:23:20.664Z
http,200.107.206.10,999,http://200.107.206.10:999,transparent,true,1086,1921,35,16.4,55,200.107.206.157,1,do,Santiago Province,Santiago de los Caballeros,America/Santo_Domingo,272149,DLD SERVICIO SRL,9,2026-07-24T00:45:47.981Z,2026-09-23T04:21:13.937Z
http,200.107.206.9,999,http://200.107.206.9:999,transparent,false,9137,4253,15.4,8.8,80,200.107.206.146,1,do,Santiago Province,Santiago de los Caballeros,America/Santo_Domingo,272149,DLD SERVICIO SRL,19,2026-07-18T19:36:28.176Z,2026-09-23T04:27:09.336Z
http,181.37.240.89,999,http://181.37.240.89:999,transparent,false,6537,3059,20,8.5,118,181.37.240.89,1,do,La Altagracia Province,Punta Cana,America/Santo_Domingo,28118,ALTICE DOMINICANA S.A.,23,2025-09-05T20:06:33.788Z,2026-09-23T04:22:14.354Z
http,38.95.88.59,999,http://38.95.88.59:999,transparent,false,3600,4440.5,13.3,,43,38.95.88.62,1,do,Nacional,Santo Domingo,America/Santo_Domingo,272112,"TELECABLE DOMINICANO, S.A.",11,2026-09-03T17:39:20.780Z,2026-09-23T04:22:25.645Z
