protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,38.95.89.123,999,http://38.95.89.123:999,transparent,false,1339,3542,42.6,48.4,626,38.191.161.122,1,do,Nacional,Santo Domingo,America/Santo_Domingo,273180,THREE NETWORKS SRL,6,2026-07-28T20:47:43.558Z,2026-09-26T17:08:54.608Z
http,38.75.82.218,999,http://38.75.82.218:999,transparent,false,5228,4977.5,36.7,35,575,38.75.82.210,2,do,Nacional,Santo Domingo,America/Santo_Domingo,273217,"ACOLME TECH, SRL",14,2026-05-16T10:13:39.571Z,2026-09-26T17:05:29.848Z
http,38.75.82.222,999,http://38.75.82.222:999,transparent,true,1097,4130,33.3,32.2,565,38.75.82.210,2,do,Nacional,Santo Domingo,America/Santo_Domingo,273217,"ACOLME TECH, SRL",14,2026-05-16T10:13:59.795Z,2026-09-26T17:09:16.039Z
http,185.27.144.16,999,http://185.27.144.16:999,transparent,false,2050,3735.5,36.1,24.4,345,185.27.144.23,1,do,Santo Domingo Province,Santo Domingo Este,America/Santo_Domingo,271935,AIRTIME TECHNOLOGY SRL,23,2026-07-24T17:54:00.471Z,2026-09-26T17:05:52.922Z
http,38.95.88.126,999,http://38.95.88.126:999,transparent,false,6645,3784,31.4,23.4,333,38.95.88.126,1,do,Nacional,Santo Domingo,America/Santo_Domingo,272112,"TELECABLE DOMINICANO, S.A.",10,2025-09-05T20:06:33.796Z,2026-09-26T17:12:03.553Z
http,38.255.121.1,999,http://38.255.121.1:999,transparent,true,4609,4705,32.4,20.4,255,38.255.121.1,1,do,Nacional,Santo Domingo,America/Santo_Domingo,274170,"INTERNET FACIL M.R., S.R.L",22,2026-07-21T08:11:56.587Z,2026-09-26T17:07:08.705Z
http,181.37.240.89,999,http://181.37.240.89:999,transparent,false,4531,4268,22,15.7,204,181.37.240.89,1,do,La Altagracia Province,Punta Cana,America/Santo_Domingo,28118,ALTICE DOMINICANA S.A.,23,2025-09-05T20:06:33.788Z,2026-09-26T17:11:45.189Z
http,38.95.88.3,999,http://38.95.88.3:999,transparent,false,3769,3769,50,,8,38.95.88.2,1,do,Nacional,Santo Domingo,America/Santo_Domingo,272112,"TELECABLE DOMINICANO, S.A.",14,2026-09-03T18:39:35.618Z,2026-09-26T17:05:01.513Z
http,170.80.203.45,999,http://170.80.203.45:999,transparent,false,5194,4950,9.4,,49,170.80.203.34,1,do,Santiago Province,Santiago de los Caballeros,America/Santo_Domingo,271819,"RUDDY GONZALEZ DIGITAL MEDIA DOMINICANA, RGDIMAX, S.R.L",14,2025-09-07T02:44:13.882Z,2026-09-26T17:06:41.149Z
http,38.156.246.129,999,http://38.156.246.129:999,transparent,false,7896,7896,50,,8,38.156.246.1,1,do,María Trinidad Sánchez,El Factor,America/Santo_Domingo,174,"Cogent Communications, LLC",15,2026-06-30T00:37:29.546Z,2026-09-26T17:04:56.198Z
