protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,186.5.94.206,999,http://186.5.94.206:999,transparent,true,3701,1239.5,94.2,94.1,983,186.5.94.206,1,ec,Manabí,Manta,America/Guayaquil,27947,Telconet S.A,16,2026-04-03T11:58:36.040Z,2026-09-18T04:30:33.238Z
http,186.33.45.220,999,http://186.33.45.220:999,transparent,true,2172,2269,90.2,79.9,697,186.33.45.220,2,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,25,2026-08-25T22:00:23.726Z,2026-09-18T04:30:30.633Z
http,186.33.45.219,999,http://186.33.45.219:999,transparent,false,1303,1383.5,82.4,77.2,676,186.33.45.220,2,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,25,2026-08-15T23:39:04.868Z,2026-09-18T04:22:37.325Z
socks4,200.105.252.170,5678,socks4://200.105.252.170:5678,elite,false,8453,1992.5,69.6,63.8,886,200.105.252.170,1,ec,Pichincha,Quito,America/Guayaquil,22724,PUNTONET S.A.,11,2025-09-05T20:06:36.438Z,2026-09-18T04:25:53.946Z
socks4,45.163.207.18,1080,socks4://45.163.207.18:1080,elite,false,1560,1069.5,60.8,54.2,625,45.163.207.18,1,ec,Los Ríos,Ventanas,America/Guayaquil,267684,VISIONMAGICA SOCIEDAD ANONIMA,12,2026-07-13T05:24:59.944Z,2026-09-18T04:28:11.722Z
socks4,160.20.165.242,8080,socks4://160.20.165.242:8080,elite,false,512,2535.5,62.6,53.8,848,160.20.165.242,1,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,18,2025-09-05T20:06:13.403Z,2026-09-18T04:24:11.828Z
socks4,190.57.131.158,1080,socks4://190.57.131.158:1080,elite,false,1582,1585,67.9,51.5,822,190.57.131.158,1,ec,Pichincha,Quito,America/Guayaquil,22724,PUNTONET S.A.,12,2025-09-04T23:49:02.892Z,2026-09-18T04:26:10.750Z
http,177.234.217.235,999,http://177.234.217.235:999,transparent,false,2349,3630,35.8,37.8,755,177.234.217.88,2,ec,Pichincha,Quito,America/Guayaquil,52468,UFINET PANAMA S.A.,22,2025-09-19T07:16:28.219Z,2026-09-18T04:27:30.348Z
http,177.234.217.237,999,http://177.234.217.237:999,transparent,false,1705,3745.5,36.4,36.3,543,177.234.217.88,2,ec,Pichincha,Quito,America/Guayaquil,52468,UFINET PANAMA S.A.,22,2025-11-19T00:16:12.652Z,2026-09-18T04:22:53.181Z
http,181.78.194.249,999,http://181.78.194.249:999,transparent,true,3413,3763.5,39.8,35.5,735,181.78.194.249,5,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,22,2026-01-28T12:08:54.013Z,2026-09-18T04:26:13.971Z
http,45.71.186.212,999,http://45.71.186.212:999,transparent,false,4677,3751,36.4,34.9,703,181.78.194.249,5,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,22,2026-05-05T18:57:42.135Z,2026-09-18T04:23:16.517Z
http,45.71.186.211,999,http://45.71.186.211:999,transparent,true,1191,3119,45.5,33.9,703,181.78.194.249,5,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,20,2026-05-04T07:35:43.353Z,2026-09-18T04:25:42.745Z
http,45.71.186.213,999,http://45.71.186.213:999,transparent,true,5207,4101.5,28.6,30.4,510,181.78.194.249,5,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,22,2026-05-05T18:57:27.272Z,2026-09-18T04:32:07.111Z
http,45.71.186.214,999,http://45.71.186.214:999,transparent,false,2096,2746.5,32.9,30.2,583,181.78.194.249,5,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,21,2026-05-05T19:57:36.351Z,2026-09-18T04:26:09.156Z
http,181.188.203.112,999,http://181.188.203.112:999,transparent,false,3118,3717,28.6,22.4,487,181.188.203.113,1,ec,Pichincha,Quito,America/Guayaquil,52468,UFINET PANAMA S.A.,21,2026-07-02T20:13:36.457Z,2026-09-18T04:29:51.298Z
http,45.6.224.76,1256,http://45.6.224.76:1256,elite,false,5307,3926,21.1,18.7,75,45.6.224.83,1,ec,Tungurahua Province,Ambato,America/Guayaquil,265724,Teneda Corporación CIA. LTDA,17,2026-08-21T02:02:41.533Z,2026-09-18T04:22:45.481Z
http,45.224.149.77,999,http://45.224.149.77:999,transparent,true,7367,4146,23.8,17.4,288,45.224.149.77,1,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,10,2025-09-05T20:06:33.855Z,2026-09-18T04:31:18.136Z
http,181.224.175.200,999,http://181.224.175.200:999,transparent,false,6058,4713,9.1,14.8,344,181.224.175.200,1,ec,Guayas,Naranjal,America/Guayaquil,273141,MICARMITA S.A.S,20,2026-06-08T14:04:25.779Z,2026-09-18T04:24:47.436Z
http,45.175.167.134,999,http://45.175.167.134:999,transparent,false,6225,4664,23.1,10.1,217,45.164.64.119,1,ec,Azuay,Cuenca,America/Guayaquil,267699,CUBOTELECOM CIA. LTDA.,20,2026-09-04T10:47:39.048Z,2026-09-18T04:22:45.505Z
http,190.95.132.186,999,http://190.95.132.186:999,transparent,false,3942,3942,50,,11,190.95.132.186,1,ec,Santo Domingo de los Tsáchilas,Santo Domingo de los Colorados,America/Guayaquil,27947,Telconet S.A,2,2025-09-07T04:44:41.791Z,2026-09-18T04:26:58.351Z
