protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,186.5.94.206,999,http://186.5.94.206:999,transparent,true,617,649.5,98.5,96,970,186.5.94.206,1,ec,Manabí,Manta,America/Guayaquil,27947,Telconet S.A,16,2026-04-03T11:58:36.040Z,2026-09-21T04:28:26.215Z
http,186.33.45.220,999,http://186.33.45.220:999,transparent,true,2393,2994.5,77.8,80.6,847,186.33.45.220,1,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,25,2026-08-25T22:00:23.726Z,2026-09-21T04:28:59.245Z
http,177.234.217.235,999,http://177.234.217.235:999,transparent,true,3996,3202,50,42,653,177.234.217.88,2,ec,Pichincha,Quito,America/Guayaquil,52468,UFINET PANAMA S.A.,23,2025-09-19T07:16:28.219Z,2026-09-21T04:31:52.010Z
http,45.71.186.211,999,http://45.71.186.211:999,transparent,false,4591,6235.5,32.6,37.6,566,181.78.194.249,2,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,22,2026-05-04T07:35:43.353Z,2026-09-21T04:28:54.527Z
http,177.234.217.88,999,http://177.234.217.88:999,transparent,true,1877,3821.5,39.2,34.2,530,177.234.217.88,2,ec,Pichincha,Quito,America/Guayaquil,52468,UFINET PANAMA S.A.,22,2025-09-08T02:14:18.386Z,2026-09-21T04:23:48.841Z
http,181.78.194.249,999,http://181.78.194.249:999,transparent,false,9789,5572.5,40.4,34,565,181.78.194.249,2,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,22,2026-01-28T12:08:54.013Z,2026-09-21T04:31:00.159Z
http,181.188.203.112,999,http://181.188.203.112:999,transparent,false,5207,5475.5,37.3,27.7,448,181.188.203.113,1,ec,Pichincha,Quito,America/Guayaquil,52468,UFINET PANAMA S.A.,23,2026-07-02T20:13:36.457Z,2026-09-21T04:30:42.357Z
http,45.225.89.145,999,http://45.225.89.145:999,transparent,false,1535,3756.5,28.1,25.4,71,45.225.89.190,1,ec,Guayas,Balzar,America/Guayaquil,273190,VASQUEZ BURGOS LIVINGTON,12,2025-09-09T03:41:02.601Z,2026-09-21T04:23:26.831Z
http,181.78.205.161,999,http://181.78.205.161:999,transparent,false,3563,3001.5,41.9,20.2,248,181.78.205.161,1,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,12,2026-06-10T12:26:59.013Z,2026-09-21T04:31:11.642Z
http,177.234.208.111,999,http://177.234.208.111:999,transparent,false,1943,4102.5,30.6,19.9,317,177.234.208.111,1,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,24,2026-08-27T23:28:01.484Z,2026-09-21T04:29:20.701Z
http,181.78.205.7,999,http://181.78.205.7:999,transparent,true,2465,3773,18.5,12.5,176,181.78.205.6,1,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,21,2026-09-03T18:38:08.105Z,2026-09-21T04:23:52.497Z
http,205.235.1.34,999,http://205.235.1.34:999,transparent,true,9812,4895,14.3,7.1,126,181.78.195.137,1,ec,Pichincha,Quito,America/Guayaquil,52468,UFINET PANAMA S.A.,17,2026-05-07T11:18:54.367Z,2026-09-21T04:30:59.119Z
http,45.236.169.166,999,http://45.236.169.166:999,transparent,false,3043,5119,40,4.8,62,45.236.170.178,1,ec,Guayas,Guayaquil,America/Guayaquil,266802,CODGREC S.A.,7,2025-10-05T03:51:06.367Z,2026-09-21T04:27:39.414Z
http,177.234.236.133,8080,http://177.234.236.133:8080,transparent,false,6737,4563,17.7,,39,177.234.236.133,1,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,20,2026-08-15T15:33:07.134Z,2026-09-21T04:26:05.363Z
http,45.71.114.148,999,http://45.71.114.148:999,transparent,false,7082,7082,100,,3,45.71.114.146,1,ec,Guayas,Guayaquil,America/Guayaquil,52468,UFINET PANAMA S.A.,4,2025-09-05T20:06:37.274Z,2026-09-21T04:28:46.679Z
