protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,41.128.90.54,1976,http://41.128.90.54:1976,transparent,false,736,715.5,96.2,96.2,184,41.128.90.54,1,eg,North Sinai,Ash Shaykh Zuwayd,Africa/Cairo,24863,Link Egypt (Link.NET),10,2026-06-03T23:11:38.443Z,2026-09-20T04:21:22.111Z
http,41.196.16.230,1981,http://41.196.16.230:1981,transparent,false,804,656,83.2,86.2,289,41.196.16.230,2,eg,Giza,Giza,Africa/Cairo,24863,Link Egypt (Link.NET),11,2025-09-30T14:23:56.771Z,2026-09-20T04:23:34.508Z
http,62.193.104.26,1981,http://62.193.104.26:1981,transparent,false,1144,2063,76.3,85.8,534,62.193.104.26,1,eg,Asyut,Al Qūşīyah,Africa/Cairo,36992,ETISALAT MISR,13,2025-11-10T13:28:06.125Z,2026-09-20T04:29:26.195Z
http,41.196.16.230,1976,http://41.196.16.230:1976,transparent,false,643,644,87.7,82.8,291,41.196.16.230,2,eg,Giza,Giza,Africa/Cairo,24863,Link Egypt (Link.NET),9,2026-04-10T00:21:45.539Z,2026-09-20T04:25:42.011Z
http,196.204.3.22,1981,http://196.204.3.22:1981,transparent,false,725,728.5,87.6,72.1,771,196.204.3.22,2,eg,Asyut,Al Qūşīyah,Africa/Cairo,24835,Vodafone Data,12,2026-08-29T01:42:13.955Z,2026-09-20T04:22:57.669Z
http,41.128.77.76,1981,http://41.128.77.76:1981,transparent,false,2399,702.5,79.4,61.1,804,41.128.77.76,1,eg,Dakahlia,Al Mansurah,Africa/Cairo,24863,Link Egypt (Link.NET),10,2026-08-14T22:25:46.195Z,2026-09-20T04:23:29.783Z
http,196.204.3.22,1976,http://196.204.3.22:1976,transparent,false,651,671.5,65.5,60.5,693,196.204.3.22,2,eg,Asyut,Al Qūşīyah,Africa/Cairo,24835,Vodafone Data,12,2026-08-26T21:14:54.278Z,2026-09-20T04:26:29.952Z
http,197.164.101.14,1981,http://197.164.101.14:1981,transparent,false,803,993.5,54.7,58.3,792,197.164.101.14,2,eg,Gharbia,Al Maḩallah al Kubrá,Africa/Cairo,24863,Link Egypt (Link.NET),11,2025-11-05T04:49:04.909Z,2026-09-20T04:22:13.447Z
http,197.164.101.14,1976,http://197.164.101.14:1976,transparent,false,869,1111,49.3,53.3,730,197.164.101.14,2,eg,Gharbia,Al Maḩallah al Kubrá,Africa/Cairo,24863,Link Egypt (Link.NET),13,2025-11-05T02:49:09.118Z,2026-09-20T04:27:07.284Z
http,41.33.60.42,8081,http://41.33.60.42:8081,transparent,false,1961,2010,44.6,51.7,743,41.33.60.42,1,eg,Beni Suweif,Banī Suwayf,Africa/Cairo,8452,TE-AS,19,2026-07-10T04:49:24.702Z,2026-09-20T04:19:47.205Z
http,41.33.245.138,1981,http://41.33.245.138:1981,transparent,false,789,1898,57.1,48.5,588,41.33.245.138,1,eg,Dakahlia,Bilqās,Africa/Cairo,8452,TE-AS,21,2026-09-14T09:37:40.589Z,2026-09-20T04:20:59.723Z
http,41.33.219.140,1976,http://41.33.219.140:1976,anonymous,false,7101,1883.5,48.4,45,569,41.33.219.132,1,eg,Gharbia,Samannūd,Africa/Cairo,8452,TE-AS,13,2026-01-22T16:21:36.064Z,2026-09-20T04:22:35.225Z
http,45.240.232.62,8080,http://45.240.232.62:8080,transparent,false,728,1198,55.7,39.6,561,45.240.232.62,1,eg,Sharqia,Hihyā,Africa/Cairo,24863,Link Egypt (Link.NET),21,2026-05-24T05:52:20.739Z,2026-09-20T04:26:07.304Z
http,45.240.232.61,8080,http://45.240.232.61:8080,transparent,false,1695,711,60,39.2,618,45.240.232.61,1,eg,Sharqia,Hihyā,Africa/Cairo,24863,Link Egypt (Link.NET),21,2026-05-24T00:52:42.010Z,2026-09-20T04:23:44.077Z
http,41.128.72.195,1976,http://41.128.72.195:1976,transparent,false,708,707,100,,26,41.128.72.195,1,eg,Sharqia,Aş Şāliḩīyah al Jadīdah,Africa/Cairo,24863,Link Egypt (Link.NET),1,2026-05-04T06:35:11.318Z,2026-09-20T04:23:29.788Z
