protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,41.196.16.233,1976,http://41.196.16.233:1976,transparent,false,1024,997.5,98.3,98.3,59,41.196.16.233,2,eg,Giza,Giza,Africa/Cairo,24863,Link Egypt (Link.NET),5,2025-10-30T20:11:42.279Z,2026-09-26T04:31:52.091Z
http,41.128.90.54,1976,http://41.128.90.54:1976,transparent,false,1478,736.5,83.8,89.6,894,41.128.90.54,2,eg,North Sinai,Ash Shaykh Zuwayd,Africa/Cairo,24863,Link Egypt (Link.NET),15,2026-06-03T23:11:38.443Z,2026-09-26T04:27:05.752Z
http,41.128.90.54,1981,http://41.128.90.54:1981,transparent,false,688,738.5,68.6,73.7,735,41.128.90.54,2,eg,North Sinai,Ash Shaykh Zuwayd,Africa/Cairo,24863,Link Egypt (Link.NET),7,2026-08-14T05:15:56.158Z,2026-09-26T04:23:36.074Z
http,156.200.116.78,8080,http://156.200.116.78:8080,transparent,false,728,777.5,70.3,72.9,689,156.200.116.78,1,eg,Cairo,Cairo,Africa/Cairo,8452,TE-AS,13,2026-08-09T11:13:52.562Z,2026-09-26T04:29:29.571Z
http,197.164.101.13,1981,http://197.164.101.13:1981,transparent,false,848,852.5,55.6,68.4,759,197.164.101.13,1,eg,Gharbia,Al Maḩallah al Kubrá,Africa/Cairo,24863,Link Egypt (Link.NET),14,2025-09-08T00:59:20.602Z,2026-09-26T04:30:04.607Z
http,213.131.85.30,1976,http://213.131.85.30:1976,transparent,false,7915,886,64.7,68.2,625,213.131.85.30,1,eg,Beheira,Abū al Maţāmīr,Africa/Cairo,24863,Link Egypt (Link.NET),12,2025-09-08T11:37:01.458Z,2026-09-26T04:27:34.468Z
http,41.33.245.138,1981,http://41.33.245.138:1981,transparent,false,1469,1729.5,84.1,57.1,301,41.33.245.138,2,eg,Dakahlia,Bilqās,Africa/Cairo,8452,TE-AS,22,2026-09-14T09:37:40.589Z,2026-09-26T04:26:01.105Z
http,154.236.179.229,1981,http://154.236.179.229:1981,transparent,false,8993,3423,47.8,56.6,629,84.36.62.117,1,eg,Giza,Giza,Africa/Cairo,36992,ETISALAT MISR,12,2026-05-10T01:50:46.804Z,2026-09-26T04:32:37.708Z
http,41.65.55.27,1981,http://41.65.55.27:1981,transparent,false,2399,1788,67.9,51.9,532,41.65.55.27,2,eg,Kafr el-Sheikh,Kafr ash Shaykh,Africa/Cairo,36992,ETISALAT MISR,16,2025-09-10T19:34:55.901Z,2026-09-26T04:32:22.795Z
http,196.204.80.106,1981,http://196.204.80.106:1981,transparent,true,1052,909,82.4,50.8,183,196.204.80.106,1,eg,Giza,Al Ḩawāmidīyah,Africa/Cairo,24835,Vodafone Data,5,2026-08-29T07:44:56.472Z,2026-09-26T04:27:55.132Z
http,41.65.55.27,1976,http://41.65.55.27:1976,transparent,false,1603,1421.5,45.5,50.6,391,41.65.55.27,2,eg,Kafr el-Sheikh,Kafr ash Shaykh,Africa/Cairo,36992,ETISALAT MISR,11,2025-10-02T07:16:11.473Z,2026-09-26T04:29:34.886Z
http,41.33.245.138,1976,http://41.33.245.138:1976,transparent,false,710,797.5,69.8,41,217,41.33.245.138,2,eg,Dakahlia,Bilqās,Africa/Cairo,8452,TE-AS,20,2026-09-15T12:52:06.135Z,2026-09-26T04:30:34.990Z
http,84.36.141.180,1981,http://84.36.141.180:1981,transparent,false,730,3774,32.4,31.4,369,84.36.141.180,1,eg,Aswan,Aswān,Africa/Cairo,36992,ETISALAT MISR,21,2026-08-08T21:07:18.247Z,2026-09-26T04:22:24.094Z
http,196.204.83.232,1976,http://196.204.83.232:1976,anonymous,false,3274,3187,9.1,18.4,141,196.204.83.232,1,eg,Sharqia,Zagazig,Africa/Cairo,24835,Vodafone Data,14,2025-09-05T00:24:28.292Z,2026-09-26T04:33:12.637Z
http,41.196.16.233,1981,http://41.196.16.233:1981,transparent,false,760,720.5,85.7,,28,41.196.16.233,2,eg,Giza,Giza,Africa/Cairo,24863,Link Egypt (Link.NET),3,2026-02-17T16:25:41.916Z,2026-09-26T04:26:12.812Z
http,196.204.3.20,1981,http://196.204.3.20:1981,transparent,false,762,760.5,100,,17,196.204.3.20,1,eg,Asyut,Al Qūşīyah,Africa/Cairo,24835,Vodafone Data,10,2026-09-03T10:51:14.588Z,2026-09-26T04:26:47.713Z
