protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,161.35.90.93,1083,socks5://161.35.90.93:1083,elite,true,1037,1311,86.4,85.3,857,192.145.124.230,1,es,Madrid,Madrid,Europe/Madrid,9009,M247 Europe SRL,18,2026-08-11T01:33:25.455Z,2026-09-22T04:29:08.090Z
socks4,83.56.15.57,5678,socks4://83.56.15.57:5678,elite,false,680,807,68.8,74.6,768,83.56.15.57,1,es,Madrid,Madrid,Europe/Madrid,3352,TELEFONICA DE ESPANA S.A.U.,22,2025-09-04T23:48:54.216Z,2026-09-22T04:30:12.072Z
socks4,185.130.219.12,4153,socks4://185.130.219.12:4153,elite,false,1646,1652,23.5,40.3,452,185.130.219.10,1,es,Valencia,Javea,Europe/Madrid,56697,SUIS BOGA TELECOM SL,11,2025-09-06T19:42:47.705Z,2026-09-22T04:24:43.254Z
socks5,45.74.31.30,13531,socks5://45.74.31.30:13531,elite,true,5159,4105,16.7,35.3,289,164.138.208.118,9,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,16,2026-09-16T03:18:05.440Z,2026-09-22T04:24:07.194Z
socks5,45.74.31.30,5625,socks5://45.74.31.30:5625,elite,true,2989,4891.5,25.7,27.7,65,164.138.208.118,9,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,14,2026-09-20T13:55:04.238Z,2026-09-22T04:28:47.107Z
socks5,45.74.31.25,4226,socks5://45.74.31.25:4226,elite,true,2888,4026,29.3,19,137,164.138.208.118,9,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,14,2026-09-15T16:54:15.366Z,2026-09-22T04:33:00.855Z
socks5,45.74.31.42,8842,socks5://45.74.31.42:8842,elite,true,741,764.5,100,,2,164.138.208.118,9,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,1,2026-09-22T04:15:12.344Z,2026-09-22T04:26:09.707Z
socks5,45.74.31.42,10520,socks5://45.74.31.42:10520,elite,true,750,1856,100,,2,164.138.208.118,9,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,1,2026-09-22T04:15:12.344Z,2026-09-22T04:25:01.527Z
http,212.231.230.141,18359,http://212.231.230.141:18359,transparent,true,903,903,100,,3,149.91.103.134,1,es,Madrid,Madrid,Europe/Madrid,34977,PROCONO S.A.,5,2026-09-21T02:01:30.431Z,2026-09-22T04:28:27.920Z
socks5,45.74.31.42,12495,socks5://45.74.31.42:12495,elite,true,1175,1482.5,92.3,,13,164.138.208.118,9,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,1,2026-09-22T02:14:09.239Z,2026-09-22T04:26:23.303Z
socks5,45.74.31.47,5124,socks5://45.74.31.47:5124,elite,false,3614,3287,57.5,,42,164.138.208.118,9,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,12,2026-09-19T09:40:06.532Z,2026-09-22T04:24:56.792Z
socks5,45.74.31.22,4814,socks5://45.74.31.22:4814,elite,false,6449,6708.5,100,,2,164.138.208.118,9,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,4,2026-09-22T04:15:17.550Z,2026-09-22T04:26:14.341Z
socks5,45.74.31.25,5143,socks5://45.74.31.25:5143,elite,true,9928,3631,53.3,,47,164.138.208.118,9,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,11,2026-09-16T15:24:25.934Z,2026-09-22T04:28:47.019Z
