protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,45.74.31.42,8079,socks5://45.74.31.42:8079,elite,false,4246,3058.5,46.8,46.3,80,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,8,2026-08-23T01:25:13.940Z,2026-09-23T04:27:02.542Z
socks5,45.74.31.25,5289,socks5://45.74.31.25:5289,elite,false,4607,3706.5,41.8,30.3,152,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,17,2026-09-17T19:39:18.752Z,2026-09-23T04:23:20.668Z
socks5,45.74.31.22,10046,socks5://45.74.31.22:10046,elite,true,3673,3554,33.3,25.6,137,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,17,2026-09-16T03:18:05.440Z,2026-09-23T04:25:12.260Z
socks5,45.74.31.30,8263,socks5://45.74.31.30:8263,elite,false,5562,4182.5,16,6,83,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,12,2026-09-12T11:13:17.555Z,2026-09-23T04:30:17.680Z
socks5,212.231.230.141,18500,socks5://212.231.230.141:18500,elite,false,875,1043.5,70.3,,39,149.91.103.134,1,es,Madrid,Madrid,Europe/Madrid,34977,PROCONO S.A.,13,2025-09-05T00:24:36.148Z,2026-09-23T04:22:52.746Z
socks5,45.74.31.40,47651,socks5://45.74.31.40:47651,elite,false,2237,3516.5,54.6,,33,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,12,2026-09-22T19:04:01.771Z,2026-09-23T04:31:05.474Z
socks5,45.74.31.22,47294,socks5://45.74.31.22:47294,elite,false,2405,4537,69.2,,13,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,11,2026-09-23T01:07:14.655Z,2026-09-23T04:21:39.796Z
socks5,45.74.31.42,4499,socks5://45.74.31.42:4499,elite,false,3135,3145.5,50,,4,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,11,2026-09-11T22:06:26.007Z,2026-09-23T04:31:04.407Z
socks5,45.74.31.22,4482,socks5://45.74.31.22:4482,elite,false,4647,1310.5,43.3,,30,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,11,2026-09-22T15:20:57.825Z,2026-09-23T04:23:39.290Z
socks5,45.74.31.30,10841,socks5://45.74.31.30:10841,elite,true,5154,3624,58.3,,12,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,6,2026-09-23T01:07:17.972Z,2026-09-23T04:23:17.958Z
socks5,45.74.31.42,7819,socks5://45.74.31.42:7819,elite,false,6018,2538.5,72.7,,22,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,9,2026-09-22T23:06:15.228Z,2026-09-23T04:29:51.323Z
socks5,45.74.31.30,7286,socks5://45.74.31.30:7286,elite,false,7387,4265,19.1,,25,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,13,2026-09-14T01:33:25.430Z,2026-09-23T04:21:27.340Z
socks5,45.74.31.22,47727,socks5://45.74.31.22:47727,elite,false,8282,5679,60,,5,164.138.208.118,12,es,Madrid,Madrid,Europe/Madrid,198968,Cyberneticos Hosting SL,1,2026-09-23T03:08:21.755Z,2026-09-23T04:22:30.353Z
