protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,144.31.75.29,1080,http://144.31.75.29:1080,elite,true,633,627,99.3,99.7,1004,144.31.75.29,1,fi,Uusimaa,Helsinki,Europe/Helsinki,213877,U1 DIGITAL SERVICES LTD,4,2026-08-12T00:47:17.694Z,2026-09-26T17:07:42.700Z
socks5,89.22.226.183,1080,socks5://89.22.226.183:1080,elite,true,4032,2623.5,95.1,95.5,157,89.22.226.183,1,fi,Uusimaa,Helsinki,Europe/Helsinki,210644,AEZA GROUP LLC,13,2026-09-25T14:39:33.903Z,2026-09-26T17:05:03.660Z
http,66.151.34.89,80,http://66.151.34.89:80,elite,false,562,551.5,80,94.6,983,66.151.34.89,1,fi,Uusimaa,Helsinki,Europe/Helsinki,57043,HOSTKEY B.V.,19,2026-09-05T06:58:13.976Z,2026-09-26T17:08:57.363Z
socks5,83.147.216.208,1080,socks5://83.147.216.208:1080,elite,true,862,868.5,88.7,86,695,83.147.216.208,1,fi,Uusimaa,Helsinki,Europe/Helsinki,203273,NetCrafters OU,20,2026-07-26T04:12:05.758Z,2026-09-26T17:08:09.630Z
socks4,85.209.156.148,1080,socks4://85.209.156.148:1080,elite,true,2587,4848,71.2,80.1,820,85.209.156.148,3,fi,Uusimaa,Helsinki,Europe/Helsinki,51765,Oy Creanova Hosting Solutions Ltd.,20,2026-08-25T00:50:18.372Z,2026-09-26T17:09:58.464Z
http,85.209.156.148,1080,http://85.209.156.148:1080,elite,false,8942,2797,62,74.5,757,85.209.156.148,3,fi,Uusimaa,Helsinki,Europe/Helsinki,51765,Oy Creanova Hosting Solutions Ltd.,23,2026-08-25T00:50:34.299Z,2026-09-26T17:09:33.704Z
socks5,85.209.156.148,1080,socks5://85.209.156.148:1080,elite,true,3891,4562.5,63,71.5,738,85.209.156.148,3,fi,Uusimaa,Helsinki,Europe/Helsinki,51765,Oy Creanova Hosting Solutions Ltd.,19,2026-08-25T00:49:11.337Z,2026-09-26T17:07:32.506Z
socks4,95.81.126.73,1080,socks4://95.81.126.73:1080,elite,true,2125,2005,58.8,58.8,51,95.81.126.73,2,fi,Uusimaa,Helsinki,Europe/Helsinki,207569,IHOR HOSTING LTD,1,2026-05-19T22:05:31.688Z,2026-09-26T17:12:11.659Z
socks5,2.26.97.76,1080,socks5://2.26.97.76:1080,elite,true,6007,5584.5,67.7,56.8,222,2.26.97.76,1,fi,Uusimaa,Helsinki,Europe/Helsinki,215439,PLAY2GO INTERNATIONAL LIMITED,13,2026-09-24T21:31:01.192Z,2026-09-26T17:05:31.997Z
http,95.81.126.73,3128,http://95.81.126.73:3128,elite,false,4429,4046,35.1,36.9,160,95.81.126.73,2,fi,Uusimaa,Helsinki,Europe/Helsinki,207569,IHOR HOSTING LTD,10,2026-05-23T09:43:52.812Z,2026-09-26T17:08:37.549Z
socks5,45.74.31.47,19459,socks5://45.74.31.47:19459,elite,false,793,2720,59.5,32.6,187,65.109.33.26,1,fi,Uusimaa,Helsinki,Europe/Helsinki,24940,Hetzner Online GmbH,11,2026-09-16T14:23:56.584Z,2026-09-26T17:07:12.483Z
socks4,195.133.26.196,1080,socks4://195.133.26.196:1080,elite,false,6589,3712,35.4,31.8,346,195.133.26.196,1,fi,Uusimaa,Helsinki,Europe/Helsinki,216024,ALEKSEI FEDOROV PR KRUSEVAC,19,2026-08-16T08:42:52.918Z,2026-09-26T17:13:19.494Z
socks4,193.221.203.14,1080,socks4://193.221.203.14:1080,elite,false,1686,3537.5,32,30.1,418,193.221.203.14,1,fi,Uusimaa,Helsinki,Europe/Helsinki,41745,Baykov Ilya Sergeevich,13,2026-04-13T17:15:03.771Z,2026-09-26T17:07:49.248Z
http,65.108.103.19,80,http://65.108.103.19:80,elite,false,8865,605,40.7,30,486,65.108.103.19,1,fi,Uusimaa,Helsinki,Europe/Helsinki,24940,Hetzner Online GmbH,19,2025-12-06T19:02:50.065Z,2026-09-26T17:07:13.532Z
http,185.97.200.14,1080,http://185.97.200.14:1080,elite,false,2121,2105,19.1,19.4,273,132.243.20.40,1,fi,Uusimaa,Helsinki,Europe/Helsinki,204339,FIRST SERVER LIMITED,15,2026-07-23T21:44:46.272Z,2026-09-26T17:06:09.542Z
http,46.243.1.99,3128,http://46.243.1.99:3128,elite,false,9789,4675.5,25.6,18.8,250,46.243.1.99,1,fi,Uusimaa,Helsinki,Europe/Helsinki,207569,IHOR HOSTING LTD,22,2026-09-16T01:16:59.192Z,2026-09-26T17:11:01.214Z
