protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,144.31.75.29,1080,http://144.31.75.29:1080,elite,true,1525,625.5,100,99.4,772,144.31.75.29,1,fi,Uusimaa,Helsinki,Europe/Helsinki,213877,U1 DIGITAL SERVICES LTD,4,2026-08-12T00:47:17.694Z,2026-09-24T04:31:12.831Z
http,66.151.34.89,80,http://66.151.34.89:80,elite,false,551,559.5,94.9,98,978,66.151.34.89,1,fi,Uusimaa,Helsinki,Europe/Helsinki,57043,HOSTKEY B.V.,19,2026-09-05T06:58:13.976Z,2026-09-24T04:29:10.033Z
http,85.209.156.148,1080,http://85.209.156.148:1080,elite,true,1183,1221,82.1,85.8,844,85.209.156.148,2,fi,Uusimaa,Helsinki,Europe/Helsinki,51765,Oy Creanova Hosting Solutions Ltd.,22,2026-08-25T00:50:34.299Z,2026-09-24T04:32:22.946Z
http,135.136.189.169,1080,http://135.136.189.169:1080,elite,true,4584,1685.5,73.7,73.6,311,135.136.189.169,1,fi,Uusimaa,Helsinki,Europe/Helsinki,204339,FIRST SERVER LIMITED,9,2026-08-27T08:20:03.274Z,2026-09-24T04:30:25.425Z
http,62.60.231.45,10809,http://62.60.231.45:10809,elite,true,3871,7118.5,61.3,53.9,280,62.60.231.45,2,fi,Uusimaa,Helsinki,Europe/Helsinki,210644,AEZA GROUP LLC,20,2026-09-20T18:57:45.187Z,2026-09-24T04:31:32.728Z
http,62.60.231.45,10808,http://62.60.231.45:10808,elite,true,5158,5315,53.4,51.5,303,62.60.231.45,2,fi,Uusimaa,Helsinki,Europe/Helsinki,210644,AEZA GROUP LLC,14,2026-07-19T16:50:49.366Z,2026-09-24T04:31:19.827Z
http,193.221.203.14,3128,http://193.221.203.14:3128,transparent,false,3456,4516.5,40.9,35.4,342,193.221.203.14,3,fi,Uusimaa,Helsinki,Europe/Helsinki,41745,Baykov Ilya Sergeevich,10,2026-03-28T07:38:53.310Z,2026-09-24T04:24:56.810Z
http,77.221.158.175,3128,http://77.221.158.175:3128,elite,false,555,1552.5,22.2,34.8,425,77.221.158.175,1,fi,Uusimaa,Helsinki,Europe/Helsinki,210644,AEZA GROUP LLC,20,2026-07-02T13:09:58.931Z,2026-09-24T04:31:26.847Z
http,65.21.201.149,8081,http://65.21.201.149:8081,elite,false,576,1049.5,45.8,27.6,268,104.28.254.16,1,fi,Uusimaa,Helsinki,Europe/Helsinki,13335,"Cloudflare, Inc.",24,2026-09-14T03:34:29.689Z,2026-09-24T04:27:37.308Z
http,2.27.53.95,3128,http://2.27.53.95:3128,transparent,true,3386,1813.5,100,,8,2.27.53.95,1,fi,Uusimaa,Helsinki,Europe/Helsinki,215590,DpkgSoft International Limited,5,2026-09-24T03:20:59.609Z,2026-09-24T04:31:21.979Z
