protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,109.199.119.160,80,http://109.199.119.160:80,elite,false,232,218.5,100,99.7,1003,109.199.119.160,1,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,18,2026-07-29T19:59:31.982Z,2026-09-21T04:32:09.832Z
http,37.59.125.131,8888,http://37.59.125.131:8888,transparent,true,913,862.5,99.3,95.2,970,82.66.253.58,1,fr,Île-de-France,Paris,Europe/Paris,12322,Free SAS,24,2026-07-10T05:50:05.863Z,2026-09-21T04:28:30.999Z
http,37.187.74.125,80,http://37.187.74.125:80,elite,false,468,468.5,85.9,91.2,920,37.187.74.125,1,fr,Hauts-de-France,Dunkirk,Europe/Paris,16276,OVH SAS,10,2025-09-05T00:24:28.901Z,2026-09-21T04:26:40.961Z
http,78.153.225.20,80,http://78.153.225.20:80,elite,false,5456,5488,92.2,90.3,858,78.153.225.20,1,fr,Île-de-France,Paris,Europe/Paris,30781,Free Pro SAS,3,2025-09-10T19:35:00.449Z,2026-09-21T04:23:24.716Z
http,206.245.131.160,80,http://206.245.131.160:80,elite,false,424,425.5,97,88.2,928,206.245.131.160,1,fr,Île-de-France,Paris,Europe/Paris,26383,Baxet Group Inc.,10,2026-07-09T13:39:53.205Z,2026-09-21T04:21:49.711Z
http,202.133.88.173,80,http://202.133.88.173:80,elite,false,651,717.5,94.4,87.3,872,202.133.88.173,1,fr,Île-de-France,Paris,Europe/Paris,212552,BitCommand LLC,18,2025-12-07T12:12:09.766Z,2026-09-21T04:29:30.653Z
http,163.172.53.142,80,http://163.172.53.142:80,elite,false,947,707,87.4,86.1,880,163.172.53.142,1,fr,Île-de-France,Paris,Europe/Paris,12876,Scaleway SAS,17,2025-09-06T06:34:26.456Z,2026-09-21T04:28:45.062Z
http,157.173.115.35,1081,http://157.173.115.35:1081,elite,true,2294,2239,75.9,75.4,643,157.173.115.35,2,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,21,2026-09-15T08:49:52.699Z,2026-09-21T04:31:37.767Z
http,194.163.175.167,40001,http://194.163.175.167:40001,elite,true,831,2519,75.6,66.9,777,194.163.175.167,2,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,23,2026-09-06T09:12:05.475Z,2026-09-21T04:23:48.844Z
http,167.86.104.220,80,http://167.86.104.220:80,transparent,true,473,533.5,76.7,65.6,607,167.86.104.220,2,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,25,2026-09-11T21:05:54.287Z,2026-09-21T04:32:12.462Z
http,37.187.109.70,10111,http://37.187.109.70:10111,transparent,true,718,1226,89.4,64.7,779,37.187.109.70,1,fr,Hauts-de-France,Dunkirk,Europe/Paris,16276,OVH SAS,24,2025-09-10T19:34:44.841Z,2026-09-21T04:30:53.812Z
http,51.75.206.209,80,http://51.75.206.209:80,elite,false,1550,3733.5,64.4,60.7,713,51.75.206.209,1,fr,Hauts-de-France,Dunkirk,Europe/Paris,16276,OVH SAS,18,2025-09-10T19:35:12.669Z,2026-09-21T04:22:46.107Z
http,194.163.175.167,40000,http://194.163.175.167:40000,elite,true,1492,4032.5,55.3,58.7,644,194.163.175.167,2,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,23,2026-08-28T17:37:39.455Z,2026-09-21T04:30:49.689Z
http,176.191.124.3,80,http://176.191.124.3:80,anonymous,false,3393,4195.5,60,58.5,617,176.191.124.3,1,fr,Rhône-Alpes,Grenoble,Europe/Paris,5410,Bouygues Telecom SA,10,2025-12-06T17:01:43.838Z,2026-09-21T04:23:38.893Z
http,158.220.99.85,4545,http://158.220.99.85:4545,elite,true,3196,3761,61.4,57.6,436,158.220.99.85,3,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,21,2026-08-24T23:50:02.829Z,2026-09-21T04:22:24.174Z
http,188.165.199.207,80,http://188.165.199.207:80,elite,false,452,470.5,82.3,56.6,389,188.165.199.207,1,fr,Hauts-de-France,Roubaix,Europe/Paris,16276,OVH SAS,1,2026-03-17T17:23:32.315Z,2026-09-21T04:27:58.475Z
