protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,129.151.240.183,1080,socks5://129.151.240.183:1080,elite,true,706,877,98.6,99.5,369,129.151.240.183,2,fr,Provence-Alpes-Côte d'Azur,Marseille,Europe/Paris,31898,Oracle Corporation,12,2026-09-24T03:21:06.379Z,2026-09-26T17:08:57.889Z
socks5,109.205.182.143,1088,socks5://109.205.182.143:1088,elite,true,1991,875.5,100,99.5,655,109.205.182.143,1,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,18,2026-09-22T03:14:36.474Z,2026-09-26T17:04:26.886Z
socks5,213.199.47.140,1080,socks5://213.199.47.140:1080,elite,true,4224,4357.5,97.9,99.4,994,213.199.47.140,1,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,19,2026-06-10T03:22:02.743Z,2026-09-26T17:12:23.469Z
socks5,144.91.121.61,1088,socks5://144.91.121.61:1088,elite,false,6404,4255,97.2,98.6,980,144.91.121.61,1,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,21,2026-06-29T15:31:05.694Z,2026-09-26T17:07:56.760Z
socks5,144.91.111.48,1088,socks5://144.91.111.48:1088,elite,true,1775,2542.5,97.9,98.4,987,144.91.111.48,1,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,21,2026-06-29T10:29:31.182Z,2026-09-26T17:09:53.545Z
socks5,109.123.251.109,1080,socks5://109.123.251.109:1080,elite,true,1314,1618.5,97.9,93.9,964,109.123.251.109,2,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,20,2026-02-25T05:01:43.964Z,2026-09-26T17:08:11.750Z
socks5,95.111.228.190,1082,socks5://95.111.228.190:1082,elite,true,690,779,90.1,90.1,537,95.111.228.190,6,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,15,2026-09-22T18:03:30.361Z,2026-09-26T17:05:29.313Z
socks5,95.111.228.190,1081,socks5://95.111.228.190:1081,elite,true,705,766.5,93.8,88.6,709,95.111.228.190,6,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,20,2026-09-21T10:05:37.219Z,2026-09-26T17:06:44.362Z
socks5,95.111.228.190,1080,socks5://95.111.228.190:1080,elite,true,691,762.5,90.9,86.1,664,95.111.228.190,6,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,18,2026-09-21T10:05:38.520Z,2026-09-26T17:09:36.939Z
socks5,45.74.31.41,5167,socks5://45.74.31.41:5167,elite,false,3218,2881,81.1,81.1,53,164.68.100.166,99,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,9,2026-09-26T07:48:37.716Z,2026-09-26T17:04:02.239Z
