protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,185.87.255.47,1080,socks5://185.87.255.47:1080,elite,true,697,708,99.3,99.7,579,185.87.255.47,1,gb,England,London,Europe/London,215089,Fast Panda Limited,19,2026-09-20T02:49:10.735Z,2026-09-24T04:33:07.535Z
socks5,185.87.255.54,1080,socks5://185.87.255.54:1080,elite,true,644,696,100,99.6,722,185.87.255.54,1,gb,England,London,Europe/London,215089,Fast Panda Limited,19,2026-09-19T02:36:27.799Z,2026-09-24T04:33:34.945Z
http,79.137.192.114,80,http://79.137.192.114:80,transparent,false,682,727,96.4,96.5,367,172.70.86.73,1,gb,England,London,Europe/London,13335,"Cloudflare, Inc.",1,2026-09-21T12:07:00.964Z,2026-09-24T04:26:00.081Z
socks5,178.79.180.31,1088,socks5://178.79.180.31:1088,elite,true,863,1511,85,85,80,178.79.180.31,2,gb,England,London,Europe/London,63949,Akamai Connected Cloud,12,2026-09-23T15:14:39.792Z,2026-09-24T04:30:41.907Z
socks5,5.75.133.113,10803,socks5://5.75.133.113:10803,elite,true,2133,1816,70.7,67,637,195.191.219.69,1,gb,England,London,Europe/London,3170,VeloxServ Communications Ltd,18,2026-09-16T15:24:29.706Z,2026-09-24T04:26:28.425Z
http,172.237.102.212,3128,http://172.237.102.212:3128,elite,true,4016,3052,57.9,39.4,71,172.237.102.212,1,gb,England,London,Europe/London,63949,Akamai Connected Cloud,17,2026-09-21T12:06:37.043Z,2026-09-24T04:30:55.744Z
http,194.164.22.24,8080,http://194.164.22.24:8080,elite,false,1436,3365.5,32.1,27.1,410,194.164.22.24,1,gb,England,London,Europe/London,8560,IONOS SE,25,2026-09-06T18:17:04.735Z,2026-09-24T04:32:50.939Z
socks5,45.74.31.22,11358,socks5://45.74.31.22:11358,elite,false,2664,4459.5,42.1,23.7,228,142.93.47.230,3,gb,England,London,Europe/London,14061,"DigitalOcean, LLC",17,2026-09-16T03:18:05.440Z,2026-09-24T04:24:45.170Z
http,195.154.191.26,1085,http://195.154.191.26:1085,elite,false,762,6347.5,50,12.5,88,82.108.39.231,1,gb,England,London,Europe/London,2856,British Telecommunications Limited,7,2026-07-08T19:28:20.418Z,2026-09-24T04:32:38.530Z
http,144.31.58.13,80,http://144.31.58.13:80,transparent,false,558,561,100,,8,144.31.58.13,1,gb,England,London,Europe/London,26383,Baxet Group Inc.,1,2026-09-24T03:21:27.253Z,2026-09-24T04:29:36.916Z
socks4,178.79.180.31,1088,socks4://178.79.180.31:1088,elite,true,795,1013,90,,20,178.79.180.31,2,gb,England,London,Europe/London,63949,Akamai Connected Cloud,5,2026-09-24T01:20:07.087Z,2026-09-24T04:30:09.929Z
socks5,45.74.31.30,8094,socks5://45.74.31.30:8094,elite,true,802,3595,100,,36,142.93.47.230,3,gb,England,London,Europe/London,14061,"DigitalOcean, LLC",3,2026-09-16T23:28:47.969Z,2026-09-24T04:32:53.609Z
socks5,45.74.31.30,8409,socks5://45.74.31.30:8409,elite,true,2481,2481,50,,2,142.93.47.230,3,gb,England,London,Europe/London,14061,"DigitalOcean, LLC",6,2026-09-04T22:52:50.840Z,2026-09-24T04:33:01.638Z
socks5,46.101.31.223,1080,socks5://46.101.31.223:1080,elite,false,2611,586.5,75,,20,46.101.31.223,1,gb,England,London,Europe/London,14061,"DigitalOcean, LLC",6,2026-09-24T01:19:57.985Z,2026-09-24T04:32:46.629Z
