protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,91.103.120.48,80,http://91.103.120.48:80,elite,false,793,781,100,100,714,91.103.120.59,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,215355,Alice Network,8,2026-08-30T23:07:01.812Z,2026-09-15T19:33:08.642Z
http,203.19.38.114,1080,http://203.19.38.114:1080,elite,false,1127,1108.5,100,99.9,712,203.19.38.114,1,hk,Islands,Tung Chung,Asia/Hong_Kong,23764,CTGNet,1,2026-03-17T17:23:32.537Z,2026-09-15T19:32:17.780Z
http,47.243.92.199,3128,http://47.243.92.199:3128,transparent,false,845,1386.5,98.6,98.9,712,47.243.92.199,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,45102,"Alibaba (US) Technology Co., Ltd.",14,2025-09-06T06:34:00.181Z,2026-09-15T19:34:38.590Z
socks5,27.124.12.186,1080,socks5://27.124.12.186:1080,elite,true,1335,1341,98.7,98.7,76,27.124.12.186,2,hk,Islands,Tung Chung,Asia/Hong_Kong,152194,CTG Server Limited,10,2026-09-15T06:48:52.388Z,2026-09-15T19:31:02.470Z
socks4,27.124.12.186,1080,socks4://27.124.12.186:1080,elite,false,1062,1429,98.5,98.5,65,27.124.12.186,2,hk,Islands,Tung Chung,Asia/Hong_Kong,152194,CTG Server Limited,11,2026-09-15T08:49:50.976Z,2026-09-15T19:35:13.994Z
http,39.109.113.97,4090,http://39.109.113.97:4090,elite,false,8321,2685,93,92.8,705,39.109.113.97,1,hk,Islands,Tung Chung,Asia/Hong_Kong,142403,YISU CLOUD LTD,1,2026-03-17T17:23:31.627Z,2026-09-15T19:26:44.051Z
socks5,123.58.219.171,10808,socks5://123.58.219.171:10808,elite,true,1214,1221.5,86.3,85,682,123.58.219.171,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1,2026-03-17T17:23:28.790Z,2026-09-15T19:32:21.536Z
http,36.155.23.163,10808,http://36.155.23.163:10808,elite,true,4118,3893,88.2,81.9,216,156.59.17.27,3,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,21859,Zenlayer Inc,13,2026-09-11T14:03:45.896Z,2026-09-15T19:30:01.059Z
socks5,36.155.23.163,10808,socks5://36.155.23.163:10808,elite,true,5851,4526.5,85,75.5,277,156.59.17.27,3,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,21859,Zenlayer Inc,9,2026-09-11T15:02:45.436Z,2026-09-15T19:32:17.855Z
socks4,36.155.23.163,10808,socks4://36.155.23.163:10808,elite,false,4005,3196,84.1,75.1,349,156.59.17.27,3,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,21859,Zenlayer Inc,11,2026-09-11T14:02:13.847Z,2026-09-15T19:28:27.613Z
http,139.198.113.101,18360,http://139.198.113.101:18360,transparent,false,9357,5563,43.9,47.3,438,139.198.113.101,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,134366,Cloud Computing HK Limited,14,2026-09-12T08:11:42.541Z,2026-09-15T19:25:30.740Z
socks5,47.238.236.151,5555,socks5://47.238.236.151:5555,elite,false,3571,2137,45.7,43.5,593,47.238.236.151,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,45102,"Alibaba (US) Technology Co., Ltd.",13,2026-08-03T02:51:53.144Z,2026-09-15T19:30:40.106Z
socks5,103.142.190.78,10808,socks5://103.142.190.78:10808,elite,true,3524,3453,39.2,39.8,566,103.142.190.78,1,hk,Islands,Tung Chung,Asia/Hong_Kong,133199,SonderCloud Limited,12,2026-08-08T01:55:23.188Z,2026-09-15T19:26:02.134Z
