protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,203.19.38.114,1080,http://203.19.38.114:1080,elite,false,1891,1127,95.1,99.1,997,203.19.38.114,1,hk,Islands,Tung Chung,Asia/Hong_Kong,23764,CTGNet,1,2026-03-17T17:23:32.537Z,2026-09-26T04:26:22.374Z
http,47.243.92.199,3128,http://47.243.92.199:3128,transparent,false,851,855.5,100,98.5,985,47.243.92.199,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,45102,"Alibaba (US) Technology Co., Ltd.",21,2025-09-06T06:34:00.181Z,2026-09-26T04:23:20.783Z
http,91.103.120.48,80,http://91.103.120.48:80,elite,false,3767,1716,97.2,98.3,984,91.103.120.59,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,215355,Alice Network,10,2026-08-30T23:07:01.812Z,2026-09-26T04:27:38.670Z
http,36.155.23.163,10808,http://36.155.23.163:10808,elite,true,3570,1952,91.6,89.1,883,156.59.17.27,3,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,21859,Zenlayer Inc,20,2026-09-11T14:03:45.896Z,2026-09-26T04:29:04.592Z
http,39.109.113.97,4090,http://39.109.113.97:4090,elite,false,3781,1996.5,86.4,88.9,893,39.109.113.97,1,hk,Islands,Tung Chung,Asia/Hong_Kong,142403,YISU CLOUD LTD,1,2026-03-17T17:23:31.627Z,2026-09-26T04:31:17.541Z
http,165.154.20.187,10808,http://165.154.20.187:10808,elite,true,2006,1466.5,57.9,57.6,561,165.154.20.187,3,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,23,2026-08-10T03:23:41.629Z,2026-09-26T04:23:46.611Z
http,103.43.191.71,8888,http://103.43.191.71:8888,elite,false,4935,5989.5,37.9,43.6,610,103.43.191.71,1,hk,Islands,Tung Chung,Asia/Hong_Kong,139021,West263 International Limited,24,2026-06-23T22:18:00.232Z,2026-09-26T04:28:47.104Z
http,210.177.178.148,80,http://210.177.178.148:80,elite,false,8351,1063.5,31.4,41.4,459,210.177.178.148,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,4760,HKT Limited,17,2025-12-07T14:14:18.054Z,2026-09-26T04:30:25.928Z
http,8.210.93.183,8213,http://8.210.93.183:8213,transparent,false,1566,3296.5,40.9,36.3,262,8.210.93.183,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,45102,"Alibaba (US) Technology Co., Ltd.",24,2026-06-09T22:22:22.101Z,2026-09-26T04:28:10.567Z
http,121.29.195.232,7890,http://121.29.195.232:7890,elite,true,2105,2112.5,37.1,34.9,573,103.167.135.21,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,38136,Akari Networks,24,2026-09-17T03:30:44.651Z,2026-09-26T04:32:03.379Z
http,150.5.166.194,1080,http://150.5.166.194:1080,transparent,true,5423,3885.5,32.3,34.9,344,150.5.166.194,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,150436,Byteplus Pte. Ltd.,13,2026-02-04T14:39:24.014Z,2026-09-26T04:24:37.380Z
http,111.119.162.248,10938,http://111.119.162.248:10938,elite,true,1295,2374.5,43.4,34.6,280,47.243.1.32,2,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,45102,"Alibaba (US) Technology Co., Ltd.",21,2026-08-15T15:31:48.369Z,2026-09-26T04:26:05.882Z
http,218.102.111.110,1081,http://218.102.111.110:1081,elite,true,8171,3851.5,27.3,24.8,234,218.102.111.110,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,4760,HKT Limited,23,2026-09-11T04:57:27.501Z,2026-09-26T04:23:26.528Z
