protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,154.201.71.12,2080,socks5://154.201.71.12:2080,elite,true,1234,1485,97.9,96.8,248,154.201.71.12,1,hk,Islands,Tung Chung,Asia/Hong_Kong,401696,cognetcloud INC,12,2026-09-24T23:31:37.057Z,2026-09-26T17:10:30.182Z
socks5,156.225.20.83,1080,socks5://156.225.20.83:1080,elite,true,4357,4075,97.2,96,603,156.225.20.83,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,401696,cognetcloud INC,17,2026-07-15T05:50:41.693Z,2026-09-26T17:09:34.766Z
socks5,43.251.225.109,1080,socks5://43.251.225.109:1080,elite,false,1471,1837.5,92.9,94.2,173,43.251.225.109,1,hk,Islands,Tung Chung,Asia/Hong_Kong,401696,cognetcloud INC,12,2026-09-25T11:37:58.083Z,2026-09-26T17:05:27.165Z
socks5,27.124.12.186,1080,socks5://27.124.12.186:1080,elite,false,7313,8563.5,84.1,88.5,897,27.124.12.186,2,hk,Islands,Tung Chung,Asia/Hong_Kong,152194,CTG Server Limited,19,2026-09-15T06:48:52.388Z,2026-09-26T17:09:53.551Z
socks5,36.155.23.163,10808,socks5://36.155.23.163:10808,elite,true,5953,2843,90,87.9,878,156.59.17.27,3,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,21859,Zenlayer Inc,19,2026-09-11T15:02:45.436Z,2026-09-26T17:11:22.000Z
socks5,101.32.60.93,1080,socks5://101.32.60.93:1080,elite,false,6025,4803.5,87.7,87.7,220,101.32.60.93,2,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,132203,"Tencent Building, Kejizhongyi Avenue",13,2026-09-25T03:33:46.112Z,2026-09-26T17:11:02.786Z
socks5,45.136.197.195,5555,socks5://45.136.197.195:5555,elite,true,2001,968,76.4,77.6,486,45.136.197.195,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,9009,M247 Europe SRL,15,2026-09-23T05:09:21.759Z,2026-09-26T17:13:24.375Z
socks5,163.223.77.236,6666,socks5://163.223.77.236:6666,elite,true,1289,3579.5,53.4,58.5,422,43.230.91.60,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,135391,AOFEI DATA INTERNATIONAL COMPANY LIMITED,14,2026-09-23T14:14:07.771Z,2026-09-26T17:03:39.276Z
socks5,89.185.24.42,10808,socks5://89.185.24.42:10808,elite,false,9426,6095.5,26.3,29,131,89.185.24.42,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,202662,Hytron Network Services,14,2026-09-24T13:26:19.283Z,2026-09-26T17:11:46.280Z
socks5,202.47.180.112,1080,socks5://202.47.180.112:1080,elite,true,1913,2203,90,,20,202.47.180.112,2,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,198651,"HOSTLINE, UAB",6,2026-09-26T13:51:45.229Z,2026-09-26T17:03:49.393Z
socks5,154.37.218.130,555,socks5://154.37.218.130:555,elite,false,2364,1645.5,96.3,,27,154.37.218.130,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,979,NetLab Global,10,2026-09-26T12:51:13.462Z,2026-09-26T17:10:30.176Z
