protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,103.65.237.92,5678,http://103.65.237.92:5678,elite,false,6813,1095.5,82.6,85,906,103.65.237.92,1,id,Jakarta,Jakarta,Asia/Jakarta,135450,PT Berkah Solusi Teknologi Informasi,19,2025-09-10T19:34:45.590Z,2026-09-19T18:28:51.348Z
http,36.64.54.98,8080,http://36.64.54.98:8080,transparent,false,4555,6504.5,73.8,73.8,61,36.64.54.98,1,id,West Java,Cikarang,Asia/Jakarta,7713,PT Telekomunikasi Indonesia,2,2026-09-19T04:37:21.986Z,2026-09-19T18:23:17.228Z
socks4,117.102.101.52,5678,socks4://117.102.101.52:5678,elite,false,1544,1876,63.2,71.8,866,117.102.101.52,1,id,Jakarta,Jakarta,Asia/Jakarta,17451,BIZNET NETWORKS,13,2025-09-05T00:23:10.005Z,2026-09-19T18:29:22.370Z
socks4,103.26.209.206,1080,socks4://103.26.209.206:1080,elite,false,4334,2364,60.4,69.8,808,103.26.209.206,1,id,Jakarta,Jakarta,Asia/Jakarta,18103,Neuviz Net,12,2026-04-08T09:00:00.676Z,2026-09-19T18:23:03.731Z
socks5,103.174.122.197,8199,socks5://103.174.122.197:8199,elite,false,4835,4658.5,62.4,61.2,815,103.174.122.197,1,id,West Java,Sumedang,Asia/Jakarta,147096,PT Jaya Sejahtra Nugraha,1,2026-03-17T17:23:28.313Z,2026-09-19T18:27:55.024Z
socks4,103.102.141.39,4145,socks4://103.102.141.39:4145,elite,false,4393,3481.5,63.2,54.7,802,103.102.141.39,1,id,Riau Islands,Tanjung Balai,Asia/Jakarta,136854,PT. PALAPA RING BARAT,12,2025-09-04T23:49:06.393Z,2026-09-19T18:24:48.561Z
socks5,8.215.25.3,2080,socks5://8.215.25.3:2080,elite,true,1397,1253,52.7,49.4,553,8.215.25.3,2,id,Jakarta,Jakarta,Asia/Jakarta,45102,"Alibaba (US) Technology Co., Ltd.",19,2026-06-08T19:07:28.086Z,2026-09-19T18:24:56.369Z
socks4,101.255.150.238,1080,socks4://101.255.150.238:1080,elite,false,1450,4246.5,36.5,47.4,690,101.255.150.238,1,id,West Java,Bogor,Asia/Jakarta,38511,PT Remala Abadi,17,2025-10-27T18:03:00.493Z,2026-09-19T18:23:42.589Z
http,41.216.186.41,8080,http://41.216.186.41:8080,anonymous,true,9189,4047.5,51.8,46.8,62,202.65.234.67,1,id,East Java,Surabaya,Asia/Jakarta,45700,PT. NAP Info Lintas Nusa,11,2026-08-14T23:24:59.286Z,2026-09-19T18:20:13.822Z
http,8.215.25.3,2080,http://8.215.25.3:2080,elite,true,1155,949.5,28.3,43.9,494,8.215.25.3,2,id,Jakarta,Jakarta,Asia/Jakarta,45102,"Alibaba (US) Technology Co., Ltd.",21,2026-06-08T18:07:13.748Z,2026-09-19T18:24:11.600Z
