protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,103.65.237.92,5678,http://103.65.237.92:5678,elite,false,2758,1892,65.7,86.1,922,103.65.237.92,1,id,Jakarta,Jakarta,Asia/Jakarta,135450,PT Berkah Solusi Teknologi Informasi,19,2025-09-10T19:34:45.590Z,2026-09-19T04:30:17.618Z
http,103.175.238.122,8085,http://103.175.238.122:8085,transparent,true,8681,3215,50,53.2,62,103.175.238.122,1,id,West Java,Bandung,Asia/Jakarta,147122,PT Uliz Netmedia Solusindo,7,2026-04-02T20:50:30.694Z,2026-09-19T04:31:10.755Z
http,103.56.80.77,8080,http://103.56.80.77:8080,transparent,true,5034,3817.5,19.1,41.1,445,103.56.80.77,1,id,West Java,Banjar,Asia/Jakarta,152000,PT Jaringan Citra Mandiri,12,2026-06-24T13:27:50.275Z,2026-09-19T04:27:34.150Z
http,103.61.234.186,8180,http://103.61.234.186:8180,transparent,true,5557,5125.5,48.4,37.9,673,103.61.235.186,1,id,Jakarta,Jakarta,Asia/Jakarta,150510,PT Kawan Lama Sejahtera,16,2026-08-12T01:47:43.230Z,2026-09-19T04:30:37.379Z
http,103.53.79.198,8050,http://103.53.79.198:8050,transparent,true,9218,2752,57.1,36,358,103.53.79.198,1,id,Jakarta,Jakarta,Asia/Jakarta,133817,PT Inti Data Telematika,15,2026-09-04T00:43:47.616Z,2026-09-19T04:26:41.326Z
http,8.215.112.240,7777,http://8.215.112.240:7777,elite,false,915,2053,33.9,32,394,8.215.112.240,1,id,Jakarta,Jakarta,Asia/Jakarta,45102,"Alibaba (US) Technology Co., Ltd.",21,2026-07-28T10:42:16.599Z,2026-09-19T04:26:39.745Z
http,202.58.77.131,7777,http://202.58.77.131:7777,anonymous,false,1112,2123.5,28.9,31.6,466,202.58.79.86,1,id,East Java,Babat,Asia/Jakarta,138886,PT Data Buana Nusantara,13,2026-09-11T00:55:20.745Z,2026-09-19T04:26:49.713Z
http,118.99.84.159,8888,http://118.99.84.159:8888,transparent,true,3094,2836,28.1,28.6,126,118.99.84.159,1,id,East Java,Surabaya,Asia/Jakarta,17451,BIZNET NETWORKS,20,2026-09-17T03:30:44.651Z,2026-09-19T04:28:34.129Z
http,103.208.102.1,8080,http://103.208.102.1:8080,anonymous,false,1176,4263.5,28.8,27.5,80,103.208.102.154,1,id,Central Java,Muntilan,Asia/Jakarta,134648,PT Tidar Lintas Nusa,20,2026-07-10T21:57:57.557Z,2026-09-19T04:30:40.149Z
http,103.203.232.166,8080,http://103.203.232.166:8080,transparent,true,6577,4312,23.1,26.4,254,103.203.232.166,1,id,East Java,Malang,Asia/Jakarta,151600,PT Inti Data Guna,11,2026-04-09T03:10:47.343Z,2026-09-19T04:30:39.100Z
http,103.152.7.74,8585,http://103.152.7.74:8585,transparent,true,4323,5142,20,25.3,194,103.152.7.250,1,id,Bali,Klungkung,Asia/Makassar,140426,Pemerintah Kabupaten Klungkung,19,2026-09-12T17:16:29.342Z,2026-09-19T04:22:53.319Z
http,103.166.0.25,1111,http://103.166.0.25:1111,anonymous,true,1309,2215,27.9,24.8,129,103.166.0.25,1,id,Bali,Singaraja,Asia/Makassar,141928,PT Balian Media Online Nusantara,22,2026-09-17T03:30:44.651Z,2026-09-19T04:23:24.568Z
http,202.169.250.149,8111,http://202.169.250.149:8111,transparent,false,4261,4603.5,46.9,23.9,390,202.169.250.146,1,id,Jakarta,Jakarta,Asia/Jakarta,38143,"PT. Rabik Bangun Pertiwi, PMA",16,2026-06-29T22:34:47.304Z,2026-09-19T04:28:54.102Z
http,138.252.158.7,8080,http://138.252.158.7:8080,transparent,true,6787,3473.5,32.5,23.4,342,138.252.158.7,1,id,Central Java,Banjarnegara,Asia/Jakarta,154372,PT Server Nusantara Sejahtera,15,2026-05-20T23:21:26.466Z,2026-09-19T04:31:12.425Z
http,162.4.38.22,8080,http://162.4.38.22:8080,transparent,true,4218,4281.5,12.8,22.8,127,162.4.38.22,1,id,Central Java,Mranggen,Asia/Jakarta,140946,PT Lintas Cita Nusantara,18,2026-09-17T03:30:44.651Z,2026-09-19T04:28:30.936Z
http,103.189.231.209,8181,http://103.189.231.209:8181,transparent,false,7837,3056,27.1,22.8,123,103.189.231.213,1,id,West Java,Dusun Desa Handapherang,Asia/Jakarta,142381,PT Media Access Telematika,20,2026-09-17T03:30:46.282Z,2026-09-19T04:25:30.794Z
http,160.19.19.18,8080,http://160.19.19.18:8080,transparent,false,3085,3091.5,30.6,22.3,274,160.19.19.18,1,id,Jakarta,Jakarta,Asia/Jakarta,149360,PT Indo Telemedia Solusi,21,2026-04-09T06:12:15.024Z,2026-09-19T04:30:22.930Z
http,38.46.214.177,8085,http://38.46.214.177:8085,transparent,false,4492,2392.5,30.5,21.3,352,38.46.214.177,1,id,West Java,Bandung,Asia/Jakarta,55701,PT. Usaha Adisanggoro,22,2026-07-05T02:41:01.723Z,2026-09-19T04:27:02.894Z
http,115.178.50.71,1080,http://115.178.50.71:1080,elite,false,3537,2417,16.7,20.3,74,115.178.50.71,1,id,West Java,Banjar,Asia/Jakarta,38783,PT. Simaya Jejaring Mandiri,12,2026-09-16T05:19:09.971Z,2026-09-19T04:22:45.392Z
http,161.248.222.132,8080,http://161.248.222.132:8080,transparent,false,4617,4027.5,20.4,19.6,51,161.248.222.132,1,id,Gorontalo,Molobulahe,Asia/Makassar,150235,PT Insolikh Jaringan Multimedia,8,2026-09-17T03:30:44.651Z,2026-09-19T04:28:04.341Z
http,103.41.200.4,1111,http://103.41.200.4:1111,transparent,false,9440,4298,20.8,19.2,78,103.41.200.4,1,id,Yogyakarta,Depok,Asia/Jakarta,63512,PT Garuda Rias Teknologi,10,2026-05-24T19:01:29.738Z,2026-09-19T04:22:46.454Z
http,103.82.246.23,6080,http://103.82.246.23:6080,transparent,false,8380,2203.5,12.5,18.5,298,103.82.246.19,2,id,Jakarta,Jakarta,Asia/Jakarta,142370,PT Master Star Network,22,2025-09-05T20:06:36.651Z,2026-09-19T04:22:17.487Z
http,103.166.33.51,3125,http://103.166.33.51:3125,transparent,false,9961,4623.5,27.1,17.9,251,103.166.33.51,1,id,Central Java,Kudus,Asia/Jakarta,141929,PT Daniswara Citra Informatika,9,2026-01-28T21:13:57.132Z,2026-09-19T04:26:28.258Z
http,163.223.137.254,8181,http://163.223.137.254:8181,transparent,false,4127,3803,33.3,17.8,304,163.223.137.209,1,id,Jakarta,Jakarta,Asia/Jakarta,153727,PT QUEENQINAN DATAMEDIA MANDIRI,17,2026-09-02T06:36:00.987Z,2026-09-19T04:26:59.200Z
http,156.230.189.126,8080,http://156.230.189.126:8080,transparent,false,2693,3020.5,17.5,17.5,103,156.230.189.126,1,id,Jakarta,Jakarta,Asia/Jakarta,63859,PT. Eka Mas Republik,13,2026-09-17T03:30:49.935Z,2026-09-19T04:30:39.626Z
http,160.20.39.23,8090,http://160.20.39.23:8090,anonymous,false,6008,5242.5,24.6,16.9,403,160.20.39.93,1,id,West Java,Indramayu,Asia/Jakarta,152767,PT SAMUDRA DIGITAL NETWORK,16,2026-07-08T04:22:19.102Z,2026-09-19T04:27:49.168Z
http,82.41.42.17,8080,http://82.41.42.17:8080,anonymous,false,3051,3621.5,42.4,16.8,143,140.213.200.174,1,id,Riau,Pekanbaru,Asia/Jakarta,139994,PT XL Axiata Tbk,11,2026-08-26T21:14:29.505Z,2026-09-19T04:28:50.929Z
http,103.171.255.178,8080,http://103.171.255.178:8080,transparent,false,2811,2633.5,27.7,16.6,283,103.171.255.178,1,id,Yogyakarta,Godean,Asia/Jakarta,142399,PT Zona Kolektif Indonesia,21,2025-09-05T23:19:56.164Z,2026-09-19T04:27:18.593Z
http,116.68.162.174,8080,http://116.68.162.174:8080,transparent,false,3890,5000.5,15.1,16.5,345,116.68.162.174,1,id,East Java,Kediri,Asia/Jakarta,56246,PT Sumber Data Indonesia,23,2026-09-11T02:56:17.094Z,2026-09-19T04:29:40.677Z
