protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,45.74.31.25,4645,socks5://45.74.31.25:4645,elite,true,3755,4287,47.4,31.1,190,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,15,2026-09-20T03:49:39.093Z,2026-09-26T04:27:30.271Z
socks5,45.74.31.40,15165,socks5://45.74.31.40:15165,elite,true,904,904,100,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,1,2026-09-26T03:46:32.005Z,2026-09-26T04:25:58.971Z
socks5,45.74.31.47,9633,socks5://45.74.31.47:9633,elite,true,939,939,100,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,1,2026-09-26T03:46:32.005Z,2026-09-26T04:28:35.987Z
socks5,45.74.31.47,5931,socks5://45.74.31.47:5931,elite,true,1013,1013,100,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,1,2026-09-26T03:46:32.005Z,2026-09-26T04:28:58.806Z
socks5,45.74.31.40,11347,socks5://45.74.31.40:11347,elite,true,1111,1111,60,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,1,2026-09-26T03:46:32.005Z,2026-09-26T04:31:32.414Z
socks5,45.74.31.47,5617,socks5://45.74.31.47:5617,elite,true,1163,910,100,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,1,2026-09-26T03:46:32.005Z,2026-09-26T04:26:06.939Z
socks5,45.74.31.22,7383,socks5://45.74.31.22:7383,elite,true,1321,1321,60,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,2,2026-09-26T03:46:29.417Z,2026-09-26T04:28:01.484Z
socks5,45.74.31.40,15830,socks5://45.74.31.40:15830,elite,true,1346,1346,100,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,1,2026-09-26T03:46:32.005Z,2026-09-26T04:27:55.119Z
socks5,45.74.31.40,7070,socks5://45.74.31.40:7070,elite,true,1433,969,60,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,1,2026-09-26T03:46:32.005Z,2026-09-26T04:30:21.679Z
socks5,45.74.31.47,6061,socks5://45.74.31.47:6061,elite,true,1956,951.5,80,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,1,2026-09-26T03:46:32.005Z,2026-09-26T04:27:54.080Z
socks5,45.74.31.47,6004,socks5://45.74.31.47:6004,elite,true,2861,1178,100,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,1,2026-09-26T03:46:32.005Z,2026-09-26T04:27:54.603Z
socks5,45.74.31.50,5553,socks5://45.74.31.50:5553,elite,true,4406,1900,100,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,1,2026-09-26T03:46:32.005Z,2026-09-26T04:26:58.403Z
socks5,45.74.31.47,5918,socks5://45.74.31.47:5918,elite,true,8853,2183,100,,5,62.219.91.13,13,il,Tel Aviv,Tel Aviv,Asia/Jerusalem,8551,Bezeq International Ltd.,2,2026-09-26T03:46:29.417Z,2026-09-26T04:27:33.413Z
