protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,103.155.130.90,1080,socks4://103.155.130.90:1080,elite,false,2129,3128,78.8,73,652,103.155.130.90,1,in,Maharashtra,Mumbai,Asia/Kolkata,141480,Haash Media,11,2026-08-14T03:14:05.900Z,2026-09-18T04:30:59.793Z
socks4,103.80.168.9,1080,socks4://103.80.168.9:1080,elite,false,1094,1613.5,78.2,70.1,920,103.80.168.9,1,in,Maharashtra,Mumbai,Asia/Kolkata,150657,Comnet Online Private Limited,14,2026-08-09T13:14:01.624Z,2026-09-18T04:26:50.180Z
socks4,103.53.110.45,10801,socks4://103.53.110.45:10801,elite,false,1371,1851.5,74.8,65.3,648,103.53.110.45,1,in,Haryana,Sonīpat,Asia/Kolkata,133970,Tycoon Computers Pvt. Ltd.,11,2025-09-04T23:49:00.247Z,2026-09-18T04:31:31.514Z
socks4,103.143.8.126,51951,socks4://103.143.8.126:51951,elite,false,2115,1139.5,78.1,62.3,832,103.143.8.126,1,in,Maharashtra,Mumbai,Asia/Kolkata,138296,Juweriyah Networks Private Limited,12,2025-09-04T23:49:14.489Z,2026-09-18T04:23:51.177Z
socks4,103.38.183.18,1088,socks4://103.38.183.18:1088,elite,false,8584,4500.5,59.4,61.7,666,103.38.183.18,1,in,Delhi,Delhi,Asia/Kolkata,140171,Reis Network Solutions,11,2026-02-26T10:17:12.516Z,2026-09-18T04:25:26.198Z
socks4,49.207.177.65,5678,socks4://49.207.177.65:5678,elite,false,8277,5214.5,65.8,60.3,859,49.207.177.65,1,in,Tamil Nadu,Chennai,Asia/Kolkata,24309,Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA,11,2025-09-05T20:06:37.007Z,2026-09-18T04:26:09.162Z
socks4,103.37.82.134,39873,socks4://103.37.82.134:39873,elite,false,1269,4268,58.4,59.4,869,103.37.82.134,1,in,Delhi,Delhi,Asia/Kolkata,133278,Dehradun Enet Solutions Private Ltd,12,2025-09-04T23:48:54.140Z,2026-09-18T04:25:55.546Z
socks4,103.97.94.22,4153,socks4://103.97.94.22:4153,elite,false,2320,2305,66.7,59.4,875,103.97.94.22,1,in,Maharashtra,Mumbai,Asia/Kolkata,134053,ETHERNET XPRESS PVT. LTD.,12,2025-09-04T23:48:54.022Z,2026-09-18T04:28:05.031Z
socks4,210.16.86.105,5678,socks4://210.16.86.105:5678,elite,false,2354,2353.5,68.4,55.8,837,210.16.86.105,1,in,Tamil Nadu,Tiruchirappalli,Asia/Kolkata,134877,Sri Vari Network Private Limited,11,2025-09-07T19:01:46.704Z,2026-09-18T04:24:21.632Z
socks4,103.70.145.139,5678,socks4://103.70.145.139:5678,elite,false,1389,1867.5,69.9,55.4,807,103.70.145.139,1,in,Uttar Pradesh,Mathura,Asia/Kolkata,153252,ELXIRE,1,2026-03-17T17:23:30.297Z,2026-09-18T04:31:04.061Z
socks4,103.143.214.77,5678,socks4://103.143.214.77:5678,elite,false,1336,1834,64.2,55.3,832,103.143.214.77,1,in,Tamil Nadu,Salem,Asia/Kolkata,137620,Pink Broadband Service Pvt Ltd,11,2025-09-05T20:06:30.610Z,2026-09-18T04:29:03.645Z
socks4,43.230.196.98,48200,socks4://43.230.196.98:48200,elite,false,1383,1904.5,52.6,53.5,819,43.230.196.98,1,in,Uttar Pradesh,Greater Noida,Asia/Kolkata,133676,Precious netcom pvt ltd,1,2026-03-17T17:23:30.939Z,2026-09-18T04:23:45.876Z
