protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,194.31.108.109,2080,socks4://194.31.108.109:2080,elite,false,998,1043.5,91.2,88.3,919,194.31.108.109,2,ir,Tehran,Tehran,Asia/Tehran,209783,Avaye Segal Net Co. PJS,21,2026-08-30T21:04:59.157Z,2026-09-21T04:24:53.993Z
http,194.31.108.109,2080,http://194.31.108.109:2080,elite,true,3855,3199,88.1,85.1,886,194.31.108.109,2,ir,Tehran,Tehran,Asia/Tehran,209783,Avaye Segal Net Co. PJS,23,2026-08-30T19:04:24.455Z,2026-09-21T04:24:24.316Z
socks4,81.29.249.82,5071,socks4://81.29.249.82:5071,elite,false,3805,1466,79.6,82.9,853,81.29.249.82,1,ir,Tehran,Tehran,Asia/Tehran,206065,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,18,2026-09-11T17:03:58.761Z,2026-09-21T04:30:40.257Z
http,185.88.177.40,80,http://185.88.177.40:80,elite,false,920,956.5,68,62.8,698,185.88.177.40,1,ir,Tehran,Tehran,Asia/Tehran,201691,Fannavari Etelaate Samane Kavoshgar Ide Ltd.,17,2025-12-07T12:12:43.760Z,2026-09-21T04:30:45.476Z
socks4,78.38.67.210,3636,socks4://78.38.67.210:3636,elite,false,970,1077,82.3,55.5,694,78.38.67.210,1,ir,Tehran,Tehran,Asia/Tehran,58224,Iran Telecommunication Company PJS,12,2025-09-04T23:49:11.801Z,2026-09-21T04:22:35.700Z
http,85.133.190.40,8097,http://85.133.190.40:8097,transparent,true,5035,3735,42.1,36.1,610,85.133.190.40,1,ir,Tehran,Tehran,Asia/Tehran,39074,Sepanta Communication Development Co. Ltd,19,2026-07-04T16:37:33.911Z,2026-09-21T04:23:06.441Z
http,185.155.15.199,8080,http://185.155.15.199:8080,transparent,true,1010,3140,46,35.8,257,185.155.15.199,1,ir,Tehran,Tehran,Asia/Tehran,206388,Gostaresh Ertebat Azin Kia Company PJSC,10,2026-08-22T04:13:49.304Z,2026-09-21T04:29:38.129Z
http,46.28.74.98,3128,http://46.28.74.98:3128,transparent,false,1179,1170,26.7,27.2,459,46.28.74.98,1,ir,Tehran,Tehran,Asia/Tehran,44285,Sefroyek Pardaz Engineering PJSC,21,2026-09-07T01:20:44.678Z,2026-09-21T04:25:02.865Z
http,81.12.89.74,8080,http://81.12.89.74:8080,transparent,true,7279,3714.5,37.7,25.7,323,81.12.89.74,1,ir,Tehran,Tehran,Asia/Tehran,42337,Respina Networks & Beyond PJSC,13,2026-07-03T07:19:32.460Z,2026-09-21T04:30:47.590Z
http,185.95.152.38,8080,http://185.95.152.38:8080,transparent,true,4020,4213.5,20,15.8,171,185.95.152.38,1,ir,Bushehr,Nakhl-e Taqī,Asia/Tehran,200796,Data Pardaz Afraz Private Joint Stock Company,15,2026-08-15T21:37:15.904Z,2026-09-21T04:28:03.955Z
