protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,87.121.148.126,49200,http://87.121.148.126:49200,elite,false,548,565,80.7,72.4,492,87.121.148.126,1,it,Lombardy,Brescia,Europe/Rome,210218,Open Fiber S.P.A.,9,2025-10-16T01:51:36.355Z,2026-09-25T04:27:18.999Z
socks4,185.62.48.126,5678,socks4://185.62.48.126:5678,elite,false,3435,3935.5,58.9,63.5,603,185.62.48.126,1,it,Molise,Isernia,Europe/Rome,201847,Elektronica Sistemi Di Muro Mauro E Turcinovic Walter S.n.c.,20,2026-09-18T08:46:12.830Z,2026-09-25T04:21:18.114Z
socks4,91.192.25.37,80,socks4://91.192.25.37:80,elite,true,1860,881.5,55.8,51.3,628,91.192.25.37,1,it,Tuscany,Terranuova Bracciolini,Europe/Rome,200100,T&T Tecnologie e Telecomunicazioni Srl,14,2026-08-28T21:39:30.441Z,2026-09-25T04:23:10.955Z
socks5,109.73.181.233,7080,socks5://109.73.181.233:7080,elite,false,2258,2325.5,56.1,47.6,576,109.73.181.233,1,it,Molise,Termoli,Europe/Rome,49924,NETFREE S.R.L.S.,20,2026-09-16T03:18:09.454Z,2026-09-25T04:24:58.831Z
socks4,91.192.25.158,4145,socks4://91.192.25.158:4145,elite,true,2612,2383,50.4,39.5,507,91.192.25.158,1,it,Tuscany,Terranuova Bracciolini,Europe/Rome,200100,T&T Tecnologie e Telecomunicazioni Srl,13,2025-09-04T23:02:48.083Z,2026-09-25T04:29:45.188Z
socks4,109.70.206.178,5678,socks4://109.70.206.178:5678,elite,false,7839,1625,36.1,39.2,370,109.70.206.178,1,it,Lombardy,Milan,Europe/Rome,49979,LA Wireless Srl,19,2026-09-19T19:45:27.912Z,2026-09-25T04:23:08.344Z
socks4,212.43.119.1,1080,socks4://212.43.119.1:1080,elite,false,7961,2724.5,17.5,20.4,333,212.43.119.1,1,it,Abruzzo,Pescara,Europe/Rome,21034,Micso Information Technology Srl,17,2026-07-05T18:51:25.380Z,2026-09-25T04:25:01.452Z
http,93.187.25.12,58080,http://93.187.25.12:58080,transparent,false,9360,3977.5,17.8,16.5,279,93.187.25.12,1,it,Tuscany,Siena,Europe/Rome,43960,Consorzio Terrecablate,25,2026-06-17T15:58:14.889Z,2026-09-25T04:21:13.814Z
http,79.54.119.155,8080,http://79.54.119.155:8080,transparent,false,4768,4706,12,9.8,173,79.54.119.155,1,it,Tuscany,Prato,Europe/Rome,3269,Telecom Italia S.p.A.,19,2026-08-12T05:49:53.801Z,2026-09-25T04:21:01.781Z
http,174.138.161.189,20931,http://174.138.161.189:20931,elite,true,5985,1753,20,,35,187.15.131.193,1,it,Lombardy,Milan,Europe/Rome,212238,Datacamp Limited,1,2026-09-24T19:29:27.076Z,2026-09-25T04:25:10.330Z
