protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,45.146.163.31,80,http://45.146.163.31:80,elite,false,626,624,100,100,1010,45.146.163.31,1,jp,Tokyo,Tokyo,Asia/Tokyo,38136,Akari Networks,17,2025-09-06T05:34:51.856Z,2026-09-21T04:29:09.818Z
http,8.209.255.13,3128,http://8.209.255.13:3128,transparent,false,636,642.5,100,99.4,1002,8.209.255.13,1,jp,Tokyo,Tokyo,Asia/Tokyo,45102,"Alibaba (US) Technology Co., Ltd.",19,2025-09-06T12:38:44.906Z,2026-09-21T04:29:01.865Z
socks4,103.75.118.84,1080,socks4://103.75.118.84:1080,elite,false,914,914.5,96.1,95.7,952,103.75.118.84,2,jp,Tokyo,Tokyo,Asia/Tokyo,136258,"BrainStorm Network, Inc",1,2026-03-17T17:23:30.803Z,2026-09-21T04:25:27.159Z
socks5,103.75.118.84,1080,socks5://103.75.118.84:1080,elite,true,1031,1083,95.3,95.4,952,103.75.118.84,2,jp,Tokyo,Tokyo,Asia/Tokyo,136258,"BrainStorm Network, Inc",15,2026-02-28T05:40:22.467Z,2026-09-21T04:28:54.523Z
socks5,101.36.104.239,10808,socks5://101.36.104.239:10808,elite,true,1488,1270.5,93.6,94.5,932,101.36.104.239,1,jp,Tokyo,Tokyo,Asia/Tokyo,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,17,2026-03-21T08:09:48.039Z,2026-09-21T04:27:08.043Z
socks5,101.36.104.46,10808,socks5://101.36.104.46:10808,elite,false,3754,1162,93.4,93,925,101.36.104.46,1,jp,Tokyo,Tokyo,Asia/Tokyo,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,17,2026-03-22T05:21:02.311Z,2026-09-21T04:23:04.352Z
http,172.237.11.129,3128,http://172.237.11.129:3128,elite,false,3675,3193.5,83.2,73.4,826,172.237.11.129,1,jp,Tokyo,Tokyo,Asia/Tokyo,63949,Akamai Connected Cloud,17,2026-09-07T21:31:39.933Z,2026-09-21T04:29:15.134Z
socks4,205.177.85.130,39593,socks4://205.177.85.130:39593,elite,false,776,2803.5,70,60.8,752,205.177.85.130,1,jp,Tokyo,Tokyo,Asia/Tokyo,63199,"CDS Global Cloud Co., Ltd",13,2025-09-04T23:48:53.699Z,2026-09-21T04:28:04.994Z
http,140.238.32.108,3128,http://140.238.32.108:3128,elite,true,646,646,79.8,54.7,556,140.238.32.108,1,jp,Tokyo,Tokyo,Asia/Tokyo,31898,Oracle Corporation,21,2026-07-05T22:00:26.420Z,2026-09-21T04:26:11.675Z
http,160.248.7.177,80,http://160.248.7.177:80,elite,false,1604,1607,72,48.2,695,160.248.7.177,1,jp,Kanagawa,Yokohama,Asia/Tokyo,2514,"NTT PC Communications, Inc.",18,2025-09-10T22:05:25.259Z,2026-09-21T04:32:11.935Z
http,34.84.162.206,38080,http://34.84.162.206:38080,elite,true,770,1143.5,41.8,38.3,115,34.84.162.206,1,jp,Tokyo,Tokyo,Asia/Tokyo,396982,Google LLC,21,2026-05-18T15:43:13.926Z,2026-09-21T04:25:49.096Z
http,151.243.153.157,8118,http://151.243.153.157:8118,elite,false,7267,1019.5,46.4,29.5,444,151.243.153.157,1,jp,Tokyo,Tokyo,Asia/Tokyo,400506,Black Apple,22,2026-06-06T22:41:19.122Z,2026-09-21T04:29:20.680Z
