protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,43.167.166.56,1080,socks5://43.167.166.56:1080,elite,true,822,799.5,98.6,97.3,328,43.167.166.56,1,jp,Tokyo,Tokyo,Asia/Tokyo,132203,"Tencent Building, Kejizhongyi Avenue",13,2026-09-23T21:17:51.043Z,2026-09-26T04:25:49.426Z
socks5,103.75.118.84,1080,socks5://103.75.118.84:1080,elite,true,1129,1117,94.4,94.9,944,103.75.118.84,2,jp,Tokyo,Tokyo,Asia/Tokyo,136258,"BrainStorm Network, Inc",17,2026-02-28T05:40:22.467Z,2026-09-26T04:28:08.929Z
socks5,101.36.104.239,10808,socks5://101.36.104.239:10808,elite,true,1797,946.5,95.1,93.8,924,101.36.104.239,1,jp,Tokyo,Tokyo,Asia/Tokyo,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,18,2026-03-21T08:09:48.039Z,2026-09-26T04:29:53.427Z
socks5,101.36.104.46,10808,socks5://101.36.104.46:10808,elite,true,998,893.5,93.7,93.4,925,101.36.104.46,1,jp,Tokyo,Tokyo,Asia/Tokyo,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,18,2026-03-22T05:21:02.311Z,2026-09-26T04:27:42.397Z
socks5,45.32.47.208,1080,socks5://45.32.47.208:1080,elite,true,8926,1245,81.6,81.1,333,45.32.47.208,1,jp,Tokyo,Ebara,Asia/Tokyo,20473,"The Constant Company, LLC",13,2026-09-23T20:17:19.325Z,2026-09-26T04:30:08.314Z
socks5,34.84.162.206,38081,socks5://34.84.162.206:38081,elite,true,1121,1246.5,54.7,60.2,724,34.84.162.206,1,jp,Tokyo,Tokyo,Asia/Tokyo,396982,Google LLC,20,2026-05-16T14:14:23.266Z,2026-09-26T04:26:14.948Z
socks5,191.223.220.23,1080,socks5://191.223.220.23:1080,elite,true,875,861,50.7,43.2,597,191.223.220.23,1,jp,Tokyo,Tokyo,Asia/Tokyo,906,DMIT Cloud Services,20,2026-08-01T14:33:19.175Z,2026-09-26T04:27:23.829Z
socks5,172.105.192.212,9080,socks5://172.105.192.212:9080,elite,false,923,934.5,32.7,41.7,583,172.105.192.212,1,jp,Tokyo,Tokyo,Asia/Tokyo,63949,Akamai Connected Cloud,19,2026-05-03T10:19:58.258Z,2026-09-26T04:25:14.447Z
socks5,108.61.160.231,1080,socks5://108.61.160.231:1080,elite,false,3921,1979,42.9,35.7,484,108.61.160.231,2,jp,Tokyo,Ebara,Asia/Tokyo,20473,"The Constant Company, LLC",18,2026-09-14T07:36:38.615Z,2026-09-26T04:25:19.225Z
socks5,1.197.249.24,10808,socks5://1.197.249.24:10808,elite,true,6550,5690,25.2,28.2,255,203.10.99.42,1,jp,Tokyo,Tokyo,Asia/Tokyo,137409,GSL Networks Pty LTD,14,2026-09-23T14:14:09.056Z,2026-09-26T04:26:40.893Z
socks5,111.119.162.248,10957,socks5://111.119.162.248:10957,elite,false,2543,1945.5,40.3,27.4,226,8.216.20.251,2,jp,Tokyo,Tokyo,Asia/Tokyo,45102,"Alibaba (US) Technology Co., Ltd.",15,2026-08-15T15:31:42.338Z,2026-09-26T04:29:48.669Z
socks5,132.145.125.61,1080,socks5://132.145.125.61:1080,elite,true,947,965.5,90.9,15.5,84,132.145.125.61,1,jp,Chiba,Inzai,Asia/Tokyo,31898,Oracle Corporation,13,2025-09-07T04:47:11.540Z,2026-09-26T04:24:55.381Z
