protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,175.100.37.171,1080,socks4://175.100.37.171:1080,elite,true,1485,1558.5,68.9,59.9,496,175.100.37.171,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,38623,ISP/IXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.,14,2026-05-31T11:18:36.522Z,2026-09-25T04:28:31.253Z
socks5,119.15.85.94,1080,socks5://119.15.85.94:1080,elite,false,2174,2503,55.8,58.1,472,119.15.85.94,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,24492,WiCAM Corporation Ltd.,18,2026-09-20T05:50:47.713Z,2026-09-25T04:25:26.509Z
socks5,220.158.232.118,1080,socks5://220.158.232.118:1080,elite,true,3309,3358.5,59.1,56,632,220.158.232.118,1,kh,Kampong Thom,Phumĭ Nĭpéch,Asia/Phnom_Penh,38623,ISP/IXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.,19,2026-06-04T12:15:02.519Z,2026-09-25T04:25:13.464Z
socks4,36.37.244.41,5678,socks4://36.37.244.41:5678,elite,false,4333,2372.5,61,52.4,614,36.37.244.41,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,38623,ISP/IXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.,14,2025-09-04T23:49:01.333Z,2026-09-25T04:23:35.562Z
socks4,202.84.76.190,5678,socks4://202.84.76.190:5678,elite,true,8391,3258,56.6,50.6,551,202.84.76.190,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,24441,"CityLink Corporation, LTD",13,2025-09-04T23:49:05.924Z,2026-09-25T04:27:51.298Z
socks4,96.9.88.130,4153,socks4://96.9.88.130:4153,elite,false,8510,2633,35,49.7,483,96.9.88.130,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,131207,"SINET, Cambodia's specialist Internet and Telecom Service Provider.",13,2026-07-05T13:46:46.428Z,2026-09-25T04:31:20.196Z
socks4,203.189.159.241,1080,socks4://203.189.159.241:1080,elite,true,4403,4397.5,53,48.3,571,203.189.159.241,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",1,2026-03-17T17:23:30.518Z,2026-09-25T04:24:45.165Z
socks5,203.189.135.73,1080,socks5://203.189.135.73:1080,elite,true,4069,3564.5,51.5,47.9,453,203.189.135.73,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",17,2025-12-20T12:32:29.572Z,2026-09-25T04:30:39.014Z
http,49.156.44.115,8080,http://49.156.44.115:8080,transparent,true,948,4892,30.8,46.9,271,49.156.44.115,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,24492,WiCAM Corporation Ltd.,16,2025-09-15T10:27:03.073Z,2026-09-25T04:25:27.032Z
socks5,124.248.191.83,1080,socks5://124.248.191.83:1080,elite,false,8986,3929.5,48.9,37.8,524,124.248.191.83,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",17,2025-12-23T16:13:57.292Z,2026-09-25T04:29:05.165Z
socks5,103.239.52.100,1080,socks5://103.239.52.100:1080,elite,false,1643,2953.5,50,35.2,463,103.239.52.100,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",17,2026-02-18T02:31:03.551Z,2026-09-25T04:30:53.967Z
socks5,124.248.177.44,1080,socks5://124.248.177.44:1080,elite,true,2529,3897,25.3,30.3,379,124.248.177.44,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",18,2025-12-24T07:21:56.246Z,2026-09-25T04:27:36.165Z
http,116.212.149.218,8080,http://116.212.149.218:8080,transparent,true,1005,2778,32.7,26,177,116.212.149.218,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,38235,ANGKOR DATA COMMUNICATION,22,2025-09-05T00:24:10.900Z,2026-09-25T04:31:17.586Z
socks5,202.62.54.146,1080,socks5://202.62.54.146:1080,elite,false,2878,4806.5,42.2,25.5,243,202.62.54.146,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",18,2026-09-02T23:43:40.432Z,2026-09-25T04:28:16.184Z
socks4,202.178.114.61,4145,socks4://202.178.114.61:4145,elite,false,1268,3292,27,25.1,299,202.178.114.61,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,38235,ANGKOR DATA COMMUNICATION,10,2025-10-02T01:48:48.865Z,2026-09-25T04:22:16.010Z
socks5,110.235.240.223,1080,socks5://110.235.240.223:1080,elite,false,8891,2845.5,33.3,24.7,413,110.235.240.223,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",17,2025-12-23T14:37:51.349Z,2026-09-25T04:30:34.318Z
socks5,203.189.135.105,1080,socks5://203.189.135.105:1080,elite,true,2861,2979,20.7,22.8,400,203.189.135.105,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",17,2025-12-20T01:26:33.574Z,2026-09-25T04:22:53.697Z
socks5,63.250.42.104,1082,socks5://63.250.42.104:1082,elite,true,4035,4795,66.7,,7,96.9.67.234,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,131207,"SINET, Cambodia's specialist Internet and Telecom Service Provider.",4,2026-09-16T10:21:47.323Z,2026-09-25T04:28:28.131Z
