protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,203.189.150.44,1080,socks5://203.189.150.44:1080,elite,true,2849,3063.5,39.4,42.3,640,203.189.150.44,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",16,2025-12-20T01:26:33.364Z,2026-09-20T04:22:06.256Z
socks5,43.230.192.242,1080,socks5://43.230.192.242:1080,elite,true,1949,2428.5,44.8,39.2,421,43.230.192.242,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",15,2026-03-04T15:36:39.565Z,2026-09-20T04:23:48.357Z
socks5,202.62.52.120,1080,socks5://202.62.52.120:1080,elite,false,9252,2770,38.8,36.9,490,202.62.52.120,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",16,2026-01-16T04:30:56.171Z,2026-09-20T04:20:19.286Z
socks5,103.206.68.241,1080,socks5://103.206.68.241:1080,elite,true,9050,2938,54.1,36.8,579,103.206.68.241,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",16,2026-02-16T09:09:02.143Z,2026-09-20T04:25:48.106Z
socks5,103.197.241.209,1080,socks5://103.197.241.209:1080,elite,true,3846,3332.5,41,35.3,538,103.197.241.209,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",16,2026-03-24T10:49:31.431Z,2026-09-20T04:28:35.930Z
socks5,203.189.135.105,1080,socks5://203.189.135.105:1080,elite,false,2905,3512,19.6,33.3,577,203.189.135.105,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",16,2025-12-20T01:26:33.574Z,2026-09-20T04:18:59.578Z
socks5,43.230.193.154,1080,socks5://43.230.193.154:1080,elite,true,5027,3213,33.9,32.8,601,43.230.193.154,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",16,2026-03-04T08:32:52.949Z,2026-09-20T04:22:27.365Z
socks5,124.248.177.44,1080,socks5://124.248.177.44:1080,elite,true,4814,2776.5,47.1,30.2,473,124.248.177.44,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",16,2025-12-24T07:21:56.246Z,2026-09-20T04:22:27.899Z
socks5,110.235.252.74,1080,socks5://110.235.252.74:1080,elite,false,4668,3632,23.9,30.1,478,110.235.252.74,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",15,2025-12-23T19:15:34.569Z,2026-09-20T04:23:43.038Z
socks5,202.62.52.20,1080,socks5://202.62.52.20:1080,elite,false,4872,3309,30.4,27.7,502,202.62.52.20,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",16,2025-12-23T05:07:57.890Z,2026-09-20T04:23:26.086Z
socks5,203.189.135.73,1080,socks5://203.189.135.73:1080,elite,true,1752,2520,65.6,22.8,114,203.189.135.73,1,kh,Phnom Penh,Phnom Penh,Asia/Phnom_Penh,23673,"Cogetel Online, Cambodia, ISP",16,2025-12-20T12:32:29.572Z,2026-09-20T04:23:55.214Z
