protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,140.238.14.161,8080,http://140.238.14.161:8080,transparent,false,790,796.5,100,100,1005,140.238.14.161,1,kr,Seoul,Seoul,Asia/Seoul,31898,Oracle Corporation,18,2026-09-06T11:13:08.921Z,2026-09-17T22:35:13.786Z
socks5,150.109.247.86,8443,socks5://150.109.247.86:8443,elite,true,1127,1091,100,100,65,150.109.247.86,3,kr,Seoul,Seoul,Asia/Seoul,132203,"Tencent Building, Kejizhongyi Avenue",4,2026-08-21T09:05:16.715Z,2026-09-17T22:30:43.942Z
http,1.231.81.166,3128,http://1.231.81.166:3128,transparent,true,700,720,99.3,99.6,1000,1.231.81.166,1,kr,Seoul,Seoul,Asia/Seoul,9318,SK Broadband Co Ltd,23,2026-03-06T12:01:05.611Z,2026-09-17T22:36:50.768Z
http,8.213.151.128,3128,http://8.213.151.128:3128,transparent,false,869,849,100,99.6,1000,8.213.151.128,1,kr,Seoul,Seoul,Asia/Seoul,45102,"Alibaba (US) Technology Co., Ltd.",1,2026-03-17T17:23:32.087Z,2026-09-17T22:37:07.761Z
socks4,202.141.161.52,10808,socks4://202.141.161.52:10808,elite,false,1343,1411,88.8,74,281,134.185.103.14,3,kr,Gangwon-do,Chuncheon,Asia/Seoul,31898,Oracle Corporation,10,2026-09-14T10:38:27.620Z,2026-09-17T22:37:48.594Z
http,202.141.161.52,10808,http://202.141.161.52:10808,elite,true,1977,1492,89.8,74,281,134.185.103.14,3,kr,Gangwon-do,Chuncheon,Asia/Seoul,31898,Oracle Corporation,19,2026-09-14T10:38:26.267Z,2026-09-17T22:34:27.871Z
socks5,202.141.161.52,10808,socks5://202.141.161.52:10808,elite,true,1693,1713.5,86.5,73.6,284,134.185.103.14,3,kr,Gangwon-do,Chuncheon,Asia/Seoul,31898,Oracle Corporation,13,2026-09-14T10:38:19.266Z,2026-09-17T22:28:51.431Z
socks5,121.169.46.116,1090,socks5://121.169.46.116:1090,elite,true,3683,3345,82.4,72,937,121.169.46.116,1,kr,Gyeonggi-do,Osan,Asia/Seoul,4766,Korea Telecom,20,2025-09-04T23:50:06.749Z,2026-09-17T22:36:58.003Z
socks4,175.203.138.160,5678,socks4://175.203.138.160:5678,elite,false,2012,1505.5,69.8,65.6,896,175.203.138.160,1,kr,Chungcheongnam-do,Yesan,Asia/Seoul,4766,Korea Telecom,12,2025-09-04T23:49:12.526Z,2026-09-17T22:30:54.226Z
http,183.110.216.128,8090,http://183.110.216.128:8090,anonymous,false,3770,1776,36.5,65.3,870,183.110.216.129,3,kr,Seoul,Seoul,Asia/Seoul,4766,Korea Telecom,1,2026-03-17T17:23:33.154Z,2026-09-17T22:32:35.328Z
http,183.110.216.128,8091,http://183.110.216.128:8091,anonymous,false,3868,928,44.4,61.3,882,183.110.216.129,3,kr,Seoul,Seoul,Asia/Seoul,4766,Korea Telecom,15,2025-11-26T06:00:22.182Z,2026-09-17T22:36:41.494Z
http,183.110.216.159,8090,http://183.110.216.159:8090,anonymous,false,3963,3783,45.5,59.2,853,183.110.216.129,3,kr,Seoul,Seoul,Asia/Seoul,4766,Korea Telecom,1,2026-03-17T17:23:33.489Z,2026-09-17T22:28:58.712Z
http,112.216.54.226,12121,http://112.216.54.226:12121,elite,false,877,860,52.3,47.4,797,112.216.54.226,1,kr,Gyeonggi-do,Yangp'yŏng,Asia/Seoul,3786,LG DACOM Corporation,24,2026-08-13T08:04:48.871Z,2026-09-17T22:31:46.381Z
socks5,66.59.197.63,3128,socks5://66.59.197.63:3128,elite,false,1106,864,49.1,47.4,405,187.15.99.41,1,kr,Seoul,Seoul,Asia/Seoul,147049,PacketHub S.A.,16,2026-08-13T17:09:24.786Z,2026-09-17T22:34:27.357Z
http,146.56.110.131,8118,http://146.56.110.131:8118,elite,false,752,1050,26.4,20.4,93,146.56.110.131,1,kr,Gangwon-do,Chuncheon,Asia/Seoul,31898,Oracle Corporation,17,2026-04-06T07:34:30.632Z,2026-09-17T22:32:08.210Z
socks4,150.109.247.86,8443,socks4://150.109.247.86:8443,elite,false,892,903,97.4,,38,150.109.247.86,3,kr,Seoul,Seoul,Asia/Seoul,132203,"Tencent Building, Kejizhongyi Avenue",8,2026-08-21T10:02:58.834Z,2026-09-17T22:36:28.541Z
http,150.109.247.86,8889,http://150.109.247.86:8889,elite,true,1717,1456.5,44.8,,29,150.109.247.86,3,kr,Seoul,Seoul,Asia/Seoul,132203,"Tencent Building, Kejizhongyi Avenue",4,2026-08-21T19:09:13.699Z,2026-09-17T22:32:20.786Z
