protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,45.74.31.30,26049,socks5://45.74.31.30:26049,elite,true,4173,4040,36.1,48.7,302,217.64.102.75,6,ml,Bamako,Bamako,Africa/Bamako,21271,Society of Mali's Telecommunications (SOTELMA),8,2026-09-06T08:11:39.122Z,2026-09-26T04:30:54.627Z
socks5,45.74.31.42,6972,socks5://45.74.31.42:6972,elite,false,2668,4416,41.3,40,65,217.64.102.75,6,ml,Bamako,Bamako,Africa/Bamako,21271,Society of Mali's Telecommunications (SOTELMA),9,2026-09-23T09:11:29.962Z,2026-09-26T04:26:56.810Z
socks5,45.74.31.30,4135,socks5://45.74.31.30:4135,elite,true,5545,4346.5,59.5,25.2,147,197.155.134.251,5,ml,Bamako,Bamako,Africa/Bamako,30985,Orange Mali SA,15,2026-09-16T13:23:22.081Z,2026-09-26T04:25:36.156Z
socks5,45.74.31.23,11105,socks5://45.74.31.23:11105,elite,false,6714,4564.5,30.8,22,255,217.64.102.75,6,ml,Bamako,Bamako,Africa/Bamako,21271,Society of Mali's Telecommunications (SOTELMA),15,2026-09-19T06:38:30.511Z,2026-09-26T04:29:36.473Z
socks5,45.74.31.30,4442,socks5://45.74.31.30:4442,elite,false,9042,3071,29,20.5,176,197.155.134.251,5,ml,Bamako,Bamako,Africa/Bamako,30985,Orange Mali SA,15,2026-08-31T10:12:37.187Z,2026-09-26T04:26:01.625Z
socks5,45.74.31.23,10416,socks5://45.74.31.23:10416,elite,false,2704,3697,22.6,18.5,227,197.155.134.251,5,ml,Bamako,Bamako,Africa/Bamako,30985,Orange Mali SA,15,2026-09-19T04:37:26.707Z,2026-09-26T04:29:12.595Z
socks5,45.74.31.30,7598,socks5://45.74.31.30:7598,elite,false,6774,4542.5,33.3,14,86,197.155.134.251,5,ml,Bamako,Bamako,Africa/Bamako,30985,Orange Mali SA,16,2026-09-16T10:21:47.323Z,2026-09-26T04:26:58.945Z
socks5,45.74.31.30,24985,socks5://45.74.31.30:24985,elite,true,4899,4277,11.8,13.4,97,217.64.102.75,6,ml,Bamako,Bamako,Africa/Bamako,21271,Society of Mali's Telecommunications (SOTELMA),12,2026-09-05T06:58:12.635Z,2026-09-26T04:26:38.224Z
socks5,45.74.31.30,24829,socks5://45.74.31.30:24829,elite,false,7664,3895.5,60,11.3,71,217.64.102.75,6,ml,Bamako,Bamako,Africa/Bamako,21271,Society of Mali's Telecommunications (SOTELMA),13,2026-09-02T07:34:52.300Z,2026-09-26T04:23:32.901Z
socks5,45.74.31.30,4848,socks5://45.74.31.30:4848,elite,false,3635,3337,8.3,8.8,68,197.155.134.251,5,ml,Bamako,Bamako,Africa/Bamako,30985,Orange Mali SA,10,2026-09-12T10:12:45.605Z,2026-09-26T04:23:26.526Z
socks5,45.74.31.30,23316,socks5://45.74.31.30:23316,elite,false,2601,2901,18.2,,44,217.64.102.75,6,ml,Bamako,Bamako,Africa/Bamako,21271,Society of Mali's Telecommunications (SOTELMA),9,2026-09-06T11:12:55.092Z,2026-09-26T04:30:57.295Z
