protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,189.51.168.164,999,http://189.51.168.164:999,transparent,true,1311,588,99.3,97.7,999,189.51.168.164,1,mx,Yucatán,Mérida,America/Merida,270111,Comunicación por Fibra SA de CV,20,2026-08-28T17:37:16.004Z,2026-09-17T22:37:23.755Z
socks5,103.88.234.239,40011,socks5://103.88.234.239:40011,elite,true,447,335.5,96.5,96.5,57,104.28.193.187,3,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",10,2026-09-17T12:35:34.143Z,2026-09-17T22:34:46.605Z
socks5,103.88.234.239,40006,socks5://103.88.234.239:40006,elite,true,296,306.5,88.1,88.1,109,104.28.225.188,3,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",13,2026-09-17T03:30:48.634Z,2026-09-17T22:30:04.650Z
socks4,103.88.234.239,40006,socks4://103.88.234.239:40006,elite,false,243,259.5,87.4,87.4,87,104.28.225.188,3,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",14,2026-09-17T06:32:23.007Z,2026-09-17T22:27:33.308Z
http,103.88.234.239,40004,http://103.88.234.239:40004,elite,true,210,216,84.6,84.6,104,104.28.193.188,3,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",4,2026-09-17T03:30:44.651Z,2026-09-17T22:37:50.137Z
socks4,103.88.234.239,40004,socks4://103.88.234.239:40004,elite,false,254,278,84.5,84.5,103,104.28.193.188,3,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",11,2026-09-17T03:30:47.767Z,2026-09-17T22:33:20.324Z
socks5,103.88.234.239,40004,socks5://103.88.234.239:40004,elite,true,298,309,84.5,84.5,103,104.28.193.188,3,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",11,2026-09-17T03:30:48.634Z,2026-09-17T22:33:44.258Z
http,103.88.234.239,40006,http://103.88.234.239:40006,elite,true,252,236,81.3,81.3,80,104.28.225.188,3,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",5,2026-09-17T06:32:20.098Z,2026-09-17T22:27:56.920Z
http,103.88.234.239,40002,http://103.88.234.239:40002,elite,true,255,246.5,81,81,100,104.28.225.187,2,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",4,2026-09-17T03:30:46.282Z,2026-09-17T22:30:41.207Z
socks4,103.88.234.239,40002,socks4://103.88.234.239:40002,elite,false,256,300,80.4,80.4,102,104.28.225.187,2,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",10,2026-09-17T03:30:47.767Z,2026-09-17T22:29:18.442Z
socks5,103.88.234.239,40002,socks5://103.88.234.239:40002,elite,true,308,338,76.9,76.9,91,104.28.193.189,1,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",17,2026-09-17T04:31:19.103Z,2026-09-17T22:36:10.599Z
http,205.164.192.115,999,http://205.164.192.115:999,transparent,true,1505,2311.5,76.4,75.3,916,205.164.192.115,1,mx,Jalisco,Tototlán,America/Mexico_City,270207,MULTICARRIER JE S. DE R.L. DE C.V.,22,2025-12-31T09:17:29.379Z,2026-09-17T22:34:09.129Z
socks4,187.188.131.169,1080,socks4://187.188.131.169:1080,elite,false,1271,1280.5,82.1,69.1,887,187.188.131.169,1,mx,Mexico City,Mexico City,America/Mexico_City,22884,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",12,2025-09-04T23:49:01.151Z,2026-09-17T22:33:03.598Z
socks4,189.202.204.53,1080,socks4://189.202.204.53:1080,elite,false,1264,261,46.2,48,787,189.202.204.53,1,mx,Nuevo León,Monterrey,America/Monterrey,18734,"Operbes, S.A. de C.V.",19,2026-03-10T17:54:30.145Z,2026-09-17T22:35:47.476Z
socks4,170.81.141.254,61437,socks4://170.81.141.254:61437,elite,false,7348,2284.5,45.8,44.5,798,170.81.140.79,2,mx,Aguascalientes,Aguascalientes,America/Mexico_City,28418,NUEVA RED INTERNET DE MEXICO S DE RL DE CV,8,2025-09-04T23:49:08.371Z,2026-09-17T22:27:14.765Z
socks4,170.81.140.79,61437,socks4://170.81.140.79:61437,elite,false,1342,1315,51.9,44.2,684,170.81.140.79,2,mx,Aguascalientes,Aguascalientes,America/Mexico_City,28418,NUEVA RED INTERNET DE MEXICO S DE RL DE CV,11,2025-09-04T23:49:06.246Z,2026-09-17T22:33:40.987Z
socks4,111.119.162.248,10921,socks4://111.119.162.248:10921,elite,false,6810,4115,33.8,37.5,275,47.87.16.1,2,mx,Querétaro,Santiago de Querétaro,America/Mexico_City,45102,"Alibaba (US) Technology Co., Ltd.",17,2026-08-15T21:35:48.957Z,2026-09-17T22:35:39.221Z
http,187.251.224.167,8081,http://187.251.224.167:8081,transparent,true,2359,4050,21.3,27.2,589,187.251.224.167,1,mx,Guanajuato,León de los Aldama,America/Mexico_City,22884,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",12,2025-09-11T01:36:38.589Z,2026-09-17T22:26:55.261Z
http,111.119.162.248,10921,http://111.119.162.248:10921,elite,true,4969,3349,27.3,26.8,138,47.87.16.1,2,mx,Querétaro,Santiago de Querétaro,America/Mexico_City,45102,"Alibaba (US) Technology Co., Ltd.",16,2026-08-15T14:34:20.265Z,2026-09-17T22:35:10.674Z
http,187.190.114.40,999,http://187.190.114.40:999,transparent,false,5065,4763,29.1,25.2,535,187.190.114.40,1,mx,Veracruz,Poza Rica de Hidalgo,America/Mexico_City,22884,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",12,2026-05-04T06:34:56.587Z,2026-09-17T22:36:37.344Z
http,187.249.116.66,999,http://187.249.116.66:999,transparent,false,6777,4959,9.5,21.8,330,187.249.116.66,1,mx,Chiapas,Acala,America/Merida,32098,Transtelco Inc,19,2026-09-10T22:54:05.014Z,2026-09-17T22:32:22.386Z
http,45.174.175.26,999,http://45.174.175.26:999,transparent,false,1378,1296,25.3,21.3,441,45.174.175.26,1,mx,Tabasco,Comalcalco,America/Merida,28435,JAVIER TAMAYO GARCIA,14,2026-05-15T21:04:04.282Z,2026-09-17T22:32:23.445Z
http,38.210.179.36,999,http://38.210.179.36:999,transparent,true,2184,3141,24.4,18,233,38.210.179.230,1,mx,Hidalgo,Jacala,America/Mexico_City,272405,Jair Lozano,9,2026-07-01T11:56:11.536Z,2026-09-17T22:36:21.875Z
http,38.194.253.82,999,http://38.194.253.82:999,transparent,false,2784,3147.5,26.7,17.2,273,38.194.253.82,1,mx,Querétaro,Santiago de Querétaro,America/Mexico_City,28458,IENTC S DE RL DE CV,21,2026-09-03T15:53:37.485Z,2026-09-17T22:28:08.311Z
http,103.88.234.239,40011,http://103.88.234.239:40011,elite,true,211,229,83.3,,48,104.28.193.187,3,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",4,2026-09-17T12:35:30.318Z,2026-09-17T22:31:05.641Z
socks4,103.88.234.239,40011,socks4://103.88.234.239:40011,elite,false,243,308.5,89.8,,49,104.28.193.187,3,mx,Guanajuato,León de los Aldama,America/Mexico_City,13335,"Cloudflare, Inc.",2,2026-09-17T12:35:33.132Z,2026-09-17T22:37:39.309Z
