protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,189.51.168.165,999,http://189.51.168.165:999,transparent,true,304,310,99.3,99.9,664,189.51.168.165,1,mx,Yucatán,Mérida,America/Merida,270111,Comunicación por Fibra SA de CV,14,2026-09-08T11:38:37.489Z,2026-09-26T17:11:34.322Z
http,205.164.192.115,999,http://205.164.192.115:999,transparent,false,2480,3127,86.3,78.1,812,205.164.192.115,1,mx,Jalisco,Tototlán,America/Mexico_City,270207,MULTICARRIER JE S. DE R.L. DE C.V.,23,2025-12-31T09:17:29.379Z,2026-09-26T17:06:36.328Z
http,38.194.246.34,999,http://38.194.246.34:999,transparent,true,2407,2406,82,77.2,810,38.194.246.34,1,mx,Querétaro,Santiago de Querétaro,America/Mexico_City,28458,IENTC S DE RL DE CV,1,2026-03-17T17:23:31.933Z,2026-09-26T17:11:36.510Z
http,174.138.162.237,8254,http://174.138.162.237:8254,anonymous,false,2819,1857.5,72.3,73.6,159,177.238.23.161,1,mx,Oaxaca,Oaxaca,America/Mexico_City,28509,Cablemas Telecomunicaciones SA de CV,12,2026-05-14T22:47:12.073Z,2026-09-26T17:12:46.110Z
http,200.188.112.147,999,http://200.188.112.147:999,transparent,false,4620,4614.5,64,60.8,586,200.188.112.147,2,mx,Tabasco,Huimanguillo,America/Merida,11172,"Alestra, S. de R.L. de C.V.",12,2025-09-05T20:06:35.768Z,2026-09-26T17:12:18.628Z
http,174.138.162.234,8001,http://174.138.162.234:8001,anonymous,true,2666,1938,62.9,57.5,240,187.190.255.151,1,mx,Mexico City,Mexico City,America/Mexico_City,17072,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",12,2026-05-13T13:35:26.851Z,2026-09-26T17:13:26.030Z
http,200.188.112.146,999,http://200.188.112.146:999,transparent,false,1636,3525,45.5,55.6,552,200.188.112.147,2,mx,Tabasco,Huimanguillo,America/Merida,11172,"Alestra, S. de R.L. de C.V.",11,2025-09-05T20:06:34.385Z,2026-09-26T17:10:59.641Z
http,38.210.179.33,999,http://38.210.179.33:999,transparent,true,472,1062.5,31.5,40,562,38.210.179.199,1,mx,Hidalgo,Jacala,America/Mexico_City,272405,Jair Lozano,13,2026-03-09T22:45:05.584Z,2026-09-26T17:12:49.884Z
http,38.210.179.108,999,http://38.210.179.108:999,transparent,false,3276,3309,38.7,38,468,38.210.179.192,2,mx,Hidalgo,Jacala,America/Mexico_City,272405,Jair Lozano,13,2026-07-01T11:56:04.003Z,2026-09-26T17:10:55.248Z
http,38.19.111.74,8080,http://38.19.111.74:8080,transparent,false,1736,2099,43.1,37.5,566,38.19.111.74,1,mx,Puebla,Tehuacán,America/Mexico_City,273300,TECNOLOGIAS FEM,23,2026-06-19T21:29:11.315Z,2026-09-26T17:08:18.712Z
http,38.43.88.102,999,http://38.43.88.102:999,transparent,false,2169,3264.5,33,32.9,520,38.43.88.102,1,mx,Tabasco,Villahermosa,America/Merida,274404,GOTV,25,2026-07-04T11:32:59.379Z,2026-09-26T17:04:28.488Z
http,38.210.179.8,999,http://38.210.179.8:999,transparent,true,4526,2962,31.3,30.1,468,38.210.179.192,2,mx,Hidalgo,Jacala,America/Mexico_City,272405,Jair Lozano,13,2026-07-01T11:56:05.126Z,2026-09-26T17:13:13.485Z
http,131.196.246.4,999,http://131.196.246.4:999,transparent,true,355,2325.5,44.7,29.2,455,209.178.135.210,1,mx,Yucatán,Mérida,America/Merida,265561,LANTOINTERNET SA DE CV,12,2026-07-22T21:30:42.375Z,2026-09-26T17:08:57.893Z
http,38.210.179.65,999,http://38.210.179.65:999,transparent,true,288,3619.5,33,28.7,481,38.210.179.187,1,mx,Hidalgo,Jacala,America/Mexico_City,272405,Jair Lozano,14,2026-07-18T14:35:45.899Z,2026-09-26T17:11:30.573Z
http,38.45.249.30,999,http://38.45.249.30:999,transparent,true,3415,3500,36.1,27.7,440,38.45.249.30,1,mx,Querétaro,Santiago de Querétaro,America/Mexico_City,270209,JESUS MANUEL OLGUIN GUZMAN,12,2026-07-10T21:57:58.384Z,2026-09-26T17:08:55.176Z
http,45.188.125.235,9991,http://45.188.125.235:9991,transparent,false,1420,2484,31.9,24.9,385,45.188.125.235,1,mx,Tabasco,Jalpa de Méndez,America/Mexico_City,265606,DIGY NETWORKS,13,2026-06-02T20:53:04.931Z,2026-09-26T17:11:24.677Z
http,148.230.4.146,999,http://148.230.4.146:999,transparent,true,314,2893,31.8,24.6,411,148.230.4.149,1,mx,Puebla,Apapantilla,America/Mexico_City,265606,DIGY NETWORKS,11,2026-04-15T18:37:58.656Z,2026-09-26T17:12:10.031Z
