protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,219.93.101.63,80,http://219.93.101.63:80,anonymous,false,1133,1113,100,99.9,1001,60.53.60.240,3,my,Selangor,Shah Alam,Asia/Kuala_Lumpur,4788,TM TECHNOLOGY SERVICES SDN. BHD.,19,2025-09-10T21:05:05.517Z,2026-09-26T04:26:55.723Z
http,219.93.101.60,80,http://219.93.101.60:80,anonymous,false,1113,1110.5,99.3,99.8,998,60.53.60.240,3,my,Selangor,Shah Alam,Asia/Kuala_Lumpur,4788,TM TECHNOLOGY SERVICES SDN. BHD.,18,2025-09-10T21:05:05.504Z,2026-09-26T04:32:08.383Z
http,219.93.101.62,80,http://219.93.101.62:80,anonymous,false,1091,1123,99.3,99.7,1002,60.53.60.240,3,my,Selangor,Shah Alam,Asia/Kuala_Lumpur,4788,TM TECHNOLOGY SERVICES SDN. BHD.,17,2025-09-04T23:49:22.285Z,2026-09-26T04:32:18.036Z
http,175.139.233.76,80,http://175.139.233.76:80,anonymous,false,3195,3390.5,79.1,71,699,1.32.52.32,3,my,Sabah,Ranau,Asia/Kuching,4788,TM TECHNOLOGY SERVICES SDN. BHD.,11,2025-09-10T21:05:12.463Z,2026-09-26T04:26:26.078Z
http,175.139.233.79,80,http://175.139.233.79:80,anonymous,false,1290,4688.5,76.8,68.4,680,1.32.52.32,3,my,Sabah,Ranau,Asia/Kuching,4788,TM TECHNOLOGY SERVICES SDN. BHD.,8,2025-09-10T21:05:12.360Z,2026-09-26T04:22:58.078Z
http,175.139.233.78,80,http://175.139.233.78:80,anonymous,false,1598,4401,71.5,68.1,708,1.32.52.32,3,my,Sabah,Ranau,Asia/Kuching,4788,TM TECHNOLOGY SERVICES SDN. BHD.,5,2025-09-10T22:05:25.964Z,2026-09-26T04:22:55.347Z
socks4,103.1.105.10,4153,socks4://103.1.105.10:4153,elite,false,2389,2383,50,37.5,525,219.93.248.80,1,my,Perak,Bidur,Asia/Kuala_Lumpur,4788,TM TECHNOLOGY SERVICES SDN. BHD.,13,2025-09-05T20:06:27.398Z,2026-09-26T04:26:29.744Z
socks4,192.229.85.39,33142,socks4://192.229.85.39:33142,elite,false,9329,5982,36.4,35.9,78,192.229.85.39,1,my,Kuala Lumpur,Kuala Lumpur,Asia/Kuala_Lumpur,138995,Antbox Networks Limited,5,2026-08-05T04:19:20.809Z,2026-09-26T04:25:14.967Z
socks4,175.139.201.193,4153,socks4://175.139.201.193:4153,elite,true,1178,4360.5,39.8,35.1,525,175.139.201.193,1,my,Perak,Ipoh,Asia/Kuala_Lumpur,4788,TM TECHNOLOGY SERVICES SDN. BHD.,14,2025-09-04T23:49:05.970Z,2026-09-26T04:30:20.621Z
socks4,111.119.162.248,10942,socks4://111.119.162.248:10942,elite,true,1279,1807.5,31.8,35,320,47.250.100.4,2,my,Kuala Lumpur,Kuala Lumpur,Asia/Kuala_Lumpur,45102,"Alibaba (US) Technology Co., Ltd.",12,2026-08-15T21:35:48.096Z,2026-09-26T04:32:49.332Z
http,111.119.162.248,10942,http://111.119.162.248:10942,elite,true,1275,2053.5,33.7,34.7,372,47.250.100.4,2,my,Kuala Lumpur,Kuala Lumpur,Asia/Kuala_Lumpur,45102,"Alibaba (US) Technology Co., Ltd.",22,2026-08-15T21:35:51.322Z,2026-09-26T04:31:56.392Z
http,58.84.16.214,1231,http://58.84.16.214:1231,transparent,true,828,1858.5,31.4,31.5,428,58.84.16.214,1,my,Selangor,Sepang,Asia/Kuala_Lumpur,38182,Extreme Broadband - Total Broadband Experience,25,2025-09-05T00:23:35.837Z,2026-09-26T04:31:00.496Z
http,113.23.230.90,8080,http://113.23.230.90:8080,transparent,false,3881,3104,26.4,28.5,501,113.23.230.90,1,my,Johor,Johor Bahru,Asia/Kuala_Lumpur,38182,Extreme Broadband - Total Broadband Experience,24,2026-09-01T05:22:14.960Z,2026-09-26T04:23:29.216Z
