protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,213.111.146.36,18080,socks4://213.111.146.36:18080,elite,false,501,527,100,100,395,213.111.146.36,3,nl,North Holland,Haarlem,Europe/Amsterdam,43641,SOLLUTIUM EU Sp z.o.o.,9,2026-02-06T01:57:28.536Z,2026-09-18T04:31:18.119Z
http,213.111.146.36,18080,http://213.111.146.36:18080,elite,true,551,517,98.6,92.8,557,213.111.146.36,3,nl,North Holland,Haarlem,Europe/Amsterdam,43641,SOLLUTIUM EU Sp z.o.o.,13,2026-02-05T23:57:25.438Z,2026-09-18T04:31:16.487Z
socks5,213.111.146.36,18080,socks5://213.111.146.36:18080,elite,true,584,598,99.3,92.7,534,213.111.146.36,3,nl,North Holland,Haarlem,Europe/Amsterdam,43641,SOLLUTIUM EU Sp z.o.o.,18,2026-02-05T22:55:59.959Z,2026-09-18T04:30:12.232Z
http,195.26.224.135,80,http://195.26.224.135:80,elite,false,1689,490,93.2,87.9,960,195.26.224.135,1,nl,North Holland,Amsterdam,Europe/Amsterdam,216071,SERVERS TECH FZCO,17,2025-12-06T19:02:41.256Z,2026-09-18T04:27:44.747Z
socks5,5.175.192.43,1080,socks5://5.175.192.43:1080,elite,true,1669,1688.5,86.5,85.9,368,5.175.192.43,1,nl,Limburg,Eygelshoven,Europe/Amsterdam,211066,RYZEHOSTING TRADING,18,2026-09-15T09:50:26.758Z,2026-09-18T04:30:02.257Z
socks4,115.136.121.54,9050,socks4://115.136.121.54:9050,elite,false,2112,2013,84.9,82.2,957,192.42.116.101,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,11,2025-12-30T09:39:36.600Z,2026-09-18T04:27:14.877Z
http,95.211.174.135,3128,http://95.211.174.135:3128,anonymous,true,453,429,78.1,81.6,958,95.211.174.135,1,nl,Flevoland,Lelystad,Europe/Amsterdam,60781,LeaseWeb Netherlands B.V.,20,2026-07-05T07:46:21.512Z,2026-09-18T04:32:12.348Z
socks5,45.74.31.30,5365,socks5://45.74.31.30:5365,elite,false,2671,3562.5,81.5,81.5,54,20.54.134.42,2,nl,North Holland,Amsterdam,Europe/Amsterdam,8075,Microsoft Corporation,1,2026-09-17T17:38:15.449Z,2026-09-18T04:31:49.634Z
socks5,115.136.121.54,9050,socks5://115.136.121.54:9050,elite,true,5402,3630.5,78.1,77.9,930,192.42.116.13,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,17,2026-01-16T02:31:00.471Z,2026-09-18T04:31:56.899Z
socks5,5.255.123.162,1080,socks5://5.255.123.162:1080,elite,true,4318,4210.5,73.9,70.8,906,5.255.123.162,1,nl,Flevoland,Dronten,Europe/Amsterdam,60404,Liteserver,18,2026-05-12T22:21:12.403Z,2026-09-18T04:23:54.805Z
socks5,5.255.103.55,1080,socks5://5.255.103.55:1080,elite,true,850,1776,60.2,69.8,914,5.255.103.55,1,nl,Flevoland,Dronten,Europe/Amsterdam,60404,The Infrastructure Group B.V.,17,2026-04-07T02:44:01.055Z,2026-09-18T04:25:30.404Z
socks5,5.255.99.75,1080,socks5://5.255.99.75:1080,elite,true,642,717,57.3,65.8,907,5.255.99.75,1,nl,Flevoland,Lelystad,Europe/Amsterdam,60404,The Infrastructure Group B.V.,19,2026-02-23T23:46:11.131Z,2026-09-18T04:29:12.478Z
http,45.80.151.33,3128,http://45.80.151.33:3128,elite,true,534,472,66.1,64.1,142,45.80.151.33,1,nl,Flevoland,Dronten,Europe/Amsterdam,204641,HOSTGW SRL,10,2026-09-16T23:31:09.444Z,2026-09-18T04:24:19.950Z
