protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,77.239.108.71,80,http://77.239.108.71:80,elite,false,507,494,100,100,102,77.239.108.71,1,nl,North Holland,Amsterdam,Europe/Amsterdam,215590,DpkgSoft International Limited,4,2026-08-28T08:33:14.862Z,2026-09-22T04:28:49.208Z
http,213.111.146.36,18080,http://213.111.146.36:18080,elite,true,642,506,100,99.2,990,213.111.146.36,3,nl,North Holland,Haarlem,Europe/Amsterdam,43641,SOLLUTIUM EU Sp z.o.o.,15,2026-02-05T23:57:25.438Z,2026-09-22T04:26:01.707Z
http,79.137.192.114,80,http://79.137.192.114:80,transparent,false,707,699.5,95.7,95.7,92,104.22.109.83,1,nl,North Holland,Amsterdam,Europe/Amsterdam,13335,"Cloudflare, Inc.",1,2026-09-21T12:07:00.964Z,2026-09-22T04:30:49.976Z
http,195.26.224.135,80,http://195.26.224.135:80,elite,false,447,456.5,90,88.7,876,195.26.224.135,1,nl,North Holland,Amsterdam,Europe/Amsterdam,216071,SERVERS TECH FZCO,1,2026-03-17T17:23:33.821Z,2026-09-22T04:30:26.325Z
http,95.211.174.135,3128,http://95.211.174.135:3128,anonymous,true,455,443.5,86.6,86.2,894,95.211.174.135,1,nl,Flevoland,Lelystad,Europe/Amsterdam,60781,LeaseWeb Netherlands B.V.,20,2026-07-05T07:46:21.512Z,2026-09-22T04:31:09.410Z
http,45.80.151.33,3128,http://45.80.151.33:3128,elite,true,439,458.5,88.2,85.3,634,45.80.151.33,1,nl,Flevoland,Dronten,Europe/Amsterdam,204641,HOSTGW SRL,15,2026-09-16T23:31:09.444Z,2026-09-22T04:26:44.703Z
http,56.112.93.245,2644,http://56.112.93.245:2644,unknown,false,1519,1930,100,21.9,73,56.112.93.245,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,4,2026-09-02T21:44:51.157Z,2026-09-22T04:27:58.112Z
http,51.17.154.141,4153,http://51.17.154.141:4153,unknown,false,1827,1952,22,18.4,125,51.17.154.141,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,4,2026-07-18T10:31:54.543Z,2026-09-22T04:34:01.007Z
http,15.217.107.97,33991,http://15.217.107.97:33991,unknown,false,3634,1835,17.7,18.3,120,15.217.107.97,2,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,5,2026-09-09T04:48:35.418Z,2026-09-22T04:33:27.058Z
http,15.217.107.97,57335,http://15.217.107.97:57335,unknown,false,1763,1797.5,26.7,18,89,15.217.107.97,2,nl,North Holland,Amsterdam,Europe/Amsterdam,215125,Church of Cyberology,2,2026-08-31T08:09:48.369Z,2026-09-22T04:31:25.306Z
http,56.155.73.159,39254,http://56.155.73.159:39254,unknown,false,2786,2633.5,22.2,17.9,95,56.155.73.159,1,nl,North Holland,Amsterdam,Europe/Amsterdam,215125,Church of Cyberology,6,2026-07-01T05:51:34.803Z,2026-09-22T04:25:23.870Z
http,13.206.73.237,53478,http://13.206.73.237:53478,unknown,false,2945,2719,27.3,16.1,155,13.206.73.237,3,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,5,2026-07-01T23:00:54.502Z,2026-09-22T04:34:08.905Z
http,13.208.246.143,47843,http://13.208.246.143:47843,unknown,false,1243,1988.5,26.7,12.3,65,13.208.246.143,1,nl,North Holland,Amsterdam,Europe/Amsterdam,215125,Church of Cyberology,6,2026-09-01T06:23:20.633Z,2026-09-22T04:30:26.330Z
http,51.94.221.175,18080,http://51.94.221.175:18080,unknown,false,688,1738,18.2,10.6,85,51.94.221.175,1,nl,North Holland,Amsterdam,Europe/Amsterdam,215125,Church of Cyberology,5,2026-09-17T06:32:28.477Z,2026-09-22T04:32:35.115Z
http,34.220.80.147,6789,http://34.220.80.147:6789,unknown,false,2400,2303,9.1,5.5,73,34.220.80.147,1,nl,North Holland,Amsterdam,Europe/Amsterdam,215125,Church of Cyberology,2,2026-09-09T23:06:26.118Z,2026-09-22T04:32:34.563Z
http,13.53.139.178,43521,http://13.53.139.178:43521,unknown,false,602,2065,31,,29,13.53.139.178,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,4,2026-08-25T06:52:26.555Z,2026-09-22T04:32:54.003Z
http,78.12.136.220,35370,http://78.12.136.220:35370,unknown,false,797,797,100,,1,78.12.136.220,1,nl,North Holland,Amsterdam,Europe/Amsterdam,215125,Church of Cyberology,1,2026-08-29T07:45:25.581Z,2026-09-22T04:27:49.311Z
http,51.92.173.133,20148,http://51.92.173.133:20148,unknown,true,814,754,50,,4,51.92.173.133,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,1,2026-08-06T04:33:46.033Z,2026-09-22T04:27:41.577Z
http,18.188.53.175,15222,http://18.188.53.175:15222,unknown,false,913,913,33.3,,9,18.188.53.175,2,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,1,2026-05-08T07:22:27.691Z,2026-09-22T04:33:17.013Z
http,18.157.159.247,22850,http://18.157.159.247:22850,unknown,false,1069,1490.5,16.7,,12,18.157.159.247,1,nl,North Holland,Amsterdam,Europe/Amsterdam,215125,Church of Cyberology,1,2026-09-21T22:12:19.456Z,2026-09-22T04:33:20.221Z
http,15.217.214.40,2648,http://15.217.214.40:2648,unknown,false,1085,1085,20,,25,15.217.214.40,2,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,1,2026-09-04T07:46:53.142Z,2026-09-22T04:33:15.958Z
http,40.176.108.18,8961,http://40.176.108.18:8961,unknown,false,1113,2434.5,100,,2,40.176.108.18,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,1,2026-09-22T04:15:12.941Z,2026-09-22T04:25:17.249Z
http,78.12.246.160,47776,http://78.12.246.160:47776,unknown,false,1147,1836,38.5,,13,78.12.246.160,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,3,2026-09-22T00:13:06.900Z,2026-09-22T04:33:27.066Z
http,15.217.214.40,36924,http://15.217.214.40:36924,unknown,false,1301,1338.5,28.6,,7,15.217.214.40,2,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,1,2026-09-22T02:14:09.751Z,2026-09-22T04:30:22.665Z
http,56.155.73.215,7960,http://56.155.73.215:7960,unknown,false,1510,1515.5,100,,1,56.155.73.215,2,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,1,2026-06-27T10:02:41.962Z,2026-09-22T04:27:49.261Z
http,16.26.143.154,42666,http://16.26.143.154:42666,unknown,false,1605,1687.5,29.6,,31,16.26.143.154,3,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,6,2026-08-17T22:03:42.419Z,2026-09-22T04:32:16.620Z
http,16.26.143.154,45993,http://16.26.143.154:45993,unknown,false,1755,2554,30.8,,42,16.26.143.154,3,nl,North Holland,Amsterdam,Europe/Amsterdam,215125,Church of Cyberology,8,2026-06-05T10:22:05.591Z,2026-09-22T04:30:42.629Z
http,16.26.143.154,55830,http://16.26.143.154:55830,unknown,false,2147,2147,100,,1,16.26.143.154,3,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,1,2026-07-29T10:53:01.570Z,2026-09-22T04:28:17.914Z
http,13.245.183.150,1912,http://13.245.183.150:1912,unknown,false,2318,2272,32,,26,13.245.183.150,1,nl,North Holland,Amsterdam,Europe/Amsterdam,215125,Church of Cyberology,2,2026-09-01T05:22:51.607Z,2026-09-22T04:34:08.901Z
http,13.206.73.237,40001,http://13.206.73.237:40001,unknown,false,3353,3353,100,,1,13.206.73.237,3,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,1,2026-09-03T21:41:25.386Z,2026-09-22T04:29:25.750Z
http,18.191.250.90,56332,http://18.191.250.90:56332,unknown,false,3803,3803,100,,3,18.191.250.90,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,2,2026-09-01T05:22:38.634Z,2026-09-22T04:28:17.925Z
http,3.121.130.230,8314,http://3.121.130.230:8314,unknown,false,3826,3826,100,,3,3.121.130.230,1,nl,North Holland,Amsterdam,Europe/Amsterdam,215125,Church of Cyberology,1,2026-09-19T15:43:41.033Z,2026-09-22T04:29:28.431Z
http,18.61.230.250,8443,http://18.61.230.250:8443,unknown,false,4281,1995,22.2,,18,18.61.230.250,2,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,3,2026-09-09T21:53:09.089Z,2026-09-22T04:34:02.604Z
http,35.78.212.217,9813,http://35.78.212.217:9813,unknown,true,4503,2428,25,,20,35.78.212.217,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,2,2026-08-07T05:44:39.986Z,2026-09-22T04:24:00.394Z
http,43.200.174.95,49978,http://43.200.174.95:49978,unknown,false,4561,2798,26.1,,27,43.200.174.95,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,5,2026-08-06T00:28:56.070Z,2026-09-22T04:26:27.455Z
http,43.216.197.62,3240,http://43.216.197.62:3240,unknown,true,5164,5164,100,,3,43.216.197.62,1,nl,North Holland,Amsterdam,Europe/Amsterdam,215125,Church of Cyberology,3,2026-08-31T09:12:00.085Z,2026-09-22T04:28:17.923Z
