protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,213.111.146.36,18080,socks5://213.111.146.36:18080,elite,true,578,586.5,98.6,99.3,991,213.111.146.36,3,nl,North Holland,Haarlem,Europe/Amsterdam,43641,SOLLUTIUM EU Sp z.o.o.,20,2026-02-05T22:55:59.959Z,2026-09-25T04:27:24.715Z
socks5,5.175.192.43,1080,socks5://5.175.192.43:1080,elite,true,1681,1758,70,67.7,715,5.175.192.43,1,nl,Limburg,Eygelshoven,Europe/Amsterdam,211066,RYZEHOSTING TRADING,19,2026-09-15T09:50:26.758Z,2026-09-25T04:29:23.851Z
socks5,132.243.168.30,9150,socks5://132.243.168.30:9150,elite,true,1069,1083.5,60.2,66.4,631,192.42.116.99,1,nl,Flevoland,Lelystad,Europe/Amsterdam,215125,Church of Cyberology,20,2026-08-31T03:06:52.990Z,2026-09-25T04:27:30.937Z
socks5,5.253.59.150,1082,socks5://5.253.59.150:1082,elite,false,646,652.5,50,65.5,681,5.253.59.150,1,nl,Limburg,Kerkrade,Europe/Amsterdam,215540,GLOBAL CONNECTIVITY SOLUTIONS LLP,20,2026-08-24T08:41:31.791Z,2026-09-25T04:23:02.071Z
socks5,5.255.123.162,1080,socks5://5.255.123.162:1080,elite,false,6362,2365.5,48.5,58.6,669,5.255.123.162,1,nl,Flevoland,Dronten,Europe/Amsterdam,60404,Liteserver,19,2026-05-12T22:21:12.403Z,2026-09-25T04:22:18.077Z
socks5,5.255.117.250,1080,socks5://5.255.117.250:1080,elite,false,6514,5259.5,49.3,42.9,583,5.255.117.250,1,nl,Flevoland,Lelystad,Europe/Amsterdam,60404,Liteserver,1,2026-03-17T17:23:28.563Z,2026-09-25T04:31:03.428Z
socks5,185.113.10.22,9094,socks5://185.113.10.22:9094,elite,true,1383,2006,36.3,37.3,142,5.255.118.218,1,nl,Flevoland,Dronten,Europe/Amsterdam,60404,Liteserver,13,2026-09-24T01:19:57.985Z,2026-09-25T04:26:20.762Z
socks5,5.255.117.127,1080,socks5://5.255.117.127:1080,elite,true,765,2688,39,34.8,466,5.255.117.127,1,nl,Flevoland,Dronten,Europe/Amsterdam,60404,The Infrastructure Group B.V.,20,2026-01-02T09:17:38.497Z,2026-09-25T04:29:17.602Z
socks5,217.12.209.4,1080,socks5://217.12.209.4:1080,elite,false,3687,2698,38.8,30.4,431,217.12.209.4,1,nl,North Holland,Amsterdam,Europe/Amsterdam,21100,ROUTE 95 LLC,19,2026-04-19T19:25:59.615Z,2026-09-25T04:25:25.986Z
socks5,5.253.28.239,1089,socks5://5.253.28.239:1089,elite,true,1467,1550,100,14.8,61,194.156.65.250,1,nl,North Holland,Amsterdam,Europe/Amsterdam,200904,FOXCLOUD LLP,13,2026-08-05T01:18:11.292Z,2026-09-25T04:25:34.310Z
