protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,124.41.213.174,5678,socks4://124.41.213.174:5678,elite,true,2444,1890,78.9,73,759,124.41.213.174,1,np,Lumbini Province,Siddharthanagar,Asia/Kathmandu,17501,WorldLink Communications Pvt Ltd,13,2025-09-04T23:49:02.036Z,2026-09-25T04:21:37.867Z
socks4,182.93.75.254,1080,socks4://182.93.75.254:1080,elite,false,1362,1874.5,74.6,62.7,268,182.93.75.254,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,4007,"Subisu Cablenet (Pvt) Ltd, Baluwatar, Kathmandu, Nepal",12,2026-07-27T19:31:22.141Z,2026-09-25T04:26:13.464Z
socks4,202.79.35.143,4153,socks4://202.79.35.143:4153,elite,true,1606,2331.5,50,60.6,594,202.79.35.143,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,17501,WorldLink Communications Pvt Ltd,12,2025-09-04T23:49:12.483Z,2026-09-25T04:24:26.344Z
socks4,202.70.80.153,5678,socks4://202.70.80.153:5678,elite,false,1494,2487,63.4,58.9,628,202.70.80.153,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,23752,"Nepal Telecommunications Corporation, Internet Services,",12,2025-09-04T23:49:02.114Z,2026-09-25T04:28:29.165Z
socks4,103.86.57.9,4145,socks4://103.86.57.9:4145,elite,false,1321,1312,45.6,56.1,674,103.86.57.9,1,np,Lumbini Province,Butwāl,Asia/Kathmandu,136380,Web Networks Pvt. Ltd.,12,2025-09-05T20:06:36.452Z,2026-09-25T04:29:17.598Z
socks4,103.167.187.4,1080,socks4://103.167.187.4:1080,elite,false,1341,2425.5,66.4,51,581,103.167.187.4,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,58504,TECHMINDS NETWORKS PVT. LTD.,18,2026-08-24T08:41:30.106Z,2026-09-25T04:28:31.777Z
socks5,124.41.225.101,1080,socks5://124.41.225.101:1080,elite,true,4872,4222.5,57.6,47.6,590,124.41.225.101,1,np,Madhesh,Birgañj,Asia/Kathmandu,17501,WorldLink Communications Pvt Ltd,20,2026-08-02T19:49:17.370Z,2026-09-25T04:21:54.614Z
socks4,202.79.47.159,10800,socks4://202.79.47.159:10800,elite,false,1404,2320,49.2,43,546,202.79.47.159,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,17501,WorldLink Communications Pvt Ltd,1,2026-03-17T17:23:30.929Z,2026-09-25T04:26:06.176Z
socks4,118.91.175.146,5678,socks4://118.91.175.146:5678,elite,false,2349,2392,36.2,28.8,288,118.91.175.146,1,np,Koshi,Lukla,Asia/Kathmandu,24550,Websurfer Nepal Internet Service Provider,14,2025-09-06T08:35:29.109Z,2026-09-25T04:23:55.450Z
http,110.34.1.180,32650,http://110.34.1.180:32650,transparent,true,3055,4709,24,13.3,210,110.34.1.180,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,4007,"Subisu Cablenet (Pvt) Ltd, Baluwatar, Kathmandu, Nepal",20,2025-09-07T06:15:56.886Z,2026-09-25T04:23:20.868Z
