protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,110.34.3.144,1080,socks4://110.34.3.144:1080,elite,false,4363,2187.5,57,72.8,841,110.34.3.144,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,4007,"Subisu Cablenet (Pvt) Ltd, Baluwatar, Kathmandu, Nepal",12,2026-08-09T00:08:36.925Z,2026-09-26T17:07:48.649Z
socks4,124.41.213.174,5678,socks4://124.41.213.174:5678,elite,true,1360,1571,46,69.2,803,124.41.213.174,1,np,Lumbini Province,Siddharthanagar,Asia/Kathmandu,17501,WorldLink Communications Pvt Ltd,13,2025-09-04T23:49:02.036Z,2026-09-26T17:12:36.921Z
socks4,202.79.35.143,4153,socks4://202.79.35.143:4153,elite,false,2426,2417,72.6,63.9,660,202.79.35.143,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,17501,WorldLink Communications Pvt Ltd,12,2025-09-04T23:49:12.483Z,2026-09-26T17:08:17.129Z
socks4,103.86.57.9,4145,socks4://103.86.57.9:4145,elite,true,1333,1334.5,66.2,59.2,738,103.86.57.9,1,np,Lumbini Province,Butwāl,Asia/Kathmandu,136380,Web Networks Pvt. Ltd.,12,2025-09-05T20:06:36.452Z,2026-09-26T17:13:33.059Z
socks4,116.90.234.106,1080,socks4://116.90.234.106:1080,elite,true,1354,1870.5,64.4,56.8,690,116.90.234.106,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,24550,Websurfer Nepal Internet Service Provider,21,2026-08-28T05:31:29.173Z,2026-09-26T17:06:20.803Z
socks4,202.70.80.153,5678,socks4://202.70.80.153:5678,elite,false,2242,2447,28.6,56.4,590,202.70.80.153,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,23752,"Nepal Telecommunications Corporation, Internet Services,",13,2025-09-04T23:49:02.114Z,2026-09-26T17:03:15.658Z
socks4,103.167.187.4,1080,socks4://103.167.187.4:1080,elite,false,2535,4435.5,57.8,55,676,103.167.187.4,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,58504,TECHMINDS NETWORKS PVT. LTD.,18,2026-08-24T08:41:30.106Z,2026-09-26T17:05:19.603Z
socks4,202.79.47.159,10800,socks4://202.79.47.159:10800,elite,false,1380,1905.5,55,49.7,636,202.79.47.159,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,17501,WorldLink Communications Pvt Ltd,1,2026-03-17T17:23:30.929Z,2026-09-26T17:07:34.704Z
socks4,202.166.219.80,4153,socks4://202.166.219.80:4153,elite,true,1352,1383,43.3,38.9,535,202.166.219.80,1,np,Bagmati Province,Kathmandu,Asia/Kathmandu,17501,WorldLink Communications Pvt Ltd,21,2025-09-04T23:02:55.328Z,2026-09-26T17:08:44.003Z
socks4,118.91.175.146,5678,socks4://118.91.175.146:5678,elite,false,8576,2387,48,36.4,437,118.91.175.146,1,np,Koshi,Lukla,Asia/Kathmandu,24550,Websurfer Nepal Internet Service Provider,14,2025-09-06T08:35:29.109Z,2026-09-26T17:07:59.416Z
